Scenario_ID,Variant_ID,User_Type,Input_Validity,Data_State,Browser,Device,Network_Speed,Field_Values,System_State,Auth_Method,Payment_Method,Product_Type,Order_Status,Notification_Type
TS-001,V001,Visitor,Valid,New,Chrome,Desktop,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V002,Visitor,Valid,New,Firefox,Desktop,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V003,Visitor,Valid,New,Safari,Desktop,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V004,Visitor,Valid,New,Edge,Desktop,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V005,Visitor,Valid,New,Chrome,Mobile,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V006,Visitor,Valid,New,Chrome,Tablet,High,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V007,Visitor,Valid,New,Chrome,Desktop,Medium,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V008,Visitor,Valid,New,Chrome,Desktop,Low,All_Required_Valid,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V009,Visitor,Invalid,New,Chrome,Desktop,High,Invalid_Email,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V010,Visitor,Invalid,New,Chrome,Desktop,High,Missing_FirstName,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V011,Visitor,Invalid,New,Chrome,Desktop,High,Missing_LastName,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V012,Visitor,Invalid,New,Chrome,Desktop,High,Missing_Email,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V013,Visitor,Invalid,New,Chrome,Desktop,High,Missing_Phone,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V014,Visitor,Invalid,New,Chrome,Desktop,High,Missing_Password,Active,N/A,N/A,N/A,N/A,N/A
TS-001,V015,Visitor,Invalid,New,Chrome,Desktop,High,Special_Characters_Name,Active,N/A,N/A,N/A,N/A,N/A
TS-002,V016,Buyer,Valid,Registered_Unverified,Chrome,Desktop,High,Valid_Token,Active,Email,N/A,N/A,N/A,Email_Verification
TS-002,V017,Buyer,Valid,Registered_Unverified,Firefox,Desktop,High,Valid_Token,Active,Email,N/A,N/A,N/A,Email_Verification
TS-002,V018,Buyer,Valid,Registered_Unverified,Chrome,Mobile,High,Valid_Token,Active,Email,N/A,N/A,N/A,Email_Verification
TS-002,V019,Buyer,Invalid,Registered_Unverified,Chrome,Desktop,High,Expired_Token,Active,Email,N/A,N/A,N/A,Email_Verification
TS-002,V020,Buyer,Invalid,Registered_Unverified,Chrome,Desktop,High,Invalid_Token,Active,Email,N/A,N/A,N/A,Email_Verification
