Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
FR-001,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-002,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-003,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-004,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-005,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-006,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-007,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-008,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-009,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-010,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-011,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-012,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-013,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-014,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-015,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-016,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-017,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-018,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-019,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-020,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-021,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-022,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-023,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-024,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-025,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
FR-026,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
NFR-001,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
NFR-002,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
NFR-003,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
NFR-004,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-001,Users shall be able to log in to the website using email and password,N/A,"TS-007, TS-009, TS-017",Yes,Covered,
REQ-002,Users shall be able to reset their password if forgotten,N/A,"TS-013, TS-014, TS-015, TS-016, TS-017",Yes,Covered,
REQ-003,Users shall be able to log in using their Facebook account,N/A,"TS-010, TS-012",Yes,Covered,
REQ-004,Users shall be able to log in using their Google account,N/A,"TS-011, TS-012",Yes,Covered,
REQ-005,Users shall be able to register on the website with a registration form,N/A,TS-001,Yes,Covered,
REQ-006,Registration form shall capture first name,N/A,TS-001,Yes,Covered,
REQ-007,Registration form shall capture last name,N/A,TS-001,Yes,Covered,
REQ-008,Registration form shall capture email address,N/A,"TS-001, TS-003, TS-006",Yes,Covered,
REQ-009,Registration form shall capture contact number,N/A,TS-001,Yes,Covered,
REQ-010,Registration form shall capture password,N/A,"TS-001, TS-004",Yes,Covered,
REQ-011,Registration form shall capture password confirmation,N/A,"TS-001, TS-004",Yes,Covered,
REQ-012,Registration form shall require acceptance of terms and conditions,N/A,"TS-001, TS-005",Yes,Covered,
REQ-013,Email verification shall be mandatory before users can log in,N/A,"TS-002, TS-008",Yes,Covered,
REQ-014,Users shall receive an email verification link upon registration,N/A,TS-002,Yes,Covered,
REQ-015,Users shall be able to verify their email by clicking the verification link,N/A,TS-002,Yes,Covered,
REQ-016,Users shall be able to log in only after email verification is complete,N/A,"TS-002, TS-007, TS-008",Yes,Covered,
REQ-017,Admin users shall be able to log in to the admin panel,N/A,"TS-018, TS-019",Yes,Covered,
REQ-018,Admin users shall enter username and password to log in,N/A,"TS-018, TS-019",Yes,Covered,
REQ-019,Admin users shall be able to reset their password if forgotten,N/A,TS-020,Yes,Covered,
REQ-020,Users shall be able to search for products by keyword,N/A,"TS-021, TS-026",Yes,Covered,
REQ-021,Users shall be able to browse products by category,N/A,TS-022,Yes,Covered,
REQ-022,Users shall be able to browse products by sub-category,N/A,TS-023,Yes,Covered,
REQ-023,Users shall be able to use filters to refine product search,N/A,TS-024,Yes,Covered,
REQ-024,Users shall be able to use sorting options to order search results,N/A,TS-025,Yes,Covered,
