Variant_ID,User_Type,Product_Category,Product_Type,Product_Size,Product_Color,Payment_Method,Order_Status,Has_Discount,Shipping_Region,Device_Type
V001,Visitor,Mens,Shirts,N/A,N/A,N/A,N/A,N/A,Urban,Desktop
V002,Visitor,Womens,Dresses,N/A,N/A,N/A,N/A,N/A,Suburban,Mobile
V003,Visitor,Kids,T-Shirts,N/A,N/A,N/A,N/A,N/A,Rural,Tablet
V004,Registered_Buyer,Mens,Shirts,Small,Blue,Credit_Card,Open,No,Urban,Desktop
V005,Registered_Buyer,Mens,Shirts,Medium,Black,Debit_Card,Confirmed,Yes,Suburban,Mobile
V006,Registered_Buyer,Mens,Shirts,Large,White,Net_Banking,In_Process,No,Rural,Desktop
V007,Registered_Buyer,Mens,Shirts,XL,Red,Credit_Card,Shipped,Yes,Urban,Tablet
V008,Registered_Buyer,Mens,Shirts,XXL,Blue,Debit_Card,Delivered,No,Suburban,Mobile
V009,Registered_Buyer,Mens,Jeans,Small,Blue,Credit_Card,Open,No,Urban,Desktop
V010,Registered_Buyer,Mens,Jeans,Medium,Black,Debit_Card,Confirmed,Yes,Rural,Mobile
V011,Registered_Buyer,Mens,Jeans,Large,Blue,Net_Banking,In_Process,No,Suburban,Tablet
V012,Registered_Buyer,Mens,Jeans,XL,Black,Credit_Card,Shipped,Yes,Urban,Desktop
V013,Registered_Buyer,Mens,Jeans,XXL,Blue,Debit_Card,Delivered,No,Rural,Mobile
V014,Registered_Buyer,Mens,Jackets,Large,Black,Credit_Card,Open,No,Urban,Desktop
V015,Registered_Buyer,Mens,Jackets,XL,Brown,Debit_Card,Confirmed,Yes,Suburban,Mobile
V016,Registered_Buyer,Mens,Jackets,XXL,Navy,Net_Banking,Shipped,No,Rural,Tablet
V017,Registered_Buyer,Womens,Dresses,Small,Red,Credit_Card,Open,Yes,Urban,Desktop
V018,Registered_Buyer,Womens,Dresses,Medium,Blue,Debit_Card,Confirmed,No,Suburban,Mobile
V019,Registered_Buyer,Womens,Dresses,Large,Black,Net_Banking,In_Process,Yes,Rural,Tablet
V020,Registered_Buyer,Womens,Dresses,XL,White,Credit_Card,Shipped,No,Urban,Desktop
V021,Registered_Buyer,Womens,Dresses,Small,Pink,Debit_Card,Delivered,Yes,Suburban,Mobile
V022,Registered_Buyer,Womens,Tops,Small,White,Credit_Card,Open,No,Urban,Tablet
V023,Registered_Buyer,Womens,Tops,Medium,Black,Debit_Card,Confirmed,Yes,Rural,Desktop
V024,Registered_Buyer,Womens,Tops,Large,Red,Net_Banking,In_Process,No,Suburban,Mobile
V025,Registered_Buyer,Womens,Tops,XL,Blue,Credit_Card,Shipped,Yes,Urban,Tablet
