Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-001,N/A,N/A,TS-002,Yes,Covered,
REQ-002,N/A,N/A,TS-003,No,Covered,Test scenarios defined but scripts not created
REQ-003,N/A,N/A,TS-004,No,Covered,Test scenarios defined but scripts not created
REQ-004,N/A,N/A,TS-005,No,Covered,Test scenarios defined but scripts not created
REQ-005,N/A,N/A,TS-001,Yes,Covered,
REQ-006,N/A,N/A,TS-001,Yes,Covered,
REQ-007,N/A,N/A,TS-001,Yes,Covered,
REQ-008,N/A,N/A,TS-001,Yes,Covered,
REQ-009,N/A,N/A,TS-001,Yes,Covered,
REQ-010,N/A,N/A,TS-007,Yes,Covered,
REQ-011,N/A,N/A,TS-008,No,Covered,Test scenarios defined but scripts not created
REQ-012,N/A,N/A,TS-009,No,Covered,Test scenarios defined but scripts not created
REQ-013,N/A,N/A,TS-010,No,Covered,Test scenarios defined but scripts not created
REQ-014,N/A,N/A,"TS-007, TS-008, TS-009, TS-010",Partial,Covered,Scripts available for: TS-007
REQ-015,N/A,N/A,TS-011,No,Covered,Test scenarios defined but scripts not created
REQ-016,N/A,N/A,TS-012,No,Covered,Test scenarios defined but scripts not created
REQ-017,N/A,N/A,"TS-011, TS-012",No,Covered,Test scenarios defined but scripts not created
REQ-018,N/A,N/A,TS-013,No,Covered,Test scenarios defined but scripts not created
REQ-019,N/A,N/A,TS-014,No,Covered,Test scenarios defined but scripts not created
REQ-020,N/A,N/A,TS-013,No,Covered,Test scenarios defined but scripts not created
REQ-021,N/A,N/A,TS-013,No,Covered,Test scenarios defined but scripts not created
REQ-022,N/A,N/A,TS-017,Yes,Covered,
REQ-023,N/A,N/A,TS-022,No,Covered,Test scenarios defined but scripts not created
REQ-024,N/A,N/A,TS-016,No,Covered,Test scenarios defined but scripts not created
REQ-025,N/A,N/A,TS-022,No,Covered,Test scenarios defined but scripts not created
REQ-026,N/A,N/A,"TS-022, TS-023",No,Covered,Test scenarios defined but scripts not created
REQ-027,N/A,N/A,TS-023,No,Covered,Test scenarios defined but scripts not created
REQ-028,N/A,N/A,TS-022,No,Covered,Test scenarios defined but scripts not created
REQ-029,N/A,N/A,TS-024,No,Covered,Test scenarios defined but scripts not created
REQ-030,N/A,N/A,TS-025,No,Covered,Test scenarios defined but scripts not created
REQ-031,N/A,N/A,TS-017,Yes,Covered,
REQ-032,N/A,N/A,TS-017,Yes,Covered,
REQ-033,N/A,N/A,TS-017,Yes,Covered,
REQ-034,N/A,N/A,TS-020,No,Covered,Test scenarios defined but scripts not created
REQ-035,N/A,N/A,TS-019,No,Covered,Test scenarios defined but scripts not created
REQ-036,N/A,N/A,TS-021,No,Covered,Test scenarios defined but scripts not created
REQ-037,N/A,N/A,"TS-018, TS-019",No,Covered,Test scenarios defined but scripts not created
