Variant_ID,User_Type,Life_Event_Type,Plan_Type,Coverage_Level,Enrollment_Method,Action_Item_Status,Document_Status,Benefits_Relationship,Number_Of_Dependents,Payment_Method
V001,New Hire,New Hire,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V002,New Hire,New Hire,Medical,Employee+Spouse,Self-Service,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V003,New Hire,New Hire,Medical,Employee+Children,Self-Service,Pending,Approved,Single Assignment,2,Payroll Deduction
V004,New Hire,New Hire,Medical,Family,Self-Service,Completed,Approved,Single Assignment,3,Payroll Deduction
V005,New Hire,New Hire,Dental,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Payroll Deduction
V006,New Hire,New Hire,Dental,Family,Default Enrollment,Suspended,Rejected,Single Assignment,2,Payroll Deduction
V007,New Hire,New Hire,Vision,Employee+Spouse,Self-Service,Completed,Reused,Single Assignment,1,Payroll Deduction
V008,New Hire,New Hire,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V009,New Hire,New Hire,FSA,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,Payroll Deduction
V010,New Hire,New Hire,HSA,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,Payroll Deduction
V011,Active Employee,Marriage,Medical,Employee+Spouse,Self-Service,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V012,Active Employee,Marriage,Medical,Family,Administrator-Assisted,Completed,Approved,Single Assignment,2,Payroll Deduction
V013,Active Employee,Marriage,Dental,Employee+Spouse,Self-Service,Suspended,Rejected,Single Assignment,1,Payroll Deduction
V014,Active Employee,Marriage,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V015,Active Employee,Birth,Medical,Employee+Children,Self-Service,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V016,Active Employee,Birth,Medical,Family,Self-Service,Completed,Approved,Single Assignment,3,Payroll Deduction
V017,Active Employee,Birth,Dental,Family,Administrator-Assisted,Pending,Approved,Single Assignment,2,Payroll Deduction
V018,Active Employee,Birth,Vision,Family,Self-Service,Completed,Reused,Single Assignment,1,Payroll Deduction
V019,Active Employee,Adoption,Medical,Employee+Children,Self-Service,Suspended,Pending Approval,Single Assignment,1,Payroll Deduction
V020,Active Employee,Adoption,Medical,Family,Administrator-Assisted,Completed,Approved,Single Assignment,2,Payroll Deduction
V021,Active Employee,Divorce,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V022,Active Employee,Divorce,Dental,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V023,Active Employee,Divorce,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V024,Active Employee,Spouse Loss of Coverage,Medical,Employee+Spouse,Self-Service,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V025,Active Employee,Spouse Loss of Coverage,Dental,Family,Self-Service,Completed,Approved,Single Assignment,2,Payroll Deduction
V026,Active Employee,Dependent Age Out,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V027,Active Employee,Death of Dependent,Medical,Employee+Spouse,Self-Service,N/A,N/A,Single Assignment,1,Payroll Deduction
V028,Active Employee,Address Change,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V029,Active Employee,Address Change,Medical,Family,Self-Service,N/A,N/A,Single Assignment,3,Payroll Deduction
V030,Active Employee,Salary Change,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V031,Active Employee,Length of Service,Disability,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V032,Active Employee,Age Milestone,Retirement,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,N/A
V033,Active Employee,Open Enrollment,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V034,Active Employee,Open Enrollment,Medical,Employee+Spouse,Self-Service,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V035,Active Employee,Open Enrollment,Medical,Family,Self-Service,Completed,Approved,Single Assignment,2,Payroll Deduction
V036,Active Employee,Open Enrollment,Dental,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Payroll Deduction
V037,Active Employee,Open Enrollment,Dental,Family,Default Enrollment,N/A,N/A,Single Assignment,3,Payroll Deduction
V038,Active Employee,Open Enrollment,Vision,Employee+Spouse,Self-Service,N/A,N/A,Single Assignment,1,Payroll Deduction
V039,Active Employee,Open Enrollment,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V040,Active Employee,Open Enrollment,FSA,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,Payroll Deduction
V041,Active Employee,Open Enrollment,HSA,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,Payroll Deduction
V042,Active Employee,Open Enrollment,Disability,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V043,Terminated Employee,Termination,Medical,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Direct Bill
V044,Terminated Employee,Termination,Medical,Family,Administrator-Assisted,N/A,N/A,Single Assignment,2,Direct Bill
V045,Terminated Employee,Termination,Dental,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Direct Bill
V046,Active Employee,Return from Leave,Medical,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V047,Active Employee,Return from Leave,Medical,Family,Administrator-Assisted,Pending,Pending Approval,Single Assignment,2,Payroll Deduction
V048,Active Employee,Late Life Event,Medical,Employee+Spouse,Administrator-Assisted,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V049,Active Employee,Late Life Event,Dental,Family,Administrator-Assisted,Suspended,Rejected,Single Assignment,2,Payroll Deduction
V050,New Hire,New Hire,Medical,Employee Only,Self-Service,N/A,N/A,Multiple Assignments,0,Payroll Deduction
