Scenario_ID,Variant_ID,Browser,Device,Field_Values,Input_Validity,Network_Speed,User_Type
TS-001,V00001,Chrome,Desktop,All_Valid,Valid,High,Visitor
TS-001,V00002,Chrome,Desktop,All_Valid,Valid,Medium,Visitor
TS-001,V00003,Chrome,Desktop,All_Valid,Valid,Low,Visitor
TS-001,V00004,Chrome,Mobile,All_Valid,Valid,High,Visitor
TS-001,V00005,Chrome,Mobile,All_Valid,Valid,Medium,Visitor
TS-001,V00006,Chrome,Mobile,All_Valid,Valid,Low,Visitor
TS-001,V00007,Chrome,Tablet,All_Valid,Valid,High,Visitor
TS-001,V00008,Chrome,Tablet,All_Valid,Valid,Medium,Visitor
TS-001,V00009,Chrome,Tablet,All_Valid,Valid,Low,Visitor
TS-001,V00010,Firefox,Desktop,All_Valid,Valid,High,Visitor
TS-001,V00011,Firefox,Desktop,All_Valid,Valid,Medium,Visitor
TS-001,V00012,Firefox,Desktop,All_Valid,Valid,Low,Visitor
TS-001,V00013,Firefox,Mobile,All_Valid,Valid,High,Visitor
TS-001,V00014,Firefox,Mobile,All_Valid,Valid,Medium,Visitor
TS-001,V00015,Firefox,Mobile,All_Valid,Valid,Low,Visitor
TS-001,V00016,Firefox,Tablet,All_Valid,Valid,High,Visitor
TS-001,V00017,Firefox,Tablet,All_Valid,Valid,Medium,Visitor
TS-001,V00018,Firefox,Tablet,All_Valid,Valid,Low,Visitor
TS-001,V00019,Safari,Desktop,All_Valid,Valid,High,Visitor
TS-001,V00020,Safari,Desktop,All_Valid,Valid,Medium,Visitor
TS-001,V00021,Safari,Desktop,All_Valid,Valid,Low,Visitor
TS-001,V00022,Safari,Mobile,All_Valid,Valid,High,Visitor
TS-001,V00023,Safari,Mobile,All_Valid,Valid,Medium,Visitor
TS-001,V00024,Safari,Mobile,All_Valid,Valid,Low,Visitor
TS-001,V00025,Safari,Tablet,All_Valid,Valid,High,Visitor
TS-001,V00026,Safari,Tablet,All_Valid,Valid,Medium,Visitor
TS-001,V00027,Safari,Tablet,All_Valid,Valid,Low,Visitor
TS-001,V00028,Edge,Desktop,All_Valid,Valid,High,Visitor
TS-001,V00029,Edge,Desktop,All_Valid,Valid,Medium,Visitor
TS-001,V00030,Edge,Desktop,All_Valid,Valid,Low,Visitor
TS-001,V00031,Edge,Mobile,All_Valid,Valid,High,Visitor
TS-001,V00032,Edge,Mobile,All_Valid,Valid,Medium,Visitor
TS-001,V00033,Edge,Mobile,All_Valid,Valid,Low,Visitor
TS-001,V00034,Edge,Tablet,All_Valid,Valid,High,Visitor
TS-001,V00035,Edge,Tablet,All_Valid,Valid,Medium,Visitor
TS-001,V00036,Edge,Tablet,All_Valid,Valid,Low,Visitor
TS-001,V00037,Chrome,Desktop,Missing_FirstName,Valid,High,Visitor
TS-001,V00038,Chrome,Desktop,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00039,Chrome,Desktop,Missing_FirstName,Valid,Low,Visitor
TS-001,V00040,Chrome,Mobile,Missing_FirstName,Valid,High,Visitor
TS-001,V00041,Chrome,Mobile,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00042,Chrome,Mobile,Missing_FirstName,Valid,Low,Visitor
TS-001,V00043,Chrome,Tablet,Missing_FirstName,Valid,High,Visitor
TS-001,V00044,Chrome,Tablet,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00045,Chrome,Tablet,Missing_FirstName,Valid,Low,Visitor
TS-001,V00046,Firefox,Desktop,Missing_FirstName,Valid,High,Visitor
TS-001,V00047,Firefox,Desktop,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00048,Firefox,Desktop,Missing_FirstName,Valid,Low,Visitor
TS-001,V00049,Firefox,Mobile,Missing_FirstName,Valid,High,Visitor
TS-001,V00050,Firefox,Mobile,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00051,Firefox,Mobile,Missing_FirstName,Valid,Low,Visitor
TS-001,V00052,Firefox,Tablet,Missing_FirstName,Valid,High,Visitor
TS-001,V00053,Firefox,Tablet,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00054,Firefox,Tablet,Missing_FirstName,Valid,Low,Visitor
TS-001,V00055,Safari,Desktop,Missing_FirstName,Valid,High,Visitor
TS-001,V00056,Safari,Desktop,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00057,Safari,Desktop,Missing_FirstName,Valid,Low,Visitor
TS-001,V00058,Safari,Mobile,Missing_FirstName,Valid,High,Visitor
TS-001,V00059,Safari,Mobile,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00060,Safari,Mobile,Missing_FirstName,Valid,Low,Visitor
TS-001,V00061,Safari,Tablet,Missing_FirstName,Valid,High,Visitor
TS-001,V00062,Safari,Tablet,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00063,Safari,Tablet,Missing_FirstName,Valid,Low,Visitor
TS-001,V00064,Edge,Desktop,Missing_FirstName,Valid,High,Visitor
TS-001,V00065,Edge,Desktop,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00066,Edge,Desktop,Missing_FirstName,Valid,Low,Visitor
TS-001,V00067,Edge,Mobile,Missing_FirstName,Valid,High,Visitor
TS-001,V00068,Edge,Mobile,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00069,Edge,Mobile,Missing_FirstName,Valid,Low,Visitor
TS-001,V00070,Edge,Tablet,Missing_FirstName,Valid,High,Visitor
TS-001,V00071,Edge,Tablet,Missing_FirstName,Valid,Medium,Visitor
TS-001,V00072,Edge,Tablet,Missing_FirstName,Valid,Low,Visitor
TS-001,V00073,Chrome,Desktop,Missing_LastName,Valid,High,Visitor
TS-001,V00074,Chrome,Desktop,Missing_LastName,Valid,Medium,Visitor
TS-001,V00075,Chrome,Desktop,Missing_LastName,Valid,Low,Visitor
TS-001,V00076,Chrome,Mobile,Missing_LastName,Valid,High,Visitor
