Scenario_ID,Variant_ID,Browser,Device,Email_Format,Input_Validity,Network_Speed,User_Type
TS-002,V00001,Chrome,Desktop,Missing_At,Invalid,High,Visitor
TS-002,V00002,Chrome,Desktop,Missing_At,Invalid,Medium,Visitor
TS-002,V00003,Chrome,Desktop,Missing_At,Invalid,Low,Visitor
TS-002,V00004,Chrome,Mobile,Missing_At,Invalid,High,Visitor
TS-002,V00005,Chrome,Mobile,Missing_At,Invalid,Medium,Visitor
TS-002,V00006,Chrome,Mobile,Missing_At,Invalid,Low,Visitor
TS-002,V00007,Chrome,Tablet,Missing_At,Invalid,High,Visitor
TS-002,V00008,Chrome,Tablet,Missing_At,Invalid,Medium,Visitor
TS-002,V00009,Chrome,Tablet,Missing_At,Invalid,Low,Visitor
TS-002,V00010,Firefox,Desktop,Missing_At,Invalid,High,Visitor
TS-002,V00011,Firefox,Desktop,Missing_At,Invalid,Medium,Visitor
TS-002,V00012,Firefox,Desktop,Missing_At,Invalid,Low,Visitor
TS-002,V00013,Firefox,Mobile,Missing_At,Invalid,High,Visitor
TS-002,V00014,Firefox,Mobile,Missing_At,Invalid,Medium,Visitor
TS-002,V00015,Firefox,Mobile,Missing_At,Invalid,Low,Visitor
TS-002,V00016,Firefox,Tablet,Missing_At,Invalid,High,Visitor
TS-002,V00017,Firefox,Tablet,Missing_At,Invalid,Medium,Visitor
TS-002,V00018,Firefox,Tablet,Missing_At,Invalid,Low,Visitor
TS-002,V00019,Safari,Desktop,Missing_At,Invalid,High,Visitor
TS-002,V00020,Safari,Desktop,Missing_At,Invalid,Medium,Visitor
TS-002,V00021,Safari,Desktop,Missing_At,Invalid,Low,Visitor
TS-002,V00022,Safari,Mobile,Missing_At,Invalid,High,Visitor
TS-002,V00023,Safari,Mobile,Missing_At,Invalid,Medium,Visitor
TS-002,V00024,Safari,Mobile,Missing_At,Invalid,Low,Visitor
TS-002,V00025,Safari,Tablet,Missing_At,Invalid,High,Visitor
TS-002,V00026,Safari,Tablet,Missing_At,Invalid,Medium,Visitor
TS-002,V00027,Safari,Tablet,Missing_At,Invalid,Low,Visitor
TS-002,V00028,Edge,Desktop,Missing_At,Invalid,High,Visitor
TS-002,V00029,Edge,Desktop,Missing_At,Invalid,Medium,Visitor
TS-002,V00030,Edge,Desktop,Missing_At,Invalid,Low,Visitor
TS-002,V00031,Edge,Mobile,Missing_At,Invalid,High,Visitor
TS-002,V00032,Edge,Mobile,Missing_At,Invalid,Medium,Visitor
TS-002,V00033,Edge,Mobile,Missing_At,Invalid,Low,Visitor
TS-002,V00034,Edge,Tablet,Missing_At,Invalid,High,Visitor
TS-002,V00035,Edge,Tablet,Missing_At,Invalid,Medium,Visitor
TS-002,V00036,Edge,Tablet,Missing_At,Invalid,Low,Visitor
TS-002,V00037,Chrome,Desktop,Invalid_Domain,Invalid,High,Visitor
TS-002,V00038,Chrome,Desktop,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00039,Chrome,Desktop,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00040,Chrome,Mobile,Invalid_Domain,Invalid,High,Visitor
TS-002,V00041,Chrome,Mobile,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00042,Chrome,Mobile,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00043,Chrome,Tablet,Invalid_Domain,Invalid,High,Visitor
TS-002,V00044,Chrome,Tablet,Invalid_Domain,Invalid,Medium,Visitor
