Scenario_ID,Variant_ID,Browser,Device,Input_Validity,Network_Speed,Password_State,User_Type
TS-003,V00001,Chrome,Desktop,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00002,Chrome,Desktop,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00003,Chrome,Desktop,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00004,Chrome,Mobile,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00005,Chrome,Mobile,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00006,Chrome,Mobile,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00007,Chrome,Tablet,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00008,Chrome,Tablet,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00009,Chrome,Tablet,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00010,Firefox,Desktop,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00011,Firefox,Desktop,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00012,Firefox,Desktop,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00013,Firefox,Mobile,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00014,Firefox,Mobile,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00015,Firefox,Mobile,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00016,Firefox,Tablet,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00017,Firefox,Tablet,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00018,Firefox,Tablet,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00019,Safari,Desktop,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00020,Safari,Desktop,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00021,Safari,Desktop,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00022,Safari,Mobile,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00023,Safari,Mobile,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00024,Safari,Mobile,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00025,Safari,Tablet,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00026,Safari,Tablet,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00027,Safari,Tablet,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00028,Edge,Desktop,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00029,Edge,Desktop,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00030,Edge,Desktop,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00031,Edge,Mobile,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00032,Edge,Mobile,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00033,Edge,Mobile,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00034,Edge,Tablet,Invalid,High,Mismatch_One_Char,Visitor
TS-003,V00035,Edge,Tablet,Invalid,Medium,Mismatch_One_Char,Visitor
TS-003,V00036,Edge,Tablet,Invalid,Low,Mismatch_One_Char,Visitor
TS-003,V00037,Chrome,Desktop,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00038,Chrome,Desktop,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00039,Chrome,Desktop,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00040,Chrome,Mobile,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00041,Chrome,Mobile,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00042,Chrome,Mobile,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00043,Chrome,Tablet,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00044,Chrome,Tablet,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00045,Chrome,Tablet,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00046,Firefox,Desktop,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00047,Firefox,Desktop,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00048,Firefox,Desktop,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00049,Firefox,Mobile,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00050,Firefox,Mobile,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00051,Firefox,Mobile,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00052,Firefox,Tablet,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00053,Firefox,Tablet,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00054,Firefox,Tablet,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00055,Safari,Desktop,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00056,Safari,Desktop,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00057,Safari,Desktop,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00058,Safari,Mobile,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00059,Safari,Mobile,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00060,Safari,Mobile,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00061,Safari,Tablet,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00062,Safari,Tablet,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00063,Safari,Tablet,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00064,Edge,Desktop,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00065,Edge,Desktop,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00066,Edge,Desktop,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00067,Edge,Mobile,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00068,Edge,Mobile,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00069,Edge,Mobile,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00070,Edge,Tablet,Invalid,High,Mismatch_Multiple_Chars,Visitor
TS-003,V00071,Edge,Tablet,Invalid,Medium,Mismatch_Multiple_Chars,Visitor
TS-003,V00072,Edge,Tablet,Invalid,Low,Mismatch_Multiple_Chars,Visitor
TS-003,V00073,Chrome,Desktop,Invalid,High,Empty_Confirm,Visitor
TS-003,V00074,Chrome,Desktop,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00075,Chrome,Desktop,Invalid,Low,Empty_Confirm,Visitor
