Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,User_Type
TS-004,V00001,Chrome,Desktop,Active_Account,Invalid,High,Visitor
TS-004,V00002,Chrome,Desktop,Active_Account,Invalid,Medium,Visitor
TS-004,V00003,Chrome,Desktop,Active_Account,Invalid,Low,Visitor
TS-004,V00004,Chrome,Mobile,Active_Account,Invalid,High,Visitor
TS-004,V00005,Chrome,Mobile,Active_Account,Invalid,Medium,Visitor
TS-004,V00006,Chrome,Mobile,Active_Account,Invalid,Low,Visitor
TS-004,V00007,Chrome,Tablet,Active_Account,Invalid,High,Visitor
TS-004,V00008,Chrome,Tablet,Active_Account,Invalid,Medium,Visitor
TS-004,V00009,Chrome,Tablet,Active_Account,Invalid,Low,Visitor
TS-004,V00010,Firefox,Desktop,Active_Account,Invalid,High,Visitor
TS-004,V00011,Firefox,Desktop,Active_Account,Invalid,Medium,Visitor
TS-004,V00012,Firefox,Desktop,Active_Account,Invalid,Low,Visitor
TS-004,V00013,Firefox,Mobile,Active_Account,Invalid,High,Visitor
TS-004,V00014,Firefox,Mobile,Active_Account,Invalid,Medium,Visitor
TS-004,V00015,Firefox,Mobile,Active_Account,Invalid,Low,Visitor
TS-004,V00016,Firefox,Tablet,Active_Account,Invalid,High,Visitor
TS-004,V00017,Firefox,Tablet,Active_Account,Invalid,Medium,Visitor
TS-004,V00018,Firefox,Tablet,Active_Account,Invalid,Low,Visitor
TS-004,V00019,Safari,Desktop,Active_Account,Invalid,High,Visitor
TS-004,V00020,Safari,Desktop,Active_Account,Invalid,Medium,Visitor
TS-004,V00021,Safari,Desktop,Active_Account,Invalid,Low,Visitor
TS-004,V00022,Safari,Mobile,Active_Account,Invalid,High,Visitor
TS-004,V00023,Safari,Mobile,Active_Account,Invalid,Medium,Visitor
TS-004,V00024,Safari,Mobile,Active_Account,Invalid,Low,Visitor
TS-004,V00025,Safari,Tablet,Active_Account,Invalid,High,Visitor
TS-004,V00026,Safari,Tablet,Active_Account,Invalid,Medium,Visitor
TS-004,V00027,Safari,Tablet,Active_Account,Invalid,Low,Visitor
TS-004,V00028,Edge,Desktop,Active_Account,Invalid,High,Visitor
TS-004,V00029,Edge,Desktop,Active_Account,Invalid,Medium,Visitor
TS-004,V00030,Edge,Desktop,Active_Account,Invalid,Low,Visitor
TS-004,V00031,Edge,Mobile,Active_Account,Invalid,High,Visitor
TS-004,V00032,Edge,Mobile,Active_Account,Invalid,Medium,Visitor
TS-004,V00033,Edge,Mobile,Active_Account,Invalid,Low,Visitor
TS-004,V00034,Edge,Tablet,Active_Account,Invalid,High,Visitor
TS-004,V00035,Edge,Tablet,Active_Account,Invalid,Medium,Visitor
TS-004,V00036,Edge,Tablet,Active_Account,Invalid,Low,Visitor
TS-004,V00037,Chrome,Desktop,Inactive_Account,Invalid,High,Visitor
TS-004,V00038,Chrome,Desktop,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00039,Chrome,Desktop,Inactive_Account,Invalid,Low,Visitor
TS-004,V00040,Chrome,Mobile,Inactive_Account,Invalid,High,Visitor
TS-004,V00041,Chrome,Mobile,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00042,Chrome,Mobile,Inactive_Account,Invalid,Low,Visitor
TS-004,V00043,Chrome,Tablet,Inactive_Account,Invalid,High,Visitor
TS-004,V00044,Chrome,Tablet,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00045,Chrome,Tablet,Inactive_Account,Invalid,Low,Visitor
TS-004,V00046,Firefox,Desktop,Inactive_Account,Invalid,High,Visitor
TS-004,V00047,Firefox,Desktop,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00048,Firefox,Desktop,Inactive_Account,Invalid,Low,Visitor
TS-004,V00049,Firefox,Mobile,Inactive_Account,Invalid,High,Visitor
TS-004,V00050,Firefox,Mobile,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00051,Firefox,Mobile,Inactive_Account,Invalid,Low,Visitor
TS-004,V00052,Firefox,Tablet,Inactive_Account,Invalid,High,Visitor
TS-004,V00053,Firefox,Tablet,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00054,Firefox,Tablet,Inactive_Account,Invalid,Low,Visitor
TS-004,V00055,Safari,Desktop,Inactive_Account,Invalid,High,Visitor
TS-004,V00056,Safari,Desktop,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00057,Safari,Desktop,Inactive_Account,Invalid,Low,Visitor
TS-004,V00058,Safari,Mobile,Inactive_Account,Invalid,High,Visitor
TS-004,V00059,Safari,Mobile,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00060,Safari,Mobile,Inactive_Account,Invalid,Low,Visitor
TS-004,V00061,Safari,Tablet,Inactive_Account,Invalid,High,Visitor
TS-004,V00062,Safari,Tablet,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00063,Safari,Tablet,Inactive_Account,Invalid,Low,Visitor
TS-004,V00064,Edge,Desktop,Inactive_Account,Invalid,High,Visitor
TS-004,V00065,Edge,Desktop,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00066,Edge,Desktop,Inactive_Account,Invalid,Low,Visitor
TS-004,V00067,Edge,Mobile,Inactive_Account,Invalid,High,Visitor
TS-004,V00068,Edge,Mobile,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00069,Edge,Mobile,Inactive_Account,Invalid,Low,Visitor
TS-004,V00070,Edge,Tablet,Inactive_Account,Invalid,High,Visitor
TS-004,V00071,Edge,Tablet,Inactive_Account,Invalid,Medium,Visitor
TS-004,V00072,Edge,Tablet,Inactive_Account,Invalid,Low,Visitor
TS-004,V00073,Chrome,Desktop,Unverified_Account,Invalid,High,Visitor
TS-004,V00074,Chrome,Desktop,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00075,Chrome,Desktop,Unverified_Account,Invalid,Low,Visitor
TS-004,V00076,Chrome,Mobile,Unverified_Account,Invalid,High,Visitor
