Scenario_ID,Variant_ID,Browser,Device,Input_Validity,Network_Speed,Terms_Accepted,User_Type
TS-005,V00001,Chrome,Desktop,Invalid,High,No,Visitor
TS-005,V00002,Chrome,Desktop,Invalid,Medium,No,Visitor
TS-005,V00003,Chrome,Desktop,Invalid,Low,No,Visitor
TS-005,V00004,Chrome,Mobile,Invalid,High,No,Visitor
TS-005,V00005,Chrome,Mobile,Invalid,Medium,No,Visitor
TS-005,V00006,Chrome,Mobile,Invalid,Low,No,Visitor
TS-005,V00007,Chrome,Tablet,Invalid,High,No,Visitor
TS-005,V00008,Chrome,Tablet,Invalid,Medium,No,Visitor
TS-005,V00009,Chrome,Tablet,Invalid,Low,No,Visitor
TS-005,V00010,Firefox,Desktop,Invalid,High,No,Visitor
TS-005,V00011,Firefox,Desktop,Invalid,Medium,No,Visitor
TS-005,V00012,Firefox,Desktop,Invalid,Low,No,Visitor
TS-005,V00013,Firefox,Mobile,Invalid,High,No,Visitor
TS-005,V00014,Firefox,Mobile,Invalid,Medium,No,Visitor
TS-005,V00015,Firefox,Mobile,Invalid,Low,No,Visitor
TS-005,V00016,Firefox,Tablet,Invalid,High,No,Visitor
TS-005,V00017,Firefox,Tablet,Invalid,Medium,No,Visitor
TS-005,V00018,Firefox,Tablet,Invalid,Low,No,Visitor
TS-005,V00019,Safari,Desktop,Invalid,High,No,Visitor
TS-005,V00020,Safari,Desktop,Invalid,Medium,No,Visitor
TS-005,V00021,Safari,Desktop,Invalid,Low,No,Visitor
TS-005,V00022,Safari,Mobile,Invalid,High,No,Visitor
TS-005,V00023,Safari,Mobile,Invalid,Medium,No,Visitor
TS-005,V00024,Safari,Mobile,Invalid,Low,No,Visitor
TS-005,V00025,Safari,Tablet,Invalid,High,No,Visitor
TS-005,V00026,Safari,Tablet,Invalid,Medium,No,Visitor
TS-005,V00027,Safari,Tablet,Invalid,Low,No,Visitor
TS-005,V00028,Edge,Desktop,Invalid,High,No,Visitor
TS-005,V00029,Edge,Desktop,Invalid,Medium,No,Visitor
TS-005,V00030,Edge,Desktop,Invalid,Low,No,Visitor
TS-005,V00031,Edge,Mobile,Invalid,High,No,Visitor
TS-005,V00032,Edge,Mobile,Invalid,Medium,No,Visitor
TS-005,V00033,Edge,Mobile,Invalid,Low,No,Visitor
TS-005,V00034,Edge,Tablet,Invalid,High,No,Visitor
TS-005,V00035,Edge,Tablet,Invalid,Medium,No,Visitor
TS-005,V00036,Edge,Tablet,Invalid,Low,No,Visitor
