Scenario_ID,Variant_ID,Browser,Credential_Error,Device,Input_Validity,Network_Speed,User_Type
TS-007,V00001,Chrome,Wrong_Email,Desktop,Invalid,High,Visitor
TS-007,V00002,Chrome,Wrong_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00003,Chrome,Wrong_Email,Desktop,Invalid,Low,Visitor
TS-007,V00004,Chrome,Wrong_Email,Mobile,Invalid,High,Visitor
TS-007,V00005,Chrome,Wrong_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00006,Chrome,Wrong_Email,Mobile,Invalid,Low,Visitor
TS-007,V00007,Chrome,Wrong_Email,Tablet,Invalid,High,Visitor
TS-007,V00008,Chrome,Wrong_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00009,Chrome,Wrong_Email,Tablet,Invalid,Low,Visitor
TS-007,V00010,Firefox,Wrong_Email,Desktop,Invalid,High,Visitor
TS-007,V00011,Firefox,Wrong_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00012,Firefox,Wrong_Email,Desktop,Invalid,Low,Visitor
TS-007,V00013,Firefox,Wrong_Email,Mobile,Invalid,High,Visitor
TS-007,V00014,Firefox,Wrong_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00015,Firefox,Wrong_Email,Mobile,Invalid,Low,Visitor
TS-007,V00016,Firefox,Wrong_Email,Tablet,Invalid,High,Visitor
TS-007,V00017,Firefox,Wrong_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00018,Firefox,Wrong_Email,Tablet,Invalid,Low,Visitor
TS-007,V00019,Safari,Wrong_Email,Desktop,Invalid,High,Visitor
TS-007,V00020,Safari,Wrong_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00021,Safari,Wrong_Email,Desktop,Invalid,Low,Visitor
TS-007,V00022,Safari,Wrong_Email,Mobile,Invalid,High,Visitor
TS-007,V00023,Safari,Wrong_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00024,Safari,Wrong_Email,Mobile,Invalid,Low,Visitor
TS-007,V00025,Safari,Wrong_Email,Tablet,Invalid,High,Visitor
TS-007,V00026,Safari,Wrong_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00027,Safari,Wrong_Email,Tablet,Invalid,Low,Visitor
TS-007,V00028,Edge,Wrong_Email,Desktop,Invalid,High,Visitor
TS-007,V00029,Edge,Wrong_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00030,Edge,Wrong_Email,Desktop,Invalid,Low,Visitor
TS-007,V00031,Edge,Wrong_Email,Mobile,Invalid,High,Visitor
TS-007,V00032,Edge,Wrong_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00033,Edge,Wrong_Email,Mobile,Invalid,Low,Visitor
TS-007,V00034,Edge,Wrong_Email,Tablet,Invalid,High,Visitor
TS-007,V00035,Edge,Wrong_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00036,Edge,Wrong_Email,Tablet,Invalid,Low,Visitor
TS-007,V00037,Chrome,Wrong_Password,Desktop,Invalid,High,Visitor
TS-007,V00038,Chrome,Wrong_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00039,Chrome,Wrong_Password,Desktop,Invalid,Low,Visitor
TS-007,V00040,Chrome,Wrong_Password,Mobile,Invalid,High,Visitor
TS-007,V00041,Chrome,Wrong_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00042,Chrome,Wrong_Password,Mobile,Invalid,Low,Visitor
TS-007,V00043,Chrome,Wrong_Password,Tablet,Invalid,High,Visitor
TS-007,V00044,Chrome,Wrong_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00045,Chrome,Wrong_Password,Tablet,Invalid,Low,Visitor
TS-007,V00046,Firefox,Wrong_Password,Desktop,Invalid,High,Visitor
TS-007,V00047,Firefox,Wrong_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00048,Firefox,Wrong_Password,Desktop,Invalid,Low,Visitor
TS-007,V00049,Firefox,Wrong_Password,Mobile,Invalid,High,Visitor
TS-007,V00050,Firefox,Wrong_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00051,Firefox,Wrong_Password,Mobile,Invalid,Low,Visitor
TS-007,V00052,Firefox,Wrong_Password,Tablet,Invalid,High,Visitor
TS-007,V00053,Firefox,Wrong_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00054,Firefox,Wrong_Password,Tablet,Invalid,Low,Visitor
TS-007,V00055,Safari,Wrong_Password,Desktop,Invalid,High,Visitor
TS-007,V00056,Safari,Wrong_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00057,Safari,Wrong_Password,Desktop,Invalid,Low,Visitor
TS-007,V00058,Safari,Wrong_Password,Mobile,Invalid,High,Visitor
TS-007,V00059,Safari,Wrong_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00060,Safari,Wrong_Password,Mobile,Invalid,Low,Visitor
TS-007,V00061,Safari,Wrong_Password,Tablet,Invalid,High,Visitor
TS-007,V00062,Safari,Wrong_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00063,Safari,Wrong_Password,Tablet,Invalid,Low,Visitor
TS-007,V00064,Edge,Wrong_Password,Desktop,Invalid,High,Visitor
TS-007,V00065,Edge,Wrong_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00066,Edge,Wrong_Password,Desktop,Invalid,Low,Visitor
TS-007,V00067,Edge,Wrong_Password,Mobile,Invalid,High,Visitor
TS-007,V00068,Edge,Wrong_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00069,Edge,Wrong_Password,Mobile,Invalid,Low,Visitor
TS-007,V00070,Edge,Wrong_Password,Tablet,Invalid,High,Visitor
TS-007,V00071,Edge,Wrong_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00072,Edge,Wrong_Password,Tablet,Invalid,Low,Visitor
