Scenario_ID,Variant_ID,Account_State,Browser,Device,Email_Verification,Input_Validity,Network_Speed,User_Type
TS-008,V00001,Unverified,Chrome,Desktop,Not_Clicked,Valid,High,Buyer
TS-008,V00002,Unverified,Chrome,Desktop,Not_Clicked,Valid,Medium,Buyer
TS-008,V00003,Unverified,Chrome,Desktop,Not_Clicked,Valid,Low,Buyer
TS-008,V00004,Unverified,Chrome,Mobile,Not_Clicked,Valid,High,Buyer
TS-008,V00005,Unverified,Chrome,Mobile,Not_Clicked,Valid,Medium,Buyer
TS-008,V00006,Unverified,Chrome,Mobile,Not_Clicked,Valid,Low,Buyer
TS-008,V00007,Unverified,Chrome,Tablet,Not_Clicked,Valid,High,Buyer
TS-008,V00008,Unverified,Chrome,Tablet,Not_Clicked,Valid,Medium,Buyer
TS-008,V00009,Unverified,Chrome,Tablet,Not_Clicked,Valid,Low,Buyer
TS-008,V00010,Unverified,Firefox,Desktop,Not_Clicked,Valid,High,Buyer
TS-008,V00011,Unverified,Firefox,Desktop,Not_Clicked,Valid,Medium,Buyer
TS-008,V00012,Unverified,Firefox,Desktop,Not_Clicked,Valid,Low,Buyer
TS-008,V00013,Unverified,Firefox,Mobile,Not_Clicked,Valid,High,Buyer
TS-008,V00014,Unverified,Firefox,Mobile,Not_Clicked,Valid,Medium,Buyer
TS-008,V00015,Unverified,Firefox,Mobile,Not_Clicked,Valid,Low,Buyer
TS-008,V00016,Unverified,Firefox,Tablet,Not_Clicked,Valid,High,Buyer
TS-008,V00017,Unverified,Firefox,Tablet,Not_Clicked,Valid,Medium,Buyer
TS-008,V00018,Unverified,Firefox,Tablet,Not_Clicked,Valid,Low,Buyer
TS-008,V00019,Unverified,Safari,Desktop,Not_Clicked,Valid,High,Buyer
TS-008,V00020,Unverified,Safari,Desktop,Not_Clicked,Valid,Medium,Buyer
TS-008,V00021,Unverified,Safari,Desktop,Not_Clicked,Valid,Low,Buyer
TS-008,V00022,Unverified,Safari,Mobile,Not_Clicked,Valid,High,Buyer
TS-008,V00023,Unverified,Safari,Mobile,Not_Clicked,Valid,Medium,Buyer
TS-008,V00024,Unverified,Safari,Mobile,Not_Clicked,Valid,Low,Buyer
TS-008,V00025,Unverified,Safari,Tablet,Not_Clicked,Valid,High,Buyer
TS-008,V00026,Unverified,Safari,Tablet,Not_Clicked,Valid,Medium,Buyer
TS-008,V00027,Unverified,Safari,Tablet,Not_Clicked,Valid,Low,Buyer
TS-008,V00028,Unverified,Edge,Desktop,Not_Clicked,Valid,High,Buyer
TS-008,V00029,Unverified,Edge,Desktop,Not_Clicked,Valid,Medium,Buyer
TS-008,V00030,Unverified,Edge,Desktop,Not_Clicked,Valid,Low,Buyer
TS-008,V00031,Unverified,Edge,Mobile,Not_Clicked,Valid,High,Buyer
TS-008,V00032,Unverified,Edge,Mobile,Not_Clicked,Valid,Medium,Buyer
TS-008,V00033,Unverified,Edge,Mobile,Not_Clicked,Valid,Low,Buyer
TS-008,V00034,Unverified,Edge,Tablet,Not_Clicked,Valid,High,Buyer
TS-008,V00035,Unverified,Edge,Tablet,Not_Clicked,Valid,Medium,Buyer
TS-008,V00036,Unverified,Edge,Tablet,Not_Clicked,Valid,Low,Buyer
