Scenario_ID,Variant_ID,Auth_Method,Browser,Device,Input_Validity,Network_Speed,OAuth_State,User_Type
TS-010,V00001,Google,Chrome,Desktop,Valid,High,Authorized,Visitor
TS-010,V00002,Google,Chrome,Desktop,Valid,Medium,Authorized,Visitor
TS-010,V00003,Google,Chrome,Desktop,Valid,Low,Authorized,Visitor
TS-010,V00004,Google,Chrome,Mobile,Valid,High,Authorized,Visitor
TS-010,V00005,Google,Chrome,Mobile,Valid,Medium,Authorized,Visitor
TS-010,V00006,Google,Chrome,Mobile,Valid,Low,Authorized,Visitor
TS-010,V00007,Google,Chrome,Tablet,Valid,High,Authorized,Visitor
TS-010,V00008,Google,Chrome,Tablet,Valid,Medium,Authorized,Visitor
TS-010,V00009,Google,Chrome,Tablet,Valid,Low,Authorized,Visitor
TS-010,V00010,Google,Firefox,Desktop,Valid,High,Authorized,Visitor
TS-010,V00011,Google,Firefox,Desktop,Valid,Medium,Authorized,Visitor
TS-010,V00012,Google,Firefox,Desktop,Valid,Low,Authorized,Visitor
TS-010,V00013,Google,Firefox,Mobile,Valid,High,Authorized,Visitor
TS-010,V00014,Google,Firefox,Mobile,Valid,Medium,Authorized,Visitor
TS-010,V00015,Google,Firefox,Mobile,Valid,Low,Authorized,Visitor
TS-010,V00016,Google,Firefox,Tablet,Valid,High,Authorized,Visitor
TS-010,V00017,Google,Firefox,Tablet,Valid,Medium,Authorized,Visitor
TS-010,V00018,Google,Firefox,Tablet,Valid,Low,Authorized,Visitor
TS-010,V00019,Google,Safari,Desktop,Valid,High,Authorized,Visitor
TS-010,V00020,Google,Safari,Desktop,Valid,Medium,Authorized,Visitor
TS-010,V00021,Google,Safari,Desktop,Valid,Low,Authorized,Visitor
TS-010,V00022,Google,Safari,Mobile,Valid,High,Authorized,Visitor
TS-010,V00023,Google,Safari,Mobile,Valid,Medium,Authorized,Visitor
TS-010,V00024,Google,Safari,Mobile,Valid,Low,Authorized,Visitor
TS-010,V00025,Google,Safari,Tablet,Valid,High,Authorized,Visitor
TS-010,V00026,Google,Safari,Tablet,Valid,Medium,Authorized,Visitor
TS-010,V00027,Google,Safari,Tablet,Valid,Low,Authorized,Visitor
TS-010,V00028,Google,Edge,Desktop,Valid,High,Authorized,Visitor
TS-010,V00029,Google,Edge,Desktop,Valid,Medium,Authorized,Visitor
TS-010,V00030,Google,Edge,Desktop,Valid,Low,Authorized,Visitor
TS-010,V00031,Google,Edge,Mobile,Valid,High,Authorized,Visitor
TS-010,V00032,Google,Edge,Mobile,Valid,Medium,Authorized,Visitor
TS-010,V00033,Google,Edge,Mobile,Valid,Low,Authorized,Visitor
TS-010,V00034,Google,Edge,Tablet,Valid,High,Authorized,Visitor
TS-010,V00035,Google,Edge,Tablet,Valid,Medium,Authorized,Visitor
TS-010,V00036,Google,Edge,Tablet,Valid,Low,Authorized,Visitor
TS-010,V00037,Google,Chrome,Desktop,Valid,High,Denied,Visitor
TS-010,V00038,Google,Chrome,Desktop,Valid,Medium,Denied,Visitor
TS-010,V00039,Google,Chrome,Desktop,Valid,Low,Denied,Visitor
TS-010,V00040,Google,Chrome,Mobile,Valid,High,Denied,Visitor
TS-010,V00041,Google,Chrome,Mobile,Valid,Medium,Denied,Visitor
TS-010,V00042,Google,Chrome,Mobile,Valid,Low,Denied,Visitor
TS-010,V00043,Google,Chrome,Tablet,Valid,High,Denied,Visitor
TS-010,V00044,Google,Chrome,Tablet,Valid,Medium,Denied,Visitor
TS-010,V00045,Google,Chrome,Tablet,Valid,Low,Denied,Visitor
TS-010,V00046,Google,Firefox,Desktop,Valid,High,Denied,Visitor
TS-010,V00047,Google,Firefox,Desktop,Valid,Medium,Denied,Visitor
TS-010,V00048,Google,Firefox,Desktop,Valid,Low,Denied,Visitor
TS-010,V00049,Google,Firefox,Mobile,Valid,High,Denied,Visitor
TS-010,V00050,Google,Firefox,Mobile,Valid,Medium,Denied,Visitor
TS-010,V00051,Google,Firefox,Mobile,Valid,Low,Denied,Visitor
TS-010,V00052,Google,Firefox,Tablet,Valid,High,Denied,Visitor
TS-010,V00053,Google,Firefox,Tablet,Valid,Medium,Denied,Visitor
TS-010,V00054,Google,Firefox,Tablet,Valid,Low,Denied,Visitor
TS-010,V00055,Google,Safari,Desktop,Valid,High,Denied,Visitor
TS-010,V00056,Google,Safari,Desktop,Valid,Medium,Denied,Visitor
TS-010,V00057,Google,Safari,Desktop,Valid,Low,Denied,Visitor
TS-010,V00058,Google,Safari,Mobile,Valid,High,Denied,Visitor
TS-010,V00059,Google,Safari,Mobile,Valid,Medium,Denied,Visitor
TS-010,V00060,Google,Safari,Mobile,Valid,Low,Denied,Visitor
TS-010,V00061,Google,Safari,Tablet,Valid,High,Denied,Visitor
TS-010,V00062,Google,Safari,Tablet,Valid,Medium,Denied,Visitor
TS-010,V00063,Google,Safari,Tablet,Valid,Low,Denied,Visitor
TS-010,V00064,Google,Edge,Desktop,Valid,High,Denied,Visitor
TS-010,V00065,Google,Edge,Desktop,Valid,Medium,Denied,Visitor
TS-010,V00066,Google,Edge,Desktop,Valid,Low,Denied,Visitor
TS-010,V00067,Google,Edge,Mobile,Valid,High,Denied,Visitor
TS-010,V00068,Google,Edge,Mobile,Valid,Medium,Denied,Visitor
TS-010,V00069,Google,Edge,Mobile,Valid,Low,Denied,Visitor
TS-010,V00070,Google,Edge,Tablet,Valid,High,Denied,Visitor
TS-010,V00071,Google,Edge,Tablet,Valid,Medium,Denied,Visitor
TS-010,V00072,Google,Edge,Tablet,Valid,Low,Denied,Visitor
TS-010,V00073,Google,Chrome,Desktop,Valid,High,Already_Linked,Visitor
TS-010,V00074,Google,Chrome,Desktop,Valid,Medium,Already_Linked,Visitor
TS-010,V00075,Google,Chrome,Desktop,Valid,Low,Already_Linked,Visitor
TS-010,V00076,Google,Chrome,Mobile,Valid,High,Already_Linked,Visitor
TS-010,V00077,Google,Chrome,Mobile,Valid,Medium,Already_Linked,Visitor
TS-010,V00078,Google,Chrome,Mobile,Valid,Low,Already_Linked,Visitor
TS-010,V00079,Google,Chrome,Tablet,Valid,High,Already_Linked,Visitor
TS-010,V00080,Google,Chrome,Tablet,Valid,Medium,Already_Linked,Visitor
TS-010,V00081,Google,Chrome,Tablet,Valid,Low,Already_Linked,Visitor
TS-010,V00082,Google,Firefox,Desktop,Valid,High,Already_Linked,Visitor
TS-010,V00083,Google,Firefox,Desktop,Valid,Medium,Already_Linked,Visitor
TS-010,V00084,Google,Firefox,Desktop,Valid,Low,Already_Linked,Visitor
TS-010,V00085,Google,Firefox,Mobile,Valid,High,Already_Linked,Visitor
TS-010,V00086,Google,Firefox,Mobile,Valid,Medium,Already_Linked,Visitor
TS-010,V00087,Google,Firefox,Mobile,Valid,Low,Already_Linked,Visitor
TS-010,V00088,Google,Firefox,Tablet,Valid,High,Already_Linked,Visitor
TS-010,V00089,Google,Firefox,Tablet,Valid,Medium,Already_Linked,Visitor
TS-010,V00090,Google,Firefox,Tablet,Valid,Low,Already_Linked,Visitor
TS-010,V00091,Google,Safari,Desktop,Valid,High,Already_Linked,Visitor
TS-010,V00092,Google,Safari,Desktop,Valid,Medium,Already_Linked,Visitor
TS-010,V00093,Google,Safari,Desktop,Valid,Low,Already_Linked,Visitor
TS-010,V00094,Google,Safari,Mobile,Valid,High,Already_Linked,Visitor
TS-010,V00095,Google,Safari,Mobile,Valid,Medium,Already_Linked,Visitor
TS-010,V00096,Google,Safari,Mobile,Valid,Low,Already_Linked,Visitor
TS-010,V00097,Google,Safari,Tablet,Valid,High,Already_Linked,Visitor
TS-010,V00098,Google,Safari,Tablet,Valid,Medium,Already_Linked,Visitor
TS-010,V00099,Google,Safari,Tablet,Valid,Low,Already_Linked,Visitor
TS-010,V00100,Google,Edge,Desktop,Valid,High,Already_Linked,Visitor
TS-010,V00101,Google,Edge,Desktop,Valid,Medium,Already_Linked,Visitor
TS-010,V00102,Google,Edge,Desktop,Valid,Low,Already_Linked,Visitor
TS-010,V00103,Google,Edge,Mobile,Valid,High,Already_Linked,Visitor
TS-010,V00104,Google,Edge,Mobile,Valid,Medium,Already_Linked,Visitor
TS-010,V00105,Google,Edge,Mobile,Valid,Low,Already_Linked,Visitor
TS-010,V00106,Google,Edge,Tablet,Valid,High,Already_Linked,Visitor
TS-010,V00107,Google,Edge,Tablet,Valid,Medium,Already_Linked,Visitor
TS-010,V00108,Google,Edge,Tablet,Valid,Low,Already_Linked,Visitor
TS-010,V00109,Google,Chrome,Desktop,Valid,High,New_Account,Visitor
TS-010,V00110,Google,Chrome,Desktop,Valid,Medium,New_Account,Visitor
TS-010,V00111,Google,Chrome,Desktop,Valid,Low,New_Account,Visitor
TS-010,V00112,Google,Chrome,Mobile,Valid,High,New_Account,Visitor
TS-010,V00113,Google,Chrome,Mobile,Valid,Medium,New_Account,Visitor
TS-010,V00114,Google,Chrome,Mobile,Valid,Low,New_Account,Visitor
TS-010,V00115,Google,Chrome,Tablet,Valid,High,New_Account,Visitor
TS-010,V00116,Google,Chrome,Tablet,Valid,Medium,New_Account,Visitor
TS-010,V00117,Google,Chrome,Tablet,Valid,Low,New_Account,Visitor
TS-010,V00118,Google,Firefox,Desktop,Valid,High,New_Account,Visitor
TS-010,V00119,Google,Firefox,Desktop,Valid,Medium,New_Account,Visitor
TS-010,V00120,Google,Firefox,Desktop,Valid,Low,New_Account,Visitor
TS-010,V00121,Google,Firefox,Mobile,Valid,High,New_Account,Visitor
TS-010,V00122,Google,Firefox,Mobile,Valid,Medium,New_Account,Visitor
TS-010,V00123,Google,Firefox,Mobile,Valid,Low,New_Account,Visitor
TS-010,V00124,Google,Firefox,Tablet,Valid,High,New_Account,Visitor
TS-010,V00125,Google,Firefox,Tablet,Valid,Medium,New_Account,Visitor
TS-010,V00126,Google,Firefox,Tablet,Valid,Low,New_Account,Visitor
TS-010,V00127,Google,Safari,Desktop,Valid,High,New_Account,Visitor
TS-010,V00128,Google,Safari,Desktop,Valid,Medium,New_Account,Visitor
TS-010,V00129,Google,Safari,Desktop,Valid,Low,New_Account,Visitor
TS-010,V00130,Google,Safari,Mobile,Valid,High,New_Account,Visitor
TS-010,V00131,Google,Safari,Mobile,Valid,Medium,New_Account,Visitor
TS-010,V00132,Google,Safari,Mobile,Valid,Low,New_Account,Visitor
TS-010,V00133,Google,Safari,Tablet,Valid,High,New_Account,Visitor
TS-010,V00134,Google,Safari,Tablet,Valid,Medium,New_Account,Visitor
TS-010,V00135,Google,Safari,Tablet,Valid,Low,New_Account,Visitor
TS-010,V00136,Google,Edge,Desktop,Valid,High,New_Account,Visitor
TS-010,V00137,Google,Edge,Desktop,Valid,Medium,New_Account,Visitor
TS-010,V00138,Google,Edge,Desktop,Valid,Low,New_Account,Visitor
TS-010,V00139,Google,Edge,Mobile,Valid,High,New_Account,Visitor
