Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,Reset_Link_State,User_Type
TS-011,V00001,Chrome,Desktop,Registered,Valid,High,Valid,Buyer
TS-011,V00002,Chrome,Desktop,Registered,Valid,Medium,Valid,Buyer
TS-011,V00003,Chrome,Desktop,Registered,Valid,Low,Valid,Buyer
TS-011,V00004,Chrome,Mobile,Registered,Valid,High,Valid,Buyer
TS-011,V00005,Chrome,Mobile,Registered,Valid,Medium,Valid,Buyer
TS-011,V00006,Chrome,Mobile,Registered,Valid,Low,Valid,Buyer
TS-011,V00007,Chrome,Tablet,Registered,Valid,High,Valid,Buyer
TS-011,V00008,Chrome,Tablet,Registered,Valid,Medium,Valid,Buyer
TS-011,V00009,Chrome,Tablet,Registered,Valid,Low,Valid,Buyer
TS-011,V00010,Firefox,Desktop,Registered,Valid,High,Valid,Buyer
TS-011,V00011,Firefox,Desktop,Registered,Valid,Medium,Valid,Buyer
TS-011,V00012,Firefox,Desktop,Registered,Valid,Low,Valid,Buyer
TS-011,V00013,Firefox,Mobile,Registered,Valid,High,Valid,Buyer
TS-011,V00014,Firefox,Mobile,Registered,Valid,Medium,Valid,Buyer
TS-011,V00015,Firefox,Mobile,Registered,Valid,Low,Valid,Buyer
TS-011,V00016,Firefox,Tablet,Registered,Valid,High,Valid,Buyer
TS-011,V00017,Firefox,Tablet,Registered,Valid,Medium,Valid,Buyer
TS-011,V00018,Firefox,Tablet,Registered,Valid,Low,Valid,Buyer
TS-011,V00019,Safari,Desktop,Registered,Valid,High,Valid,Buyer
TS-011,V00020,Safari,Desktop,Registered,Valid,Medium,Valid,Buyer
TS-011,V00021,Safari,Desktop,Registered,Valid,Low,Valid,Buyer
TS-011,V00022,Safari,Mobile,Registered,Valid,High,Valid,Buyer
TS-011,V00023,Safari,Mobile,Registered,Valid,Medium,Valid,Buyer
TS-011,V00024,Safari,Mobile,Registered,Valid,Low,Valid,Buyer
TS-011,V00025,Safari,Tablet,Registered,Valid,High,Valid,Buyer
TS-011,V00026,Safari,Tablet,Registered,Valid,Medium,Valid,Buyer
TS-011,V00027,Safari,Tablet,Registered,Valid,Low,Valid,Buyer
TS-011,V00028,Edge,Desktop,Registered,Valid,High,Valid,Buyer
TS-011,V00029,Edge,Desktop,Registered,Valid,Medium,Valid,Buyer
TS-011,V00030,Edge,Desktop,Registered,Valid,Low,Valid,Buyer
TS-011,V00031,Edge,Mobile,Registered,Valid,High,Valid,Buyer
TS-011,V00032,Edge,Mobile,Registered,Valid,Medium,Valid,Buyer
