Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,User_Type
TS-012,V00001,Chrome,Desktop,Not_Registered,Invalid,High,Visitor
TS-012,V00002,Chrome,Desktop,Not_Registered,Invalid,Medium,Visitor
TS-012,V00003,Chrome,Desktop,Not_Registered,Invalid,Low,Visitor
TS-012,V00004,Chrome,Mobile,Not_Registered,Invalid,High,Visitor
TS-012,V00005,Chrome,Mobile,Not_Registered,Invalid,Medium,Visitor
TS-012,V00006,Chrome,Mobile,Not_Registered,Invalid,Low,Visitor
TS-012,V00007,Chrome,Tablet,Not_Registered,Invalid,High,Visitor
TS-012,V00008,Chrome,Tablet,Not_Registered,Invalid,Medium,Visitor
TS-012,V00009,Chrome,Tablet,Not_Registered,Invalid,Low,Visitor
TS-012,V00010,Firefox,Desktop,Not_Registered,Invalid,High,Visitor
TS-012,V00011,Firefox,Desktop,Not_Registered,Invalid,Medium,Visitor
TS-012,V00012,Firefox,Desktop,Not_Registered,Invalid,Low,Visitor
TS-012,V00013,Firefox,Mobile,Not_Registered,Invalid,High,Visitor
TS-012,V00014,Firefox,Mobile,Not_Registered,Invalid,Medium,Visitor
TS-012,V00015,Firefox,Mobile,Not_Registered,Invalid,Low,Visitor
TS-012,V00016,Firefox,Tablet,Not_Registered,Invalid,High,Visitor
TS-012,V00017,Firefox,Tablet,Not_Registered,Invalid,Medium,Visitor
TS-012,V00018,Firefox,Tablet,Not_Registered,Invalid,Low,Visitor
TS-012,V00019,Safari,Desktop,Not_Registered,Invalid,High,Visitor
TS-012,V00020,Safari,Desktop,Not_Registered,Invalid,Medium,Visitor
TS-012,V00021,Safari,Desktop,Not_Registered,Invalid,Low,Visitor
TS-012,V00022,Safari,Mobile,Not_Registered,Invalid,High,Visitor
TS-012,V00023,Safari,Mobile,Not_Registered,Invalid,Medium,Visitor
TS-012,V00024,Safari,Mobile,Not_Registered,Invalid,Low,Visitor
TS-012,V00025,Safari,Tablet,Not_Registered,Invalid,High,Visitor
TS-012,V00026,Safari,Tablet,Not_Registered,Invalid,Medium,Visitor
TS-012,V00027,Safari,Tablet,Not_Registered,Invalid,Low,Visitor
TS-012,V00028,Edge,Desktop,Not_Registered,Invalid,High,Visitor
