Scenario_ID,Variant_ID,Browser,Device,Input_Validity,Network_Speed,Results_Count,Search_Query,User_Type
TS-014,V00001,Chrome,Desktop,Valid,High,Zero,No_Match,Visitor
TS-014,V00002,Chrome,Desktop,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00003,Chrome,Desktop,Valid,Low,Zero,No_Match,Visitor
TS-014,V00004,Chrome,Mobile,Valid,High,Zero,No_Match,Visitor
TS-014,V00005,Chrome,Mobile,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00006,Chrome,Mobile,Valid,Low,Zero,No_Match,Visitor
TS-014,V00007,Chrome,Tablet,Valid,High,Zero,No_Match,Visitor
TS-014,V00008,Chrome,Tablet,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00009,Chrome,Tablet,Valid,Low,Zero,No_Match,Visitor
TS-014,V00010,Firefox,Desktop,Valid,High,Zero,No_Match,Visitor
TS-014,V00011,Firefox,Desktop,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00012,Firefox,Desktop,Valid,Low,Zero,No_Match,Visitor
TS-014,V00013,Firefox,Mobile,Valid,High,Zero,No_Match,Visitor
TS-014,V00014,Firefox,Mobile,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00015,Firefox,Mobile,Valid,Low,Zero,No_Match,Visitor
TS-014,V00016,Firefox,Tablet,Valid,High,Zero,No_Match,Visitor
TS-014,V00017,Firefox,Tablet,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00018,Firefox,Tablet,Valid,Low,Zero,No_Match,Visitor
TS-014,V00019,Safari,Desktop,Valid,High,Zero,No_Match,Visitor
TS-014,V00020,Safari,Desktop,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00021,Safari,Desktop,Valid,Low,Zero,No_Match,Visitor
TS-014,V00022,Safari,Mobile,Valid,High,Zero,No_Match,Visitor
TS-014,V00023,Safari,Mobile,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00024,Safari,Mobile,Valid,Low,Zero,No_Match,Visitor
TS-014,V00025,Safari,Tablet,Valid,High,Zero,No_Match,Visitor
TS-014,V00026,Safari,Tablet,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00027,Safari,Tablet,Valid,Low,Zero,No_Match,Visitor
TS-014,V00028,Edge,Desktop,Valid,High,Zero,No_Match,Visitor
TS-014,V00029,Edge,Desktop,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00030,Edge,Desktop,Valid,Low,Zero,No_Match,Visitor
TS-014,V00031,Edge,Mobile,Valid,High,Zero,No_Match,Visitor
TS-014,V00032,Edge,Mobile,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00033,Edge,Mobile,Valid,Low,Zero,No_Match,Visitor
TS-014,V00034,Edge,Tablet,Valid,High,Zero,No_Match,Visitor
TS-014,V00035,Edge,Tablet,Valid,Medium,Zero,No_Match,Visitor
TS-014,V00036,Edge,Tablet,Valid,Low,Zero,No_Match,Visitor
TS-014,V00037,Chrome,Desktop,Valid,High,Zero,Typo,Visitor
TS-014,V00038,Chrome,Desktop,Valid,Medium,Zero,Typo,Visitor
TS-014,V00039,Chrome,Desktop,Valid,Low,Zero,Typo,Visitor
TS-014,V00040,Chrome,Mobile,Valid,High,Zero,Typo,Visitor
TS-014,V00041,Chrome,Mobile,Valid,Medium,Zero,Typo,Visitor
TS-014,V00042,Chrome,Mobile,Valid,Low,Zero,Typo,Visitor
TS-014,V00043,Chrome,Tablet,Valid,High,Zero,Typo,Visitor
TS-014,V00044,Chrome,Tablet,Valid,Medium,Zero,Typo,Visitor
TS-014,V00045,Chrome,Tablet,Valid,Low,Zero,Typo,Visitor
TS-014,V00046,Firefox,Desktop,Valid,High,Zero,Typo,Visitor
TS-014,V00047,Firefox,Desktop,Valid,Medium,Zero,Typo,Visitor
TS-014,V00048,Firefox,Desktop,Valid,Low,Zero,Typo,Visitor
TS-014,V00049,Firefox,Mobile,Valid,High,Zero,Typo,Visitor
TS-014,V00050,Firefox,Mobile,Valid,Medium,Zero,Typo,Visitor
TS-014,V00051,Firefox,Mobile,Valid,Low,Zero,Typo,Visitor
TS-014,V00052,Firefox,Tablet,Valid,High,Zero,Typo,Visitor
TS-014,V00053,Firefox,Tablet,Valid,Medium,Zero,Typo,Visitor
TS-014,V00054,Firefox,Tablet,Valid,Low,Zero,Typo,Visitor
