Scenario_ID,Variant_ID,Browser,Device,Filter_Type,Filter_Value,Network_Speed,User_Type
TS-017,V00001,Chrome,Desktop,Size,Single_Value,High,Visitor
TS-017,V00002,Chrome,Desktop,Size,Single_Value,Medium,Visitor
TS-017,V00003,Chrome,Desktop,Size,Single_Value,Low,Visitor
TS-017,V00004,Chrome,Mobile,Size,Single_Value,High,Visitor
TS-017,V00005,Chrome,Mobile,Size,Single_Value,Medium,Visitor
TS-017,V00006,Chrome,Mobile,Size,Single_Value,Low,Visitor
TS-017,V00007,Chrome,Tablet,Size,Single_Value,High,Visitor
TS-017,V00008,Chrome,Tablet,Size,Single_Value,Medium,Visitor
TS-017,V00009,Chrome,Tablet,Size,Single_Value,Low,Visitor
TS-017,V00010,Firefox,Desktop,Size,Single_Value,High,Visitor
TS-017,V00011,Firefox,Desktop,Size,Single_Value,Medium,Visitor
TS-017,V00012,Firefox,Desktop,Size,Single_Value,Low,Visitor
TS-017,V00013,Firefox,Mobile,Size,Single_Value,High,Visitor
TS-017,V00014,Firefox,Mobile,Size,Single_Value,Medium,Visitor
TS-017,V00015,Firefox,Mobile,Size,Single_Value,Low,Visitor
TS-017,V00016,Firefox,Tablet,Size,Single_Value,High,Visitor
TS-017,V00017,Firefox,Tablet,Size,Single_Value,Medium,Visitor
TS-017,V00018,Firefox,Tablet,Size,Single_Value,Low,Visitor
TS-017,V00019,Safari,Desktop,Size,Single_Value,High,Visitor
TS-017,V00020,Safari,Desktop,Size,Single_Value,Medium,Visitor
TS-017,V00021,Safari,Desktop,Size,Single_Value,Low,Visitor
TS-017,V00022,Safari,Mobile,Size,Single_Value,High,Visitor
TS-017,V00023,Safari,Mobile,Size,Single_Value,Medium,Visitor
TS-017,V00024,Safari,Mobile,Size,Single_Value,Low,Visitor
TS-017,V00025,Safari,Tablet,Size,Single_Value,High,Visitor
TS-017,V00026,Safari,Tablet,Size,Single_Value,Medium,Visitor
TS-017,V00027,Safari,Tablet,Size,Single_Value,Low,Visitor
TS-017,V00028,Edge,Desktop,Size,Single_Value,High,Visitor
TS-017,V00029,Edge,Desktop,Size,Single_Value,Medium,Visitor
TS-017,V00030,Edge,Desktop,Size,Single_Value,Low,Visitor
TS-017,V00031,Edge,Mobile,Size,Single_Value,High,Visitor
TS-017,V00032,Edge,Mobile,Size,Single_Value,Medium,Visitor
TS-017,V00033,Edge,Mobile,Size,Single_Value,Low,Visitor
TS-017,V00034,Edge,Tablet,Size,Single_Value,High,Visitor
TS-017,V00035,Edge,Tablet,Size,Single_Value,Medium,Visitor
TS-017,V00036,Edge,Tablet,Size,Single_Value,Low,Visitor
TS-017,V00037,Chrome,Desktop,Size,Multiple_Values,High,Visitor
TS-017,V00038,Chrome,Desktop,Size,Multiple_Values,Medium,Visitor
TS-017,V00039,Chrome,Desktop,Size,Multiple_Values,Low,Visitor
TS-017,V00040,Chrome,Mobile,Size,Multiple_Values,High,Visitor
TS-017,V00041,Chrome,Mobile,Size,Multiple_Values,Medium,Visitor
TS-017,V00042,Chrome,Mobile,Size,Multiple_Values,Low,Visitor
TS-017,V00043,Chrome,Tablet,Size,Multiple_Values,High,Visitor
TS-017,V00044,Chrome,Tablet,Size,Multiple_Values,Medium,Visitor
TS-017,V00045,Chrome,Tablet,Size,Multiple_Values,Low,Visitor
TS-017,V00046,Firefox,Desktop,Size,Multiple_Values,High,Visitor
TS-017,V00047,Firefox,Desktop,Size,Multiple_Values,Medium,Visitor
TS-017,V00048,Firefox,Desktop,Size,Multiple_Values,Low,Visitor
TS-017,V00049,Firefox,Mobile,Size,Multiple_Values,High,Visitor
TS-017,V00050,Firefox,Mobile,Size,Multiple_Values,Medium,Visitor
TS-017,V00051,Firefox,Mobile,Size,Multiple_Values,Low,Visitor
TS-017,V00052,Firefox,Tablet,Size,Multiple_Values,High,Visitor
TS-017,V00053,Firefox,Tablet,Size,Multiple_Values,Medium,Visitor
TS-017,V00054,Firefox,Tablet,Size,Multiple_Values,Low,Visitor
TS-017,V00055,Safari,Desktop,Size,Multiple_Values,High,Visitor
TS-017,V00056,Safari,Desktop,Size,Multiple_Values,Medium,Visitor
TS-017,V00057,Safari,Desktop,Size,Multiple_Values,Low,Visitor
TS-017,V00058,Safari,Mobile,Size,Multiple_Values,High,Visitor
TS-017,V00059,Safari,Mobile,Size,Multiple_Values,Medium,Visitor
TS-017,V00060,Safari,Mobile,Size,Multiple_Values,Low,Visitor
TS-017,V00061,Safari,Tablet,Size,Multiple_Values,High,Visitor
TS-017,V00062,Safari,Tablet,Size,Multiple_Values,Medium,Visitor
TS-017,V00063,Safari,Tablet,Size,Multiple_Values,Low,Visitor
TS-017,V00064,Edge,Desktop,Size,Multiple_Values,High,Visitor
TS-017,V00065,Edge,Desktop,Size,Multiple_Values,Medium,Visitor
TS-017,V00066,Edge,Desktop,Size,Multiple_Values,Low,Visitor
TS-017,V00067,Edge,Mobile,Size,Multiple_Values,High,Visitor
TS-017,V00068,Edge,Mobile,Size,Multiple_Values,Medium,Visitor
TS-017,V00069,Edge,Mobile,Size,Multiple_Values,Low,Visitor
TS-017,V00070,Edge,Tablet,Size,Multiple_Values,High,Visitor
TS-017,V00071,Edge,Tablet,Size,Multiple_Values,Medium,Visitor
TS-017,V00072,Edge,Tablet,Size,Multiple_Values,Low,Visitor
TS-017,V00073,Chrome,Desktop,Color,Single_Value,High,Visitor
TS-017,V00074,Chrome,Desktop,Color,Single_Value,Medium,Visitor
TS-017,V00075,Chrome,Desktop,Color,Single_Value,Low,Visitor
TS-017,V00076,Chrome,Mobile,Color,Single_Value,High,Visitor
TS-017,V00077,Chrome,Mobile,Color,Single_Value,Medium,Visitor
TS-017,V00078,Chrome,Mobile,Color,Single_Value,Low,Visitor
TS-017,V00079,Chrome,Tablet,Color,Single_Value,High,Visitor
TS-017,V00080,Chrome,Tablet,Color,Single_Value,Medium,Visitor
TS-017,V00081,Chrome,Tablet,Color,Single_Value,Low,Visitor
TS-017,V00082,Firefox,Desktop,Color,Single_Value,High,Visitor
TS-017,V00083,Firefox,Desktop,Color,Single_Value,Medium,Visitor
TS-017,V00084,Firefox,Desktop,Color,Single_Value,Low,Visitor
TS-017,V00085,Firefox,Mobile,Color,Single_Value,High,Visitor
TS-017,V00086,Firefox,Mobile,Color,Single_Value,Medium,Visitor
TS-017,V00087,Firefox,Mobile,Color,Single_Value,Low,Visitor
TS-017,V00088,Firefox,Tablet,Color,Single_Value,High,Visitor
TS-017,V00089,Firefox,Tablet,Color,Single_Value,Medium,Visitor
TS-017,V00090,Firefox,Tablet,Color,Single_Value,Low,Visitor
TS-017,V00091,Safari,Desktop,Color,Single_Value,High,Visitor
TS-017,V00092,Safari,Desktop,Color,Single_Value,Medium,Visitor
TS-017,V00093,Safari,Desktop,Color,Single_Value,Low,Visitor
TS-017,V00094,Safari,Mobile,Color,Single_Value,High,Visitor
TS-017,V00095,Safari,Mobile,Color,Single_Value,Medium,Visitor
TS-017,V00096,Safari,Mobile,Color,Single_Value,Low,Visitor
TS-017,V00097,Safari,Tablet,Color,Single_Value,High,Visitor
TS-017,V00098,Safari,Tablet,Color,Single_Value,Medium,Visitor
TS-017,V00099,Safari,Tablet,Color,Single_Value,Low,Visitor
TS-017,V00100,Edge,Desktop,Color,Single_Value,High,Visitor
TS-017,V00101,Edge,Desktop,Color,Single_Value,Medium,Visitor
TS-017,V00102,Edge,Desktop,Color,Single_Value,Low,Visitor
TS-017,V00103,Edge,Mobile,Color,Single_Value,High,Visitor
TS-017,V00104,Edge,Mobile,Color,Single_Value,Medium,Visitor
TS-017,V00105,Edge,Mobile,Color,Single_Value,Low,Visitor
TS-017,V00106,Edge,Tablet,Color,Single_Value,High,Visitor
TS-017,V00107,Edge,Tablet,Color,Single_Value,Medium,Visitor
TS-017,V00108,Edge,Tablet,Color,Single_Value,Low,Visitor
TS-017,V00109,Chrome,Desktop,Color,Multiple_Values,High,Visitor
TS-017,V00110,Chrome,Desktop,Color,Multiple_Values,Medium,Visitor
TS-017,V00111,Chrome,Desktop,Color,Multiple_Values,Low,Visitor
TS-017,V00112,Chrome,Mobile,Color,Multiple_Values,High,Visitor
TS-017,V00113,Chrome,Mobile,Color,Multiple_Values,Medium,Visitor
TS-017,V00114,Chrome,Mobile,Color,Multiple_Values,Low,Visitor
TS-017,V00115,Chrome,Tablet,Color,Multiple_Values,High,Visitor
TS-017,V00116,Chrome,Tablet,Color,Multiple_Values,Medium,Visitor
TS-017,V00117,Chrome,Tablet,Color,Multiple_Values,Low,Visitor
TS-017,V00118,Firefox,Desktop,Color,Multiple_Values,High,Visitor
TS-017,V00119,Firefox,Desktop,Color,Multiple_Values,Medium,Visitor
TS-017,V00120,Firefox,Desktop,Color,Multiple_Values,Low,Visitor
TS-017,V00121,Firefox,Mobile,Color,Multiple_Values,High,Visitor
TS-017,V00122,Firefox,Mobile,Color,Multiple_Values,Medium,Visitor
TS-017,V00123,Firefox,Mobile,Color,Multiple_Values,Low,Visitor
TS-017,V00124,Firefox,Tablet,Color,Multiple_Values,High,Visitor
TS-017,V00125,Firefox,Tablet,Color,Multiple_Values,Medium,Visitor
TS-017,V00126,Firefox,Tablet,Color,Multiple_Values,Low,Visitor
TS-017,V00127,Safari,Desktop,Color,Multiple_Values,High,Visitor
TS-017,V00128,Safari,Desktop,Color,Multiple_Values,Medium,Visitor
TS-017,V00129,Safari,Desktop,Color,Multiple_Values,Low,Visitor
TS-017,V00130,Safari,Mobile,Color,Multiple_Values,High,Visitor
