Scenario_ID,Variant_ID,Browser,Device,Image_Count,Network_Speed,Product_State,User_Type
TS-019,V00001,Chrome,Desktop,Single_Image,High,Active,Visitor
TS-019,V00002,Chrome,Desktop,Single_Image,Medium,Active,Visitor
TS-019,V00003,Chrome,Desktop,Single_Image,Low,Active,Visitor
TS-019,V00004,Chrome,Mobile,Single_Image,High,Active,Visitor
TS-019,V00005,Chrome,Mobile,Single_Image,Medium,Active,Visitor
TS-019,V00006,Chrome,Mobile,Single_Image,Low,Active,Visitor
TS-019,V00007,Chrome,Tablet,Single_Image,High,Active,Visitor
TS-019,V00008,Chrome,Tablet,Single_Image,Medium,Active,Visitor
TS-019,V00009,Chrome,Tablet,Single_Image,Low,Active,Visitor
TS-019,V00010,Firefox,Desktop,Single_Image,High,Active,Visitor
TS-019,V00011,Firefox,Desktop,Single_Image,Medium,Active,Visitor
TS-019,V00012,Firefox,Desktop,Single_Image,Low,Active,Visitor
TS-019,V00013,Firefox,Mobile,Single_Image,High,Active,Visitor
TS-019,V00014,Firefox,Mobile,Single_Image,Medium,Active,Visitor
TS-019,V00015,Firefox,Mobile,Single_Image,Low,Active,Visitor
TS-019,V00016,Firefox,Tablet,Single_Image,High,Active,Visitor
TS-019,V00017,Firefox,Tablet,Single_Image,Medium,Active,Visitor
TS-019,V00018,Firefox,Tablet,Single_Image,Low,Active,Visitor
TS-019,V00019,Safari,Desktop,Single_Image,High,Active,Visitor
TS-019,V00020,Safari,Desktop,Single_Image,Medium,Active,Visitor
TS-019,V00021,Safari,Desktop,Single_Image,Low,Active,Visitor
TS-019,V00022,Safari,Mobile,Single_Image,High,Active,Visitor
TS-019,V00023,Safari,Mobile,Single_Image,Medium,Active,Visitor
TS-019,V00024,Safari,Mobile,Single_Image,Low,Active,Visitor
TS-019,V00025,Safari,Tablet,Single_Image,High,Active,Visitor
TS-019,V00026,Safari,Tablet,Single_Image,Medium,Active,Visitor
TS-019,V00027,Safari,Tablet,Single_Image,Low,Active,Visitor
TS-019,V00028,Edge,Desktop,Single_Image,High,Active,Visitor
TS-019,V00029,Edge,Desktop,Single_Image,Medium,Active,Visitor
TS-019,V00030,Edge,Desktop,Single_Image,Low,Active,Visitor
TS-019,V00031,Edge,Mobile,Single_Image,High,Active,Visitor
TS-019,V00032,Edge,Mobile,Single_Image,Medium,Active,Visitor
TS-019,V00033,Edge,Mobile,Single_Image,Low,Active,Visitor
TS-019,V00034,Edge,Tablet,Single_Image,High,Active,Visitor
TS-019,V00035,Edge,Tablet,Single_Image,Medium,Active,Visitor
TS-019,V00036,Edge,Tablet,Single_Image,Low,Active,Visitor
TS-019,V00037,Chrome,Desktop,Multiple_Images,High,Active,Visitor
TS-019,V00038,Chrome,Desktop,Multiple_Images,Medium,Active,Visitor
TS-019,V00039,Chrome,Desktop,Multiple_Images,Low,Active,Visitor
TS-019,V00040,Chrome,Mobile,Multiple_Images,High,Active,Visitor
TS-019,V00041,Chrome,Mobile,Multiple_Images,Medium,Active,Visitor
TS-019,V00042,Chrome,Mobile,Multiple_Images,Low,Active,Visitor
TS-019,V00043,Chrome,Tablet,Multiple_Images,High,Active,Visitor
TS-019,V00044,Chrome,Tablet,Multiple_Images,Medium,Active,Visitor
TS-019,V00045,Chrome,Tablet,Multiple_Images,Low,Active,Visitor
TS-019,V00046,Firefox,Desktop,Multiple_Images,High,Active,Visitor
TS-019,V00047,Firefox,Desktop,Multiple_Images,Medium,Active,Visitor
TS-019,V00048,Firefox,Desktop,Multiple_Images,Low,Active,Visitor
TS-019,V00049,Firefox,Mobile,Multiple_Images,High,Active,Visitor
