Scenario_ID,Variant_ID,Browser,Device,Network_Speed,User_Type,Variation_Availability,Variation_Type
TS-021,V00001,Chrome,Desktop,High,Visitor,All_Available,Size_Only
TS-021,V00002,Chrome,Desktop,Medium,Visitor,All_Available,Size_Only
TS-021,V00003,Chrome,Desktop,Low,Visitor,All_Available,Size_Only
TS-021,V00004,Chrome,Mobile,High,Visitor,All_Available,Size_Only
TS-021,V00005,Chrome,Mobile,Medium,Visitor,All_Available,Size_Only
TS-021,V00006,Chrome,Mobile,Low,Visitor,All_Available,Size_Only
TS-021,V00007,Chrome,Tablet,High,Visitor,All_Available,Size_Only
TS-021,V00008,Chrome,Tablet,Medium,Visitor,All_Available,Size_Only
TS-021,V00009,Chrome,Tablet,Low,Visitor,All_Available,Size_Only
TS-021,V00010,Firefox,Desktop,High,Visitor,All_Available,Size_Only
TS-021,V00011,Firefox,Desktop,Medium,Visitor,All_Available,Size_Only
TS-021,V00012,Firefox,Desktop,Low,Visitor,All_Available,Size_Only
TS-021,V00013,Firefox,Mobile,High,Visitor,All_Available,Size_Only
TS-021,V00014,Firefox,Mobile,Medium,Visitor,All_Available,Size_Only
TS-021,V00015,Firefox,Mobile,Low,Visitor,All_Available,Size_Only
TS-021,V00016,Firefox,Tablet,High,Visitor,All_Available,Size_Only
TS-021,V00017,Firefox,Tablet,Medium,Visitor,All_Available,Size_Only
TS-021,V00018,Firefox,Tablet,Low,Visitor,All_Available,Size_Only
TS-021,V00019,Safari,Desktop,High,Visitor,All_Available,Size_Only
TS-021,V00020,Safari,Desktop,Medium,Visitor,All_Available,Size_Only
TS-021,V00021,Safari,Desktop,Low,Visitor,All_Available,Size_Only
TS-021,V00022,Safari,Mobile,High,Visitor,All_Available,Size_Only
TS-021,V00023,Safari,Mobile,Medium,Visitor,All_Available,Size_Only
TS-021,V00024,Safari,Mobile,Low,Visitor,All_Available,Size_Only
TS-021,V00025,Safari,Tablet,High,Visitor,All_Available,Size_Only
TS-021,V00026,Safari,Tablet,Medium,Visitor,All_Available,Size_Only
TS-021,V00027,Safari,Tablet,Low,Visitor,All_Available,Size_Only
TS-021,V00028,Edge,Desktop,High,Visitor,All_Available,Size_Only
TS-021,V00029,Edge,Desktop,Medium,Visitor,All_Available,Size_Only
TS-021,V00030,Edge,Desktop,Low,Visitor,All_Available,Size_Only
TS-021,V00031,Edge,Mobile,High,Visitor,All_Available,Size_Only
TS-021,V00032,Edge,Mobile,Medium,Visitor,All_Available,Size_Only
TS-021,V00033,Edge,Mobile,Low,Visitor,All_Available,Size_Only
TS-021,V00034,Edge,Tablet,High,Visitor,All_Available,Size_Only
TS-021,V00035,Edge,Tablet,Medium,Visitor,All_Available,Size_Only
TS-021,V00036,Edge,Tablet,Low,Visitor,All_Available,Size_Only
TS-021,V00037,Chrome,Desktop,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00038,Chrome,Desktop,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00039,Chrome,Desktop,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00040,Chrome,Mobile,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00041,Chrome,Mobile,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00042,Chrome,Mobile,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00043,Chrome,Tablet,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00044,Chrome,Tablet,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00045,Chrome,Tablet,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00046,Firefox,Desktop,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00047,Firefox,Desktop,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00048,Firefox,Desktop,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00049,Firefox,Mobile,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00050,Firefox,Mobile,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00051,Firefox,Mobile,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00052,Firefox,Tablet,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00053,Firefox,Tablet,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00054,Firefox,Tablet,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00055,Safari,Desktop,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00056,Safari,Desktop,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00057,Safari,Desktop,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00058,Safari,Mobile,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00059,Safari,Mobile,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00060,Safari,Mobile,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00061,Safari,Tablet,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00062,Safari,Tablet,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00063,Safari,Tablet,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00064,Edge,Desktop,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00065,Edge,Desktop,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00066,Edge,Desktop,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00067,Edge,Mobile,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00068,Edge,Mobile,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00069,Edge,Mobile,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00070,Edge,Tablet,High,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00071,Edge,Tablet,Medium,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00072,Edge,Tablet,Low,Visitor,Some_Out_Of_Stock,Size_Only
TS-021,V00073,Chrome,Desktop,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00074,Chrome,Desktop,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00075,Chrome,Desktop,Low,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00076,Chrome,Mobile,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00077,Chrome,Mobile,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00078,Chrome,Mobile,Low,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00079,Chrome,Tablet,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00080,Chrome,Tablet,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00081,Chrome,Tablet,Low,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00082,Firefox,Desktop,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00083,Firefox,Desktop,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00084,Firefox,Desktop,Low,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00085,Firefox,Mobile,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00086,Firefox,Mobile,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00087,Firefox,Mobile,Low,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00088,Firefox,Tablet,High,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00089,Firefox,Tablet,Medium,Visitor,All_Out_Of_Stock,Size_Only
TS-021,V00090,Firefox,Tablet,Low,Visitor,All_Out_Of_Stock,Size_Only
