Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,Product_Variation,Quantity,User_Type
TS-023,V00001,Chrome,Empty,Desktop,High,No_Variation,Single,Buyer
TS-023,V00002,Chrome,Empty,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00003,Chrome,Empty,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00004,Chrome,Empty,Mobile,High,No_Variation,Single,Buyer
TS-023,V00005,Chrome,Empty,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00006,Chrome,Empty,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00007,Chrome,Empty,Tablet,High,No_Variation,Single,Buyer
TS-023,V00008,Chrome,Empty,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00009,Chrome,Empty,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00010,Firefox,Empty,Desktop,High,No_Variation,Single,Buyer
TS-023,V00011,Firefox,Empty,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00012,Firefox,Empty,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00013,Firefox,Empty,Mobile,High,No_Variation,Single,Buyer
TS-023,V00014,Firefox,Empty,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00015,Firefox,Empty,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00016,Firefox,Empty,Tablet,High,No_Variation,Single,Buyer
TS-023,V00017,Firefox,Empty,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00018,Firefox,Empty,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00019,Safari,Empty,Desktop,High,No_Variation,Single,Buyer
TS-023,V00020,Safari,Empty,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00021,Safari,Empty,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00022,Safari,Empty,Mobile,High,No_Variation,Single,Buyer
TS-023,V00023,Safari,Empty,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00024,Safari,Empty,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00025,Safari,Empty,Tablet,High,No_Variation,Single,Buyer
TS-023,V00026,Safari,Empty,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00027,Safari,Empty,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00028,Edge,Empty,Desktop,High,No_Variation,Single,Buyer
TS-023,V00029,Edge,Empty,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00030,Edge,Empty,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00031,Edge,Empty,Mobile,High,No_Variation,Single,Buyer
TS-023,V00032,Edge,Empty,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00033,Edge,Empty,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00034,Edge,Empty,Tablet,High,No_Variation,Single,Buyer
TS-023,V00035,Edge,Empty,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00036,Edge,Empty,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00037,Chrome,Has_Items,Desktop,High,No_Variation,Single,Buyer
TS-023,V00038,Chrome,Has_Items,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00039,Chrome,Has_Items,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00040,Chrome,Has_Items,Mobile,High,No_Variation,Single,Buyer
TS-023,V00041,Chrome,Has_Items,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00042,Chrome,Has_Items,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00043,Chrome,Has_Items,Tablet,High,No_Variation,Single,Buyer
TS-023,V00044,Chrome,Has_Items,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00045,Chrome,Has_Items,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00046,Firefox,Has_Items,Desktop,High,No_Variation,Single,Buyer
TS-023,V00047,Firefox,Has_Items,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00048,Firefox,Has_Items,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00049,Firefox,Has_Items,Mobile,High,No_Variation,Single,Buyer
TS-023,V00050,Firefox,Has_Items,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00051,Firefox,Has_Items,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00052,Firefox,Has_Items,Tablet,High,No_Variation,Single,Buyer
TS-023,V00053,Firefox,Has_Items,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00054,Firefox,Has_Items,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00055,Safari,Has_Items,Desktop,High,No_Variation,Single,Buyer
TS-023,V00056,Safari,Has_Items,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00057,Safari,Has_Items,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00058,Safari,Has_Items,Mobile,High,No_Variation,Single,Buyer
TS-023,V00059,Safari,Has_Items,Mobile,Medium,No_Variation,Single,Buyer
