Scenario_ID,Variant_ID,Browser,Cart_State,Device,Item_Availability,Network_Speed,User_Type
TS-026,V00001,Chrome,Empty,Desktop,All_Available,High,Buyer
TS-026,V00002,Chrome,Empty,Desktop,All_Available,Medium,Buyer
TS-026,V00003,Chrome,Empty,Desktop,All_Available,Low,Buyer
TS-026,V00004,Chrome,Empty,Mobile,All_Available,High,Buyer
TS-026,V00005,Chrome,Empty,Mobile,All_Available,Medium,Buyer
TS-026,V00006,Chrome,Empty,Mobile,All_Available,Low,Buyer
TS-026,V00007,Chrome,Empty,Tablet,All_Available,High,Buyer
TS-026,V00008,Chrome,Empty,Tablet,All_Available,Medium,Buyer
TS-026,V00009,Chrome,Empty,Tablet,All_Available,Low,Buyer
TS-026,V00010,Firefox,Empty,Desktop,All_Available,High,Buyer
TS-026,V00011,Firefox,Empty,Desktop,All_Available,Medium,Buyer
TS-026,V00012,Firefox,Empty,Desktop,All_Available,Low,Buyer
TS-026,V00013,Firefox,Empty,Mobile,All_Available,High,Buyer
TS-026,V00014,Firefox,Empty,Mobile,All_Available,Medium,Buyer
TS-026,V00015,Firefox,Empty,Mobile,All_Available,Low,Buyer
TS-026,V00016,Firefox,Empty,Tablet,All_Available,High,Buyer
TS-026,V00017,Firefox,Empty,Tablet,All_Available,Medium,Buyer
TS-026,V00018,Firefox,Empty,Tablet,All_Available,Low,Buyer
TS-026,V00019,Safari,Empty,Desktop,All_Available,High,Buyer
TS-026,V00020,Safari,Empty,Desktop,All_Available,Medium,Buyer
TS-026,V00021,Safari,Empty,Desktop,All_Available,Low,Buyer
TS-026,V00022,Safari,Empty,Mobile,All_Available,High,Buyer
TS-026,V00023,Safari,Empty,Mobile,All_Available,Medium,Buyer
TS-026,V00024,Safari,Empty,Mobile,All_Available,Low,Buyer
TS-026,V00025,Safari,Empty,Tablet,All_Available,High,Buyer
TS-026,V00026,Safari,Empty,Tablet,All_Available,Medium,Buyer
TS-026,V00027,Safari,Empty,Tablet,All_Available,Low,Buyer
TS-026,V00028,Edge,Empty,Desktop,All_Available,High,Buyer
TS-026,V00029,Edge,Empty,Desktop,All_Available,Medium,Buyer
TS-026,V00030,Edge,Empty,Desktop,All_Available,Low,Buyer
TS-026,V00031,Edge,Empty,Mobile,All_Available,High,Buyer
TS-026,V00032,Edge,Empty,Mobile,All_Available,Medium,Buyer
TS-026,V00033,Edge,Empty,Mobile,All_Available,Low,Buyer
TS-026,V00034,Edge,Empty,Tablet,All_Available,High,Buyer
TS-026,V00035,Edge,Empty,Tablet,All_Available,Medium,Buyer
TS-026,V00036,Edge,Empty,Tablet,All_Available,Low,Buyer
TS-026,V00037,Chrome,Empty,Desktop,Some_Out_Of_Stock,High,Buyer
TS-026,V00038,Chrome,Empty,Desktop,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00039,Chrome,Empty,Desktop,Some_Out_Of_Stock,Low,Buyer
TS-026,V00040,Chrome,Empty,Mobile,Some_Out_Of_Stock,High,Buyer
TS-026,V00041,Chrome,Empty,Mobile,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00042,Chrome,Empty,Mobile,Some_Out_Of_Stock,Low,Buyer
TS-026,V00043,Chrome,Empty,Tablet,Some_Out_Of_Stock,High,Buyer
TS-026,V00044,Chrome,Empty,Tablet,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00045,Chrome,Empty,Tablet,Some_Out_Of_Stock,Low,Buyer
TS-026,V00046,Firefox,Empty,Desktop,Some_Out_Of_Stock,High,Buyer
TS-026,V00047,Firefox,Empty,Desktop,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00048,Firefox,Empty,Desktop,Some_Out_Of_Stock,Low,Buyer
TS-026,V00049,Firefox,Empty,Mobile,Some_Out_Of_Stock,High,Buyer
TS-026,V00050,Firefox,Empty,Mobile,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00051,Firefox,Empty,Mobile,Some_Out_Of_Stock,Low,Buyer
TS-026,V00052,Firefox,Empty,Tablet,Some_Out_Of_Stock,High,Buyer
TS-026,V00053,Firefox,Empty,Tablet,Some_Out_Of_Stock,Medium,Buyer
TS-026,V00054,Firefox,Empty,Tablet,Some_Out_Of_Stock,Low,Buyer
TS-026,V00055,Safari,Empty,Desktop,Some_Out_Of_Stock,High,Buyer
TS-026,V00056,Safari,Empty,Desktop,Some_Out_Of_Stock,Medium,Buyer
