Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Quantity_Change,Stock_Level,User_Type
TS-027,V00001,Chrome,Desktop,High,Increase,Sufficient,Buyer
TS-027,V00002,Chrome,Desktop,Medium,Increase,Sufficient,Buyer
TS-027,V00003,Chrome,Desktop,Low,Increase,Sufficient,Buyer
TS-027,V00004,Chrome,Mobile,High,Increase,Sufficient,Buyer
TS-027,V00005,Chrome,Mobile,Medium,Increase,Sufficient,Buyer
TS-027,V00006,Chrome,Mobile,Low,Increase,Sufficient,Buyer
TS-027,V00007,Chrome,Tablet,High,Increase,Sufficient,Buyer
TS-027,V00008,Chrome,Tablet,Medium,Increase,Sufficient,Buyer
TS-027,V00009,Chrome,Tablet,Low,Increase,Sufficient,Buyer
TS-027,V00010,Firefox,Desktop,High,Increase,Sufficient,Buyer
TS-027,V00011,Firefox,Desktop,Medium,Increase,Sufficient,Buyer
TS-027,V00012,Firefox,Desktop,Low,Increase,Sufficient,Buyer
TS-027,V00013,Firefox,Mobile,High,Increase,Sufficient,Buyer
TS-027,V00014,Firefox,Mobile,Medium,Increase,Sufficient,Buyer
TS-027,V00015,Firefox,Mobile,Low,Increase,Sufficient,Buyer
TS-027,V00016,Firefox,Tablet,High,Increase,Sufficient,Buyer
TS-027,V00017,Firefox,Tablet,Medium,Increase,Sufficient,Buyer
TS-027,V00018,Firefox,Tablet,Low,Increase,Sufficient,Buyer
TS-027,V00019,Safari,Desktop,High,Increase,Sufficient,Buyer
TS-027,V00020,Safari,Desktop,Medium,Increase,Sufficient,Buyer
TS-027,V00021,Safari,Desktop,Low,Increase,Sufficient,Buyer
TS-027,V00022,Safari,Mobile,High,Increase,Sufficient,Buyer
TS-027,V00023,Safari,Mobile,Medium,Increase,Sufficient,Buyer
TS-027,V00024,Safari,Mobile,Low,Increase,Sufficient,Buyer
TS-027,V00025,Safari,Tablet,High,Increase,Sufficient,Buyer
TS-027,V00026,Safari,Tablet,Medium,Increase,Sufficient,Buyer
TS-027,V00027,Safari,Tablet,Low,Increase,Sufficient,Buyer
TS-027,V00028,Edge,Desktop,High,Increase,Sufficient,Buyer
TS-027,V00029,Edge,Desktop,Medium,Increase,Sufficient,Buyer
TS-027,V00030,Edge,Desktop,Low,Increase,Sufficient,Buyer
TS-027,V00031,Edge,Mobile,High,Increase,Sufficient,Buyer
TS-027,V00032,Edge,Mobile,Medium,Increase,Sufficient,Buyer
TS-027,V00033,Edge,Mobile,Low,Increase,Sufficient,Buyer
TS-027,V00034,Edge,Tablet,High,Increase,Sufficient,Buyer
TS-027,V00035,Edge,Tablet,Medium,Increase,Sufficient,Buyer
TS-027,V00036,Edge,Tablet,Low,Increase,Sufficient,Buyer
TS-027,V00037,Chrome,Desktop,High,Increase,Insufficient,Buyer
TS-027,V00038,Chrome,Desktop,Medium,Increase,Insufficient,Buyer
TS-027,V00039,Chrome,Desktop,Low,Increase,Insufficient,Buyer
TS-027,V00040,Chrome,Mobile,High,Increase,Insufficient,Buyer
TS-027,V00041,Chrome,Mobile,Medium,Increase,Insufficient,Buyer
TS-027,V00042,Chrome,Mobile,Low,Increase,Insufficient,Buyer
TS-027,V00043,Chrome,Tablet,High,Increase,Insufficient,Buyer
TS-027,V00044,Chrome,Tablet,Medium,Increase,Insufficient,Buyer
TS-027,V00045,Chrome,Tablet,Low,Increase,Insufficient,Buyer
TS-027,V00046,Firefox,Desktop,High,Increase,Insufficient,Buyer
