Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,User_Type
TS-029,V00001,Chrome,Never_Had_Items,Desktop,High,Buyer
TS-029,V00002,Chrome,Never_Had_Items,Desktop,Medium,Buyer
TS-029,V00003,Chrome,Never_Had_Items,Desktop,Low,Buyer
TS-029,V00004,Chrome,Never_Had_Items,Mobile,High,Buyer
TS-029,V00005,Chrome,Never_Had_Items,Mobile,Medium,Buyer
TS-029,V00006,Chrome,Never_Had_Items,Mobile,Low,Buyer
TS-029,V00007,Chrome,Never_Had_Items,Tablet,High,Buyer
TS-029,V00008,Chrome,Never_Had_Items,Tablet,Medium,Buyer
TS-029,V00009,Chrome,Never_Had_Items,Tablet,Low,Buyer
TS-029,V00010,Firefox,Never_Had_Items,Desktop,High,Buyer
TS-029,V00011,Firefox,Never_Had_Items,Desktop,Medium,Buyer
TS-029,V00012,Firefox,Never_Had_Items,Desktop,Low,Buyer
TS-029,V00013,Firefox,Never_Had_Items,Mobile,High,Buyer
TS-029,V00014,Firefox,Never_Had_Items,Mobile,Medium,Buyer
TS-029,V00015,Firefox,Never_Had_Items,Mobile,Low,Buyer
TS-029,V00016,Firefox,Never_Had_Items,Tablet,High,Buyer
TS-029,V00017,Firefox,Never_Had_Items,Tablet,Medium,Buyer
TS-029,V00018,Firefox,Never_Had_Items,Tablet,Low,Buyer
TS-029,V00019,Safari,Never_Had_Items,Desktop,High,Buyer
TS-029,V00020,Safari,Never_Had_Items,Desktop,Medium,Buyer
TS-029,V00021,Safari,Never_Had_Items,Desktop,Low,Buyer
TS-029,V00022,Safari,Never_Had_Items,Mobile,High,Buyer
TS-029,V00023,Safari,Never_Had_Items,Mobile,Medium,Buyer
TS-029,V00024,Safari,Never_Had_Items,Mobile,Low,Buyer
TS-029,V00025,Safari,Never_Had_Items,Tablet,High,Buyer
TS-029,V00026,Safari,Never_Had_Items,Tablet,Medium,Buyer
TS-029,V00027,Safari,Never_Had_Items,Tablet,Low,Buyer
TS-029,V00028,Edge,Never_Had_Items,Desktop,High,Buyer
TS-029,V00029,Edge,Never_Had_Items,Desktop,Medium,Buyer
TS-029,V00030,Edge,Never_Had_Items,Desktop,Low,Buyer
TS-029,V00031,Edge,Never_Had_Items,Mobile,High,Buyer
TS-029,V00032,Edge,Never_Had_Items,Mobile,Medium,Buyer
TS-029,V00033,Edge,Never_Had_Items,Mobile,Low,Buyer
TS-029,V00034,Edge,Never_Had_Items,Tablet,High,Buyer
TS-029,V00035,Edge,Never_Had_Items,Tablet,Medium,Buyer
TS-029,V00036,Edge,Never_Had_Items,Tablet,Low,Buyer
TS-029,V00037,Chrome,Previously_Had_Items,Desktop,High,Buyer
TS-029,V00038,Chrome,Previously_Had_Items,Desktop,Medium,Buyer
TS-029,V00039,Chrome,Previously_Had_Items,Desktop,Low,Buyer
TS-029,V00040,Chrome,Previously_Had_Items,Mobile,High,Buyer
TS-029,V00041,Chrome,Previously_Had_Items,Mobile,Medium,Buyer
TS-029,V00042,Chrome,Previously_Had_Items,Mobile,Low,Buyer
TS-029,V00043,Chrome,Previously_Had_Items,Tablet,High,Buyer
TS-029,V00044,Chrome,Previously_Had_Items,Tablet,Medium,Buyer
TS-029,V00045,Chrome,Previously_Had_Items,Tablet,Low,Buyer
TS-029,V00046,Firefox,Previously_Had_Items,Desktop,High,Buyer
