Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_State,User_Type,Wishlist_State
TS-030,V00001,Chrome,Desktop,High,In_Stock,Buyer,Empty
TS-030,V00002,Chrome,Desktop,Medium,In_Stock,Buyer,Empty
TS-030,V00003,Chrome,Desktop,Low,In_Stock,Buyer,Empty
TS-030,V00004,Chrome,Mobile,High,In_Stock,Buyer,Empty
TS-030,V00005,Chrome,Mobile,Medium,In_Stock,Buyer,Empty
TS-030,V00006,Chrome,Mobile,Low,In_Stock,Buyer,Empty
TS-030,V00007,Chrome,Tablet,High,In_Stock,Buyer,Empty
TS-030,V00008,Chrome,Tablet,Medium,In_Stock,Buyer,Empty
TS-030,V00009,Chrome,Tablet,Low,In_Stock,Buyer,Empty
TS-030,V00010,Firefox,Desktop,High,In_Stock,Buyer,Empty
TS-030,V00011,Firefox,Desktop,Medium,In_Stock,Buyer,Empty
TS-030,V00012,Firefox,Desktop,Low,In_Stock,Buyer,Empty
TS-030,V00013,Firefox,Mobile,High,In_Stock,Buyer,Empty
TS-030,V00014,Firefox,Mobile,Medium,In_Stock,Buyer,Empty
TS-030,V00015,Firefox,Mobile,Low,In_Stock,Buyer,Empty
TS-030,V00016,Firefox,Tablet,High,In_Stock,Buyer,Empty
TS-030,V00017,Firefox,Tablet,Medium,In_Stock,Buyer,Empty
TS-030,V00018,Firefox,Tablet,Low,In_Stock,Buyer,Empty
TS-030,V00019,Safari,Desktop,High,In_Stock,Buyer,Empty
TS-030,V00020,Safari,Desktop,Medium,In_Stock,Buyer,Empty
TS-030,V00021,Safari,Desktop,Low,In_Stock,Buyer,Empty
TS-030,V00022,Safari,Mobile,High,In_Stock,Buyer,Empty
TS-030,V00023,Safari,Mobile,Medium,In_Stock,Buyer,Empty
TS-030,V00024,Safari,Mobile,Low,In_Stock,Buyer,Empty
TS-030,V00025,Safari,Tablet,High,In_Stock,Buyer,Empty
TS-030,V00026,Safari,Tablet,Medium,In_Stock,Buyer,Empty
TS-030,V00027,Safari,Tablet,Low,In_Stock,Buyer,Empty
TS-030,V00028,Edge,Desktop,High,In_Stock,Buyer,Empty
TS-030,V00029,Edge,Desktop,Medium,In_Stock,Buyer,Empty
TS-030,V00030,Edge,Desktop,Low,In_Stock,Buyer,Empty
TS-030,V00031,Edge,Mobile,High,In_Stock,Buyer,Empty
TS-030,V00032,Edge,Mobile,Medium,In_Stock,Buyer,Empty
TS-030,V00033,Edge,Mobile,Low,In_Stock,Buyer,Empty
TS-030,V00034,Edge,Tablet,High,In_Stock,Buyer,Empty
TS-030,V00035,Edge,Tablet,Medium,In_Stock,Buyer,Empty
TS-030,V00036,Edge,Tablet,Low,In_Stock,Buyer,Empty
TS-030,V00037,Chrome,Desktop,High,Out_Of_Stock,Buyer,Empty
TS-030,V00038,Chrome,Desktop,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00039,Chrome,Desktop,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00040,Chrome,Mobile,High,Out_Of_Stock,Buyer,Empty
TS-030,V00041,Chrome,Mobile,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00042,Chrome,Mobile,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00043,Chrome,Tablet,High,Out_Of_Stock,Buyer,Empty
TS-030,V00044,Chrome,Tablet,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00045,Chrome,Tablet,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00046,Firefox,Desktop,High,Out_Of_Stock,Buyer,Empty
TS-030,V00047,Firefox,Desktop,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00048,Firefox,Desktop,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00049,Firefox,Mobile,High,Out_Of_Stock,Buyer,Empty
TS-030,V00050,Firefox,Mobile,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00051,Firefox,Mobile,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00052,Firefox,Tablet,High,Out_Of_Stock,Buyer,Empty
TS-030,V00053,Firefox,Tablet,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00054,Firefox,Tablet,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00055,Safari,Desktop,High,Out_Of_Stock,Buyer,Empty
TS-030,V00056,Safari,Desktop,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00057,Safari,Desktop,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00058,Safari,Mobile,High,Out_Of_Stock,Buyer,Empty
TS-030,V00059,Safari,Mobile,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00060,Safari,Mobile,Low,Out_Of_Stock,Buyer,Empty
