Scenario_ID,Variant_ID,Browser,Device,Item_Availability,Network_Speed,User_Type,Wishlist_State
TS-032,V00001,Chrome,Desktop,All_Available,High,Buyer,Empty
TS-032,V00002,Chrome,Desktop,All_Available,Medium,Buyer,Empty
TS-032,V00003,Chrome,Desktop,All_Available,Low,Buyer,Empty
TS-032,V00004,Chrome,Mobile,All_Available,High,Buyer,Empty
TS-032,V00005,Chrome,Mobile,All_Available,Medium,Buyer,Empty
TS-032,V00006,Chrome,Mobile,All_Available,Low,Buyer,Empty
TS-032,V00007,Chrome,Tablet,All_Available,High,Buyer,Empty
TS-032,V00008,Chrome,Tablet,All_Available,Medium,Buyer,Empty
TS-032,V00009,Chrome,Tablet,All_Available,Low,Buyer,Empty
TS-032,V00010,Firefox,Desktop,All_Available,High,Buyer,Empty
TS-032,V00011,Firefox,Desktop,All_Available,Medium,Buyer,Empty
TS-032,V00012,Firefox,Desktop,All_Available,Low,Buyer,Empty
TS-032,V00013,Firefox,Mobile,All_Available,High,Buyer,Empty
TS-032,V00014,Firefox,Mobile,All_Available,Medium,Buyer,Empty
TS-032,V00015,Firefox,Mobile,All_Available,Low,Buyer,Empty
TS-032,V00016,Firefox,Tablet,All_Available,High,Buyer,Empty
TS-032,V00017,Firefox,Tablet,All_Available,Medium,Buyer,Empty
TS-032,V00018,Firefox,Tablet,All_Available,Low,Buyer,Empty
TS-032,V00019,Safari,Desktop,All_Available,High,Buyer,Empty
TS-032,V00020,Safari,Desktop,All_Available,Medium,Buyer,Empty
TS-032,V00021,Safari,Desktop,All_Available,Low,Buyer,Empty
TS-032,V00022,Safari,Mobile,All_Available,High,Buyer,Empty
TS-032,V00023,Safari,Mobile,All_Available,Medium,Buyer,Empty
TS-032,V00024,Safari,Mobile,All_Available,Low,Buyer,Empty
TS-032,V00025,Safari,Tablet,All_Available,High,Buyer,Empty
TS-032,V00026,Safari,Tablet,All_Available,Medium,Buyer,Empty
TS-032,V00027,Safari,Tablet,All_Available,Low,Buyer,Empty
TS-032,V00028,Edge,Desktop,All_Available,High,Buyer,Empty
TS-032,V00029,Edge,Desktop,All_Available,Medium,Buyer,Empty
TS-032,V00030,Edge,Desktop,All_Available,Low,Buyer,Empty
TS-032,V00031,Edge,Mobile,All_Available,High,Buyer,Empty
TS-032,V00032,Edge,Mobile,All_Available,Medium,Buyer,Empty
TS-032,V00033,Edge,Mobile,All_Available,Low,Buyer,Empty
TS-032,V00034,Edge,Tablet,All_Available,High,Buyer,Empty
TS-032,V00035,Edge,Tablet,All_Available,Medium,Buyer,Empty
TS-032,V00036,Edge,Tablet,All_Available,Low,Buyer,Empty
TS-032,V00037,Chrome,Desktop,Some_Out_Of_Stock,High,Buyer,Empty
TS-032,V00038,Chrome,Desktop,Some_Out_Of_Stock,Medium,Buyer,Empty
TS-032,V00039,Chrome,Desktop,Some_Out_Of_Stock,Low,Buyer,Empty
TS-032,V00040,Chrome,Mobile,Some_Out_Of_Stock,High,Buyer,Empty
TS-032,V00041,Chrome,Mobile,Some_Out_Of_Stock,Medium,Buyer,Empty
TS-032,V00042,Chrome,Mobile,Some_Out_Of_Stock,Low,Buyer,Empty
TS-032,V00043,Chrome,Tablet,Some_Out_Of_Stock,High,Buyer,Empty
TS-032,V00044,Chrome,Tablet,Some_Out_Of_Stock,Medium,Buyer,Empty
TS-032,V00045,Chrome,Tablet,Some_Out_Of_Stock,Low,Buyer,Empty
TS-032,V00046,Firefox,Desktop,Some_Out_Of_Stock,High,Buyer,Empty
TS-032,V00047,Firefox,Desktop,Some_Out_Of_Stock,Medium,Buyer,Empty
TS-032,V00048,Firefox,Desktop,Some_Out_Of_Stock,Low,Buyer,Empty
TS-032,V00049,Firefox,Mobile,Some_Out_Of_Stock,High,Buyer,Empty
TS-032,V00050,Firefox,Mobile,Some_Out_Of_Stock,Medium,Buyer,Empty
