Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Removal_Action,User_Type,Wishlist_State
TS-033,V00001,Chrome,Desktop,High,Remove_One,Buyer,Single_Item
TS-033,V00002,Chrome,Desktop,Medium,Remove_One,Buyer,Single_Item
TS-033,V00003,Chrome,Desktop,Low,Remove_One,Buyer,Single_Item
TS-033,V00004,Chrome,Mobile,High,Remove_One,Buyer,Single_Item
TS-033,V00005,Chrome,Mobile,Medium,Remove_One,Buyer,Single_Item
TS-033,V00006,Chrome,Mobile,Low,Remove_One,Buyer,Single_Item
TS-033,V00007,Chrome,Tablet,High,Remove_One,Buyer,Single_Item
TS-033,V00008,Chrome,Tablet,Medium,Remove_One,Buyer,Single_Item
TS-033,V00009,Chrome,Tablet,Low,Remove_One,Buyer,Single_Item
TS-033,V00010,Firefox,Desktop,High,Remove_One,Buyer,Single_Item
TS-033,V00011,Firefox,Desktop,Medium,Remove_One,Buyer,Single_Item
TS-033,V00012,Firefox,Desktop,Low,Remove_One,Buyer,Single_Item
TS-033,V00013,Firefox,Mobile,High,Remove_One,Buyer,Single_Item
TS-033,V00014,Firefox,Mobile,Medium,Remove_One,Buyer,Single_Item
TS-033,V00015,Firefox,Mobile,Low,Remove_One,Buyer,Single_Item
TS-033,V00016,Firefox,Tablet,High,Remove_One,Buyer,Single_Item
TS-033,V00017,Firefox,Tablet,Medium,Remove_One,Buyer,Single_Item
TS-033,V00018,Firefox,Tablet,Low,Remove_One,Buyer,Single_Item
TS-033,V00019,Safari,Desktop,High,Remove_One,Buyer,Single_Item
TS-033,V00020,Safari,Desktop,Medium,Remove_One,Buyer,Single_Item
TS-033,V00021,Safari,Desktop,Low,Remove_One,Buyer,Single_Item
TS-033,V00022,Safari,Mobile,High,Remove_One,Buyer,Single_Item
TS-033,V00023,Safari,Mobile,Medium,Remove_One,Buyer,Single_Item
TS-033,V00024,Safari,Mobile,Low,Remove_One,Buyer,Single_Item
TS-033,V00025,Safari,Tablet,High,Remove_One,Buyer,Single_Item
TS-033,V00026,Safari,Tablet,Medium,Remove_One,Buyer,Single_Item
TS-033,V00027,Safari,Tablet,Low,Remove_One,Buyer,Single_Item
TS-033,V00028,Edge,Desktop,High,Remove_One,Buyer,Single_Item
TS-033,V00029,Edge,Desktop,Medium,Remove_One,Buyer,Single_Item
TS-033,V00030,Edge,Desktop,Low,Remove_One,Buyer,Single_Item
TS-033,V00031,Edge,Mobile,High,Remove_One,Buyer,Single_Item
TS-033,V00032,Edge,Mobile,Medium,Remove_One,Buyer,Single_Item
TS-033,V00033,Edge,Mobile,Low,Remove_One,Buyer,Single_Item
TS-033,V00034,Edge,Tablet,High,Remove_One,Buyer,Single_Item
TS-033,V00035,Edge,Tablet,Medium,Remove_One,Buyer,Single_Item
TS-033,V00036,Edge,Tablet,Low,Remove_One,Buyer,Single_Item
TS-033,V00037,Chrome,Desktop,High,Remove_All,Buyer,Single_Item
TS-033,V00038,Chrome,Desktop,Medium,Remove_All,Buyer,Single_Item
TS-033,V00039,Chrome,Desktop,Low,Remove_All,Buyer,Single_Item
TS-033,V00040,Chrome,Mobile,High,Remove_All,Buyer,Single_Item
TS-033,V00041,Chrome,Mobile,Medium,Remove_All,Buyer,Single_Item
TS-033,V00042,Chrome,Mobile,Low,Remove_All,Buyer,Single_Item
TS-033,V00043,Chrome,Tablet,High,Remove_All,Buyer,Single_Item
TS-033,V00044,Chrome,Tablet,Medium,Remove_All,Buyer,Single_Item
TS-033,V00045,Chrome,Tablet,Low,Remove_All,Buyer,Single_Item
TS-033,V00046,Firefox,Desktop,High,Remove_All,Buyer,Single_Item
TS-033,V00047,Firefox,Desktop,Medium,Remove_All,Buyer,Single_Item
TS-033,V00048,Firefox,Desktop,Low,Remove_All,Buyer,Single_Item
TS-033,V00049,Firefox,Mobile,High,Remove_All,Buyer,Single_Item
TS-033,V00050,Firefox,Mobile,Medium,Remove_All,Buyer,Single_Item
TS-033,V00051,Firefox,Mobile,Low,Remove_All,Buyer,Single_Item
TS-033,V00052,Firefox,Tablet,High,Remove_All,Buyer,Single_Item
TS-033,V00053,Firefox,Tablet,Medium,Remove_All,Buyer,Single_Item
TS-033,V00054,Firefox,Tablet,Low,Remove_All,Buyer,Single_Item
TS-033,V00055,Safari,Desktop,High,Remove_All,Buyer,Single_Item
