Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,Product_State,User_Type
TS-034,V00001,Chrome,Empty,Desktop,High,In_Stock,Buyer
TS-034,V00002,Chrome,Empty,Desktop,Medium,In_Stock,Buyer
TS-034,V00003,Chrome,Empty,Desktop,Low,In_Stock,Buyer
TS-034,V00004,Chrome,Empty,Mobile,High,In_Stock,Buyer
TS-034,V00005,Chrome,Empty,Mobile,Medium,In_Stock,Buyer
TS-034,V00006,Chrome,Empty,Mobile,Low,In_Stock,Buyer
TS-034,V00007,Chrome,Empty,Tablet,High,In_Stock,Buyer
TS-034,V00008,Chrome,Empty,Tablet,Medium,In_Stock,Buyer
TS-034,V00009,Chrome,Empty,Tablet,Low,In_Stock,Buyer
TS-034,V00010,Firefox,Empty,Desktop,High,In_Stock,Buyer
TS-034,V00011,Firefox,Empty,Desktop,Medium,In_Stock,Buyer
TS-034,V00012,Firefox,Empty,Desktop,Low,In_Stock,Buyer
TS-034,V00013,Firefox,Empty,Mobile,High,In_Stock,Buyer
TS-034,V00014,Firefox,Empty,Mobile,Medium,In_Stock,Buyer
TS-034,V00015,Firefox,Empty,Mobile,Low,In_Stock,Buyer
TS-034,V00016,Firefox,Empty,Tablet,High,In_Stock,Buyer
TS-034,V00017,Firefox,Empty,Tablet,Medium,In_Stock,Buyer
TS-034,V00018,Firefox,Empty,Tablet,Low,In_Stock,Buyer
TS-034,V00019,Safari,Empty,Desktop,High,In_Stock,Buyer
TS-034,V00020,Safari,Empty,Desktop,Medium,In_Stock,Buyer
TS-034,V00021,Safari,Empty,Desktop,Low,In_Stock,Buyer
TS-034,V00022,Safari,Empty,Mobile,High,In_Stock,Buyer
TS-034,V00023,Safari,Empty,Mobile,Medium,In_Stock,Buyer
TS-034,V00024,Safari,Empty,Mobile,Low,In_Stock,Buyer
TS-034,V00025,Safari,Empty,Tablet,High,In_Stock,Buyer
TS-034,V00026,Safari,Empty,Tablet,Medium,In_Stock,Buyer
TS-034,V00027,Safari,Empty,Tablet,Low,In_Stock,Buyer
TS-034,V00028,Edge,Empty,Desktop,High,In_Stock,Buyer
TS-034,V00029,Edge,Empty,Desktop,Medium,In_Stock,Buyer
TS-034,V00030,Edge,Empty,Desktop,Low,In_Stock,Buyer
