Scenario_ID,Variant_ID,Browser,Device,Failure_Reason,Network_Speed,Payment_Method,Retry_Action,User_Type
TS-042,V00001,Chrome,Desktop,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00002,Chrome,Desktop,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00003,Chrome,Desktop,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00004,Chrome,Mobile,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00005,Chrome,Mobile,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00006,Chrome,Mobile,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00007,Chrome,Tablet,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00008,Chrome,Tablet,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00009,Chrome,Tablet,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00010,Firefox,Desktop,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00011,Firefox,Desktop,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00012,Firefox,Desktop,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00013,Firefox,Mobile,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00014,Firefox,Mobile,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00015,Firefox,Mobile,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00016,Firefox,Tablet,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00017,Firefox,Tablet,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00018,Firefox,Tablet,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00019,Safari,Desktop,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00020,Safari,Desktop,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00021,Safari,Desktop,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00022,Safari,Mobile,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00023,Safari,Mobile,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00024,Safari,Mobile,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00025,Safari,Tablet,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00026,Safari,Tablet,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00027,Safari,Tablet,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00028,Edge,Desktop,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00029,Edge,Desktop,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00030,Edge,Desktop,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00031,Edge,Mobile,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00032,Edge,Mobile,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00033,Edge,Mobile,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00034,Edge,Tablet,Insufficient_Funds,High,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00035,Edge,Tablet,Insufficient_Funds,Medium,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00036,Edge,Tablet,Insufficient_Funds,Low,Credit_Card,Retry_Same_Method,Buyer
TS-042,V00037,Chrome,Desktop,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
TS-042,V00038,Chrome,Desktop,Insufficient_Funds,Medium,Credit_Card,Change_Method,Buyer
TS-042,V00039,Chrome,Desktop,Insufficient_Funds,Low,Credit_Card,Change_Method,Buyer
TS-042,V00040,Chrome,Mobile,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
TS-042,V00041,Chrome,Mobile,Insufficient_Funds,Medium,Credit_Card,Change_Method,Buyer
TS-042,V00042,Chrome,Mobile,Insufficient_Funds,Low,Credit_Card,Change_Method,Buyer
TS-042,V00043,Chrome,Tablet,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
TS-042,V00044,Chrome,Tablet,Insufficient_Funds,Medium,Credit_Card,Change_Method,Buyer
TS-042,V00045,Chrome,Tablet,Insufficient_Funds,Low,Credit_Card,Change_Method,Buyer
TS-042,V00046,Firefox,Desktop,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
TS-042,V00047,Firefox,Desktop,Insufficient_Funds,Medium,Credit_Card,Change_Method,Buyer
TS-042,V00048,Firefox,Desktop,Insufficient_Funds,Low,Credit_Card,Change_Method,Buyer
TS-042,V00049,Firefox,Mobile,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
TS-042,V00050,Firefox,Mobile,Insufficient_Funds,Medium,Credit_Card,Change_Method,Buyer
TS-042,V00051,Firefox,Mobile,Insufficient_Funds,Low,Credit_Card,Change_Method,Buyer
TS-042,V00052,Firefox,Tablet,Insufficient_Funds,High,Credit_Card,Change_Method,Buyer
