Scenario_ID,Variant_ID,Browser,Cart_Items,Device,Network_Speed,Shipping_Cost,Tax_Applicable,User_Type
TS-043,V00001,Chrome,Single,Desktop,High,Standard,Yes,Buyer
TS-043,V00002,Chrome,Single,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00003,Chrome,Single,Desktop,Low,Standard,Yes,Buyer
TS-043,V00004,Chrome,Single,Mobile,High,Standard,Yes,Buyer
TS-043,V00005,Chrome,Single,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00006,Chrome,Single,Mobile,Low,Standard,Yes,Buyer
TS-043,V00007,Chrome,Single,Tablet,High,Standard,Yes,Buyer
TS-043,V00008,Chrome,Single,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00009,Chrome,Single,Tablet,Low,Standard,Yes,Buyer
TS-043,V00010,Firefox,Single,Desktop,High,Standard,Yes,Buyer
TS-043,V00011,Firefox,Single,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00012,Firefox,Single,Desktop,Low,Standard,Yes,Buyer
TS-043,V00013,Firefox,Single,Mobile,High,Standard,Yes,Buyer
TS-043,V00014,Firefox,Single,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00015,Firefox,Single,Mobile,Low,Standard,Yes,Buyer
TS-043,V00016,Firefox,Single,Tablet,High,Standard,Yes,Buyer
TS-043,V00017,Firefox,Single,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00018,Firefox,Single,Tablet,Low,Standard,Yes,Buyer
TS-043,V00019,Safari,Single,Desktop,High,Standard,Yes,Buyer
TS-043,V00020,Safari,Single,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00021,Safari,Single,Desktop,Low,Standard,Yes,Buyer
TS-043,V00022,Safari,Single,Mobile,High,Standard,Yes,Buyer
TS-043,V00023,Safari,Single,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00024,Safari,Single,Mobile,Low,Standard,Yes,Buyer
TS-043,V00025,Safari,Single,Tablet,High,Standard,Yes,Buyer
TS-043,V00026,Safari,Single,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00027,Safari,Single,Tablet,Low,Standard,Yes,Buyer
TS-043,V00028,Edge,Single,Desktop,High,Standard,Yes,Buyer
TS-043,V00029,Edge,Single,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00030,Edge,Single,Desktop,Low,Standard,Yes,Buyer
TS-043,V00031,Edge,Single,Mobile,High,Standard,Yes,Buyer
TS-043,V00032,Edge,Single,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00033,Edge,Single,Mobile,Low,Standard,Yes,Buyer
TS-043,V00034,Edge,Single,Tablet,High,Standard,Yes,Buyer
TS-043,V00035,Edge,Single,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00036,Edge,Single,Tablet,Low,Standard,Yes,Buyer
TS-043,V00037,Chrome,Single,Desktop,High,Standard,No,Buyer
TS-043,V00038,Chrome,Single,Desktop,Medium,Standard,No,Buyer
TS-043,V00039,Chrome,Single,Desktop,Low,Standard,No,Buyer
TS-043,V00040,Chrome,Single,Mobile,High,Standard,No,Buyer
TS-043,V00041,Chrome,Single,Mobile,Medium,Standard,No,Buyer
TS-043,V00042,Chrome,Single,Mobile,Low,Standard,No,Buyer
TS-043,V00043,Chrome,Single,Tablet,High,Standard,No,Buyer
TS-043,V00044,Chrome,Single,Tablet,Medium,Standard,No,Buyer
TS-043,V00045,Chrome,Single,Tablet,Low,Standard,No,Buyer
TS-043,V00046,Firefox,Single,Desktop,High,Standard,No,Buyer
TS-043,V00047,Firefox,Single,Desktop,Medium,Standard,No,Buyer
TS-043,V00048,Firefox,Single,Desktop,Low,Standard,No,Buyer
TS-043,V00049,Firefox,Single,Mobile,High,Standard,No,Buyer
TS-043,V00050,Firefox,Single,Mobile,Medium,Standard,No,Buyer
TS-043,V00051,Firefox,Single,Mobile,Low,Standard,No,Buyer
TS-043,V00052,Firefox,Single,Tablet,High,Standard,No,Buyer
TS-043,V00053,Firefox,Single,Tablet,Medium,Standard,No,Buyer
TS-043,V00054,Firefox,Single,Tablet,Low,Standard,No,Buyer
TS-043,V00055,Safari,Single,Desktop,High,Standard,No,Buyer
TS-043,V00056,Safari,Single,Desktop,Medium,Standard,No,Buyer
TS-043,V00057,Safari,Single,Desktop,Low,Standard,No,Buyer
TS-043,V00058,Safari,Single,Mobile,High,Standard,No,Buyer
TS-043,V00059,Safari,Single,Mobile,Medium,Standard,No,Buyer
TS-043,V00060,Safari,Single,Mobile,Low,Standard,No,Buyer
TS-043,V00061,Safari,Single,Tablet,High,Standard,No,Buyer
TS-043,V00062,Safari,Single,Tablet,Medium,Standard,No,Buyer
TS-043,V00063,Safari,Single,Tablet,Low,Standard,No,Buyer
TS-043,V00064,Edge,Single,Desktop,High,Standard,No,Buyer
TS-043,V00065,Edge,Single,Desktop,Medium,Standard,No,Buyer
TS-043,V00066,Edge,Single,Desktop,Low,Standard,No,Buyer
TS-043,V00067,Edge,Single,Mobile,High,Standard,No,Buyer
TS-043,V00068,Edge,Single,Mobile,Medium,Standard,No,Buyer
TS-043,V00069,Edge,Single,Mobile,Low,Standard,No,Buyer
TS-043,V00070,Edge,Single,Tablet,High,Standard,No,Buyer
TS-043,V00071,Edge,Single,Tablet,Medium,Standard,No,Buyer
TS-043,V00072,Edge,Single,Tablet,Low,Standard,No,Buyer
TS-043,V00073,Chrome,Single,Desktop,High,Express,Yes,Buyer
TS-043,V00074,Chrome,Single,Desktop,Medium,Express,Yes,Buyer
TS-043,V00075,Chrome,Single,Desktop,Low,Express,Yes,Buyer
TS-043,V00076,Chrome,Single,Mobile,High,Express,Yes,Buyer
TS-043,V00077,Chrome,Single,Mobile,Medium,Express,Yes,Buyer
TS-043,V00078,Chrome,Single,Mobile,Low,Express,Yes,Buyer
TS-043,V00079,Chrome,Single,Tablet,High,Express,Yes,Buyer
TS-043,V00080,Chrome,Single,Tablet,Medium,Express,Yes,Buyer
TS-043,V00081,Chrome,Single,Tablet,Low,Express,Yes,Buyer
TS-043,V00082,Firefox,Single,Desktop,High,Express,Yes,Buyer
TS-043,V00083,Firefox,Single,Desktop,Medium,Express,Yes,Buyer
TS-043,V00084,Firefox,Single,Desktop,Low,Express,Yes,Buyer
TS-043,V00085,Firefox,Single,Mobile,High,Express,Yes,Buyer
TS-043,V00086,Firefox,Single,Mobile,Medium,Express,Yes,Buyer
TS-043,V00087,Firefox,Single,Mobile,Low,Express,Yes,Buyer
TS-043,V00088,Firefox,Single,Tablet,High,Express,Yes,Buyer
TS-043,V00089,Firefox,Single,Tablet,Medium,Express,Yes,Buyer
TS-043,V00090,Firefox,Single,Tablet,Low,Express,Yes,Buyer
TS-043,V00091,Safari,Single,Desktop,High,Express,Yes,Buyer
TS-043,V00092,Safari,Single,Desktop,Medium,Express,Yes,Buyer
TS-043,V00093,Safari,Single,Desktop,Low,Express,Yes,Buyer
TS-043,V00094,Safari,Single,Mobile,High,Express,Yes,Buyer
TS-043,V00095,Safari,Single,Mobile,Medium,Express,Yes,Buyer
TS-043,V00096,Safari,Single,Mobile,Low,Express,Yes,Buyer
TS-043,V00097,Safari,Single,Tablet,High,Express,Yes,Buyer
TS-043,V00098,Safari,Single,Tablet,Medium,Express,Yes,Buyer
TS-043,V00099,Safari,Single,Tablet,Low,Express,Yes,Buyer
TS-043,V00100,Edge,Single,Desktop,High,Express,Yes,Buyer
TS-043,V00101,Edge,Single,Desktop,Medium,Express,Yes,Buyer
TS-043,V00102,Edge,Single,Desktop,Low,Express,Yes,Buyer
TS-043,V00103,Edge,Single,Mobile,High,Express,Yes,Buyer
TS-043,V00104,Edge,Single,Mobile,Medium,Express,Yes,Buyer
TS-043,V00105,Edge,Single,Mobile,Low,Express,Yes,Buyer
TS-043,V00106,Edge,Single,Tablet,High,Express,Yes,Buyer
TS-043,V00107,Edge,Single,Tablet,Medium,Express,Yes,Buyer
TS-043,V00108,Edge,Single,Tablet,Low,Express,Yes,Buyer
TS-043,V00109,Chrome,Single,Desktop,High,Express,No,Buyer
TS-043,V00110,Chrome,Single,Desktop,Medium,Express,No,Buyer
TS-043,V00111,Chrome,Single,Desktop,Low,Express,No,Buyer
TS-043,V00112,Chrome,Single,Mobile,High,Express,No,Buyer
TS-043,V00113,Chrome,Single,Mobile,Medium,Express,No,Buyer
TS-043,V00114,Chrome,Single,Mobile,Low,Express,No,Buyer
TS-043,V00115,Chrome,Single,Tablet,High,Express,No,Buyer
TS-043,V00116,Chrome,Single,Tablet,Medium,Express,No,Buyer
TS-043,V00117,Chrome,Single,Tablet,Low,Express,No,Buyer
TS-043,V00118,Firefox,Single,Desktop,High,Express,No,Buyer
TS-043,V00119,Firefox,Single,Desktop,Medium,Express,No,Buyer
TS-043,V00120,Firefox,Single,Desktop,Low,Express,No,Buyer
TS-043,V00121,Firefox,Single,Mobile,High,Express,No,Buyer
TS-043,V00122,Firefox,Single,Mobile,Medium,Express,No,Buyer
TS-043,V00123,Firefox,Single,Mobile,Low,Express,No,Buyer
TS-043,V00124,Firefox,Single,Tablet,High,Express,No,Buyer
TS-043,V00125,Firefox,Single,Tablet,Medium,Express,No,Buyer
TS-043,V00126,Firefox,Single,Tablet,Low,Express,No,Buyer
TS-043,V00127,Safari,Single,Desktop,High,Express,No,Buyer
TS-043,V00128,Safari,Single,Desktop,Medium,Express,No,Buyer
TS-043,V00129,Safari,Single,Desktop,Low,Express,No,Buyer
TS-043,V00130,Safari,Single,Mobile,High,Express,No,Buyer
TS-043,V00131,Safari,Single,Mobile,Medium,Express,No,Buyer
TS-043,V00132,Safari,Single,Mobile,Low,Express,No,Buyer
TS-043,V00133,Safari,Single,Tablet,High,Express,No,Buyer
TS-043,V00134,Safari,Single,Tablet,Medium,Express,No,Buyer
TS-043,V00135,Safari,Single,Tablet,Low,Express,No,Buyer
TS-043,V00136,Edge,Single,Desktop,High,Express,No,Buyer
TS-043,V00137,Edge,Single,Desktop,Medium,Express,No,Buyer
TS-043,V00138,Edge,Single,Desktop,Low,Express,No,Buyer
TS-043,V00139,Edge,Single,Mobile,High,Express,No,Buyer
TS-043,V00140,Edge,Single,Mobile,Medium,Express,No,Buyer
TS-043,V00141,Edge,Single,Mobile,Low,Express,No,Buyer
TS-043,V00142,Edge,Single,Tablet,High,Express,No,Buyer
TS-043,V00143,Edge,Single,Tablet,Medium,Express,No,Buyer
TS-043,V00144,Edge,Single,Tablet,Low,Express,No,Buyer
TS-043,V00145,Chrome,Single,Desktop,High,Free,Yes,Buyer
TS-043,V00146,Chrome,Single,Desktop,Medium,Free,Yes,Buyer
TS-043,V00147,Chrome,Single,Desktop,Low,Free,Yes,Buyer
TS-043,V00148,Chrome,Single,Mobile,High,Free,Yes,Buyer
TS-043,V00149,Chrome,Single,Mobile,Medium,Free,Yes,Buyer
TS-043,V00150,Chrome,Single,Mobile,Low,Free,Yes,Buyer
TS-043,V00151,Chrome,Single,Tablet,High,Free,Yes,Buyer
TS-043,V00152,Chrome,Single,Tablet,Medium,Free,Yes,Buyer
TS-043,V00153,Chrome,Single,Tablet,Low,Free,Yes,Buyer
TS-043,V00154,Firefox,Single,Desktop,High,Free,Yes,Buyer
TS-043,V00155,Firefox,Single,Desktop,Medium,Free,Yes,Buyer
TS-043,V00156,Firefox,Single,Desktop,Low,Free,Yes,Buyer
TS-043,V00157,Firefox,Single,Mobile,High,Free,Yes,Buyer
TS-043,V00158,Firefox,Single,Mobile,Medium,Free,Yes,Buyer
TS-043,V00159,Firefox,Single,Mobile,Low,Free,Yes,Buyer
TS-043,V00160,Firefox,Single,Tablet,High,Free,Yes,Buyer
TS-043,V00161,Firefox,Single,Tablet,Medium,Free,Yes,Buyer
TS-043,V00162,Firefox,Single,Tablet,Low,Free,Yes,Buyer
TS-043,V00163,Safari,Single,Desktop,High,Free,Yes,Buyer
TS-043,V00164,Safari,Single,Desktop,Medium,Free,Yes,Buyer
TS-043,V00165,Safari,Single,Desktop,Low,Free,Yes,Buyer
TS-043,V00166,Safari,Single,Mobile,High,Free,Yes,Buyer
TS-043,V00167,Safari,Single,Mobile,Medium,Free,Yes,Buyer
TS-043,V00168,Safari,Single,Mobile,Low,Free,Yes,Buyer
TS-043,V00169,Safari,Single,Tablet,High,Free,Yes,Buyer
TS-043,V00170,Safari,Single,Tablet,Medium,Free,Yes,Buyer
TS-043,V00171,Safari,Single,Tablet,Low,Free,Yes,Buyer
TS-043,V00172,Edge,Single,Desktop,High,Free,Yes,Buyer
TS-043,V00173,Edge,Single,Desktop,Medium,Free,Yes,Buyer
TS-043,V00174,Edge,Single,Desktop,Low,Free,Yes,Buyer
TS-043,V00175,Edge,Single,Mobile,High,Free,Yes,Buyer
TS-043,V00176,Edge,Single,Mobile,Medium,Free,Yes,Buyer
TS-043,V00177,Edge,Single,Mobile,Low,Free,Yes,Buyer
TS-043,V00178,Edge,Single,Tablet,High,Free,Yes,Buyer
TS-043,V00179,Edge,Single,Tablet,Medium,Free,Yes,Buyer
TS-043,V00180,Edge,Single,Tablet,Low,Free,Yes,Buyer
TS-043,V00181,Chrome,Single,Desktop,High,Free,No,Buyer
TS-043,V00182,Chrome,Single,Desktop,Medium,Free,No,Buyer
TS-043,V00183,Chrome,Single,Desktop,Low,Free,No,Buyer
TS-043,V00184,Chrome,Single,Mobile,High,Free,No,Buyer
TS-043,V00185,Chrome,Single,Mobile,Medium,Free,No,Buyer
TS-043,V00186,Chrome,Single,Mobile,Low,Free,No,Buyer
TS-043,V00187,Chrome,Single,Tablet,High,Free,No,Buyer
