Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Social_Platform,User_Type
TS-045,V00001,Chrome,Desktop,High,Facebook,Visitor
TS-045,V00002,Chrome,Desktop,Medium,Facebook,Visitor
TS-045,V00003,Chrome,Desktop,Low,Facebook,Visitor
TS-045,V00004,Chrome,Mobile,High,Facebook,Visitor
TS-045,V00005,Chrome,Mobile,Medium,Facebook,Visitor
TS-045,V00006,Chrome,Mobile,Low,Facebook,Visitor
TS-045,V00007,Chrome,Tablet,High,Facebook,Visitor
TS-045,V00008,Chrome,Tablet,Medium,Facebook,Visitor
TS-045,V00009,Chrome,Tablet,Low,Facebook,Visitor
TS-045,V00010,Firefox,Desktop,High,Facebook,Visitor
TS-045,V00011,Firefox,Desktop,Medium,Facebook,Visitor
TS-045,V00012,Firefox,Desktop,Low,Facebook,Visitor
TS-045,V00013,Firefox,Mobile,High,Facebook,Visitor
TS-045,V00014,Firefox,Mobile,Medium,Facebook,Visitor
TS-045,V00015,Firefox,Mobile,Low,Facebook,Visitor
TS-045,V00016,Firefox,Tablet,High,Facebook,Visitor
TS-045,V00017,Firefox,Tablet,Medium,Facebook,Visitor
TS-045,V00018,Firefox,Tablet,Low,Facebook,Visitor
TS-045,V00019,Safari,Desktop,High,Facebook,Visitor
TS-045,V00020,Safari,Desktop,Medium,Facebook,Visitor
TS-045,V00021,Safari,Desktop,Low,Facebook,Visitor
TS-045,V00022,Safari,Mobile,High,Facebook,Visitor
TS-045,V00023,Safari,Mobile,Medium,Facebook,Visitor
TS-045,V00024,Safari,Mobile,Low,Facebook,Visitor
TS-045,V00025,Safari,Tablet,High,Facebook,Visitor
TS-045,V00026,Safari,Tablet,Medium,Facebook,Visitor
TS-045,V00027,Safari,Tablet,Low,Facebook,Visitor
TS-045,V00028,Edge,Desktop,High,Facebook,Visitor
TS-045,V00029,Edge,Desktop,Medium,Facebook,Visitor
TS-045,V00030,Edge,Desktop,Low,Facebook,Visitor
TS-045,V00031,Edge,Mobile,High,Facebook,Visitor
TS-045,V00032,Edge,Mobile,Medium,Facebook,Visitor
TS-045,V00033,Edge,Mobile,Low,Facebook,Visitor
TS-045,V00034,Edge,Tablet,High,Facebook,Visitor
TS-045,V00035,Edge,Tablet,Medium,Facebook,Visitor
TS-045,V00036,Edge,Tablet,Low,Facebook,Visitor
TS-045,V00037,Chrome,Desktop,High,Twitter,Visitor
TS-045,V00038,Chrome,Desktop,Medium,Twitter,Visitor
TS-045,V00039,Chrome,Desktop,Low,Twitter,Visitor
TS-045,V00040,Chrome,Mobile,High,Twitter,Visitor
TS-045,V00041,Chrome,Mobile,Medium,Twitter,Visitor
TS-045,V00042,Chrome,Mobile,Low,Twitter,Visitor
TS-045,V00043,Chrome,Tablet,High,Twitter,Visitor
TS-045,V00044,Chrome,Tablet,Medium,Twitter,Visitor
TS-045,V00045,Chrome,Tablet,Low,Twitter,Visitor
TS-045,V00046,Firefox,Desktop,High,Twitter,Visitor
TS-045,V00047,Firefox,Desktop,Medium,Twitter,Visitor
TS-045,V00048,Firefox,Desktop,Low,Twitter,Visitor
TS-045,V00049,Firefox,Mobile,High,Twitter,Visitor
TS-045,V00050,Firefox,Mobile,Medium,Twitter,Visitor
TS-045,V00051,Firefox,Mobile,Low,Twitter,Visitor
TS-045,V00052,Firefox,Tablet,High,Twitter,Visitor
TS-045,V00053,Firefox,Tablet,Medium,Twitter,Visitor
TS-045,V00054,Firefox,Tablet,Low,Twitter,Visitor
TS-045,V00055,Safari,Desktop,High,Twitter,Visitor
TS-045,V00056,Safari,Desktop,Medium,Twitter,Visitor
TS-045,V00057,Safari,Desktop,Low,Twitter,Visitor
TS-045,V00058,Safari,Mobile,High,Twitter,Visitor
TS-045,V00059,Safari,Mobile,Medium,Twitter,Visitor
TS-045,V00060,Safari,Mobile,Low,Twitter,Visitor
TS-045,V00061,Safari,Tablet,High,Twitter,Visitor
TS-045,V00062,Safari,Tablet,Medium,Twitter,Visitor
TS-045,V00063,Safari,Tablet,Low,Twitter,Visitor
TS-045,V00064,Edge,Desktop,High,Twitter,Visitor
TS-045,V00065,Edge,Desktop,Medium,Twitter,Visitor
TS-045,V00066,Edge,Desktop,Low,Twitter,Visitor
TS-045,V00067,Edge,Mobile,High,Twitter,Visitor
TS-045,V00068,Edge,Mobile,Medium,Twitter,Visitor
TS-045,V00069,Edge,Mobile,Low,Twitter,Visitor
TS-045,V00070,Edge,Tablet,High,Twitter,Visitor
TS-045,V00071,Edge,Tablet,Medium,Twitter,Visitor
TS-045,V00072,Edge,Tablet,Low,Twitter,Visitor
TS-045,V00073,Chrome,Desktop,High,Pinterest,Visitor
TS-045,V00074,Chrome,Desktop,Medium,Pinterest,Visitor
TS-045,V00075,Chrome,Desktop,Low,Pinterest,Visitor
TS-045,V00076,Chrome,Mobile,High,Pinterest,Visitor
TS-045,V00077,Chrome,Mobile,Medium,Pinterest,Visitor
TS-045,V00078,Chrome,Mobile,Low,Pinterest,Visitor
TS-045,V00079,Chrome,Tablet,High,Pinterest,Visitor
TS-045,V00080,Chrome,Tablet,Medium,Pinterest,Visitor
TS-045,V00081,Chrome,Tablet,Low,Pinterest,Visitor
TS-045,V00082,Firefox,Desktop,High,Pinterest,Visitor
TS-045,V00083,Firefox,Desktop,Medium,Pinterest,Visitor
TS-045,V00084,Firefox,Desktop,Low,Pinterest,Visitor
TS-045,V00085,Firefox,Mobile,High,Pinterest,Visitor
TS-045,V00086,Firefox,Mobile,Medium,Pinterest,Visitor
TS-045,V00087,Firefox,Mobile,Low,Pinterest,Visitor
TS-045,V00088,Firefox,Tablet,High,Pinterest,Visitor
TS-045,V00089,Firefox,Tablet,Medium,Pinterest,Visitor
TS-045,V00090,Firefox,Tablet,Low,Pinterest,Visitor
TS-045,V00091,Safari,Desktop,High,Pinterest,Visitor
TS-045,V00092,Safari,Desktop,Medium,Pinterest,Visitor
TS-045,V00093,Safari,Desktop,Low,Pinterest,Visitor
TS-045,V00094,Safari,Mobile,High,Pinterest,Visitor
TS-045,V00095,Safari,Mobile,Medium,Pinterest,Visitor
TS-045,V00096,Safari,Mobile,Low,Pinterest,Visitor
TS-045,V00097,Safari,Tablet,High,Pinterest,Visitor
TS-045,V00098,Safari,Tablet,Medium,Pinterest,Visitor
TS-045,V00099,Safari,Tablet,Low,Pinterest,Visitor
TS-045,V00100,Edge,Desktop,High,Pinterest,Visitor
TS-045,V00101,Edge,Desktop,Medium,Pinterest,Visitor
TS-045,V00102,Edge,Desktop,Low,Pinterest,Visitor
TS-045,V00103,Edge,Mobile,High,Pinterest,Visitor
TS-045,V00104,Edge,Mobile,Medium,Pinterest,Visitor
TS-045,V00105,Edge,Mobile,Low,Pinterest,Visitor
TS-045,V00106,Edge,Tablet,High,Pinterest,Visitor
TS-045,V00107,Edge,Tablet,Medium,Pinterest,Visitor
TS-045,V00108,Edge,Tablet,Low,Pinterest,Visitor
TS-045,V00109,Chrome,Desktop,High,Instagram,Visitor
TS-045,V00110,Chrome,Desktop,Medium,Instagram,Visitor
TS-045,V00111,Chrome,Desktop,Low,Instagram,Visitor
TS-045,V00112,Chrome,Mobile,High,Instagram,Visitor
TS-045,V00113,Chrome,Mobile,Medium,Instagram,Visitor
TS-045,V00114,Chrome,Mobile,Low,Instagram,Visitor
TS-045,V00115,Chrome,Tablet,High,Instagram,Visitor
TS-045,V00116,Chrome,Tablet,Medium,Instagram,Visitor
TS-045,V00117,Chrome,Tablet,Low,Instagram,Visitor
TS-045,V00118,Firefox,Desktop,High,Instagram,Visitor
TS-045,V00119,Firefox,Desktop,Medium,Instagram,Visitor
TS-045,V00120,Firefox,Desktop,Low,Instagram,Visitor
TS-045,V00121,Firefox,Mobile,High,Instagram,Visitor
TS-045,V00122,Firefox,Mobile,Medium,Instagram,Visitor
TS-045,V00123,Firefox,Mobile,Low,Instagram,Visitor
TS-045,V00124,Firefox,Tablet,High,Instagram,Visitor
TS-045,V00125,Firefox,Tablet,Medium,Instagram,Visitor
TS-045,V00126,Firefox,Tablet,Low,Instagram,Visitor
TS-045,V00127,Safari,Desktop,High,Instagram,Visitor
TS-045,V00128,Safari,Desktop,Medium,Instagram,Visitor
TS-045,V00129,Safari,Desktop,Low,Instagram,Visitor
TS-045,V00130,Safari,Mobile,High,Instagram,Visitor
TS-045,V00131,Safari,Mobile,Medium,Instagram,Visitor
TS-045,V00132,Safari,Mobile,Low,Instagram,Visitor
TS-045,V00133,Safari,Tablet,High,Instagram,Visitor
TS-045,V00134,Safari,Tablet,Medium,Instagram,Visitor
TS-045,V00135,Safari,Tablet,Low,Instagram,Visitor
TS-045,V00136,Edge,Desktop,High,Instagram,Visitor
TS-045,V00137,Edge,Desktop,Medium,Instagram,Visitor
TS-045,V00138,Edge,Desktop,Low,Instagram,Visitor
TS-045,V00139,Edge,Mobile,High,Instagram,Visitor
TS-045,V00140,Edge,Mobile,Medium,Instagram,Visitor
TS-045,V00141,Edge,Mobile,Low,Instagram,Visitor
TS-045,V00142,Edge,Tablet,High,Instagram,Visitor
TS-045,V00143,Edge,Tablet,Medium,Instagram,Visitor
TS-045,V00144,Edge,Tablet,Low,Instagram,Visitor
TS-045,V00145,Chrome,Desktop,High,Facebook,Buyer
TS-045,V00146,Chrome,Desktop,Medium,Facebook,Buyer
TS-045,V00147,Chrome,Desktop,Low,Facebook,Buyer
TS-045,V00148,Chrome,Mobile,High,Facebook,Buyer
TS-045,V00149,Chrome,Mobile,Medium,Facebook,Buyer
TS-045,V00150,Chrome,Mobile,Low,Facebook,Buyer
TS-045,V00151,Chrome,Tablet,High,Facebook,Buyer
TS-045,V00152,Chrome,Tablet,Medium,Facebook,Buyer
TS-045,V00153,Chrome,Tablet,Low,Facebook,Buyer
TS-045,V00154,Firefox,Desktop,High,Facebook,Buyer
TS-045,V00155,Firefox,Desktop,Medium,Facebook,Buyer
TS-045,V00156,Firefox,Desktop,Low,Facebook,Buyer
TS-045,V00157,Firefox,Mobile,High,Facebook,Buyer
TS-045,V00158,Firefox,Mobile,Medium,Facebook,Buyer
TS-045,V00159,Firefox,Mobile,Low,Facebook,Buyer
TS-045,V00160,Firefox,Tablet,High,Facebook,Buyer
TS-045,V00161,Firefox,Tablet,Medium,Facebook,Buyer
TS-045,V00162,Firefox,Tablet,Low,Facebook,Buyer
TS-045,V00163,Safari,Desktop,High,Facebook,Buyer
TS-045,V00164,Safari,Desktop,Medium,Facebook,Buyer
TS-045,V00165,Safari,Desktop,Low,Facebook,Buyer
TS-045,V00166,Safari,Mobile,High,Facebook,Buyer
TS-045,V00167,Safari,Mobile,Medium,Facebook,Buyer
TS-045,V00168,Safari,Mobile,Low,Facebook,Buyer
TS-045,V00169,Safari,Tablet,High,Facebook,Buyer
TS-045,V00170,Safari,Tablet,Medium,Facebook,Buyer
TS-045,V00171,Safari,Tablet,Low,Facebook,Buyer
TS-045,V00172,Edge,Desktop,High,Facebook,Buyer
TS-045,V00173,Edge,Desktop,Medium,Facebook,Buyer
TS-045,V00174,Edge,Desktop,Low,Facebook,Buyer
TS-045,V00175,Edge,Mobile,High,Facebook,Buyer
TS-045,V00176,Edge,Mobile,Medium,Facebook,Buyer
TS-045,V00177,Edge,Mobile,Low,Facebook,Buyer
TS-045,V00178,Edge,Tablet,High,Facebook,Buyer
TS-045,V00179,Edge,Tablet,Medium,Facebook,Buyer
TS-045,V00180,Edge,Tablet,Low,Facebook,Buyer
TS-045,V00181,Chrome,Desktop,High,Twitter,Buyer
TS-045,V00182,Chrome,Desktop,Medium,Twitter,Buyer
