Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Social_Platform,User_Type
TS-046,V00001,Chrome,Desktop,High,Facebook,Buyer
TS-046,V00002,Chrome,Desktop,Medium,Facebook,Buyer
TS-046,V00003,Chrome,Desktop,Low,Facebook,Buyer
TS-046,V00004,Chrome,Mobile,High,Facebook,Buyer
TS-046,V00005,Chrome,Mobile,Medium,Facebook,Buyer
TS-046,V00006,Chrome,Mobile,Low,Facebook,Buyer
TS-046,V00007,Chrome,Tablet,High,Facebook,Buyer
TS-046,V00008,Chrome,Tablet,Medium,Facebook,Buyer
TS-046,V00009,Chrome,Tablet,Low,Facebook,Buyer
TS-046,V00010,Firefox,Desktop,High,Facebook,Buyer
TS-046,V00011,Firefox,Desktop,Medium,Facebook,Buyer
TS-046,V00012,Firefox,Desktop,Low,Facebook,Buyer
TS-046,V00013,Firefox,Mobile,High,Facebook,Buyer
TS-046,V00014,Firefox,Mobile,Medium,Facebook,Buyer
TS-046,V00015,Firefox,Mobile,Low,Facebook,Buyer
TS-046,V00016,Firefox,Tablet,High,Facebook,Buyer
TS-046,V00017,Firefox,Tablet,Medium,Facebook,Buyer
TS-046,V00018,Firefox,Tablet,Low,Facebook,Buyer
TS-046,V00019,Safari,Desktop,High,Facebook,Buyer
TS-046,V00020,Safari,Desktop,Medium,Facebook,Buyer
TS-046,V00021,Safari,Desktop,Low,Facebook,Buyer
TS-046,V00022,Safari,Mobile,High,Facebook,Buyer
TS-046,V00023,Safari,Mobile,Medium,Facebook,Buyer
TS-046,V00024,Safari,Mobile,Low,Facebook,Buyer
TS-046,V00025,Safari,Tablet,High,Facebook,Buyer
TS-046,V00026,Safari,Tablet,Medium,Facebook,Buyer
TS-046,V00027,Safari,Tablet,Low,Facebook,Buyer
TS-046,V00028,Edge,Desktop,High,Facebook,Buyer
TS-046,V00029,Edge,Desktop,Medium,Facebook,Buyer
TS-046,V00030,Edge,Desktop,Low,Facebook,Buyer
TS-046,V00031,Edge,Mobile,High,Facebook,Buyer
TS-046,V00032,Edge,Mobile,Medium,Facebook,Buyer
TS-046,V00033,Edge,Mobile,Low,Facebook,Buyer
TS-046,V00034,Edge,Tablet,High,Facebook,Buyer
TS-046,V00035,Edge,Tablet,Medium,Facebook,Buyer
