Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_State,Rating,User_Type
TS-047,V00001,Chrome,Desktop,High,Purchased,1_Star,Buyer
TS-047,V00002,Chrome,Desktop,Medium,Purchased,1_Star,Buyer
TS-047,V00003,Chrome,Desktop,Low,Purchased,1_Star,Buyer
TS-047,V00004,Chrome,Mobile,High,Purchased,1_Star,Buyer
TS-047,V00005,Chrome,Mobile,Medium,Purchased,1_Star,Buyer
TS-047,V00006,Chrome,Mobile,Low,Purchased,1_Star,Buyer
TS-047,V00007,Chrome,Tablet,High,Purchased,1_Star,Buyer
TS-047,V00008,Chrome,Tablet,Medium,Purchased,1_Star,Buyer
TS-047,V00009,Chrome,Tablet,Low,Purchased,1_Star,Buyer
TS-047,V00010,Firefox,Desktop,High,Purchased,1_Star,Buyer
TS-047,V00011,Firefox,Desktop,Medium,Purchased,1_Star,Buyer
TS-047,V00012,Firefox,Desktop,Low,Purchased,1_Star,Buyer
TS-047,V00013,Firefox,Mobile,High,Purchased,1_Star,Buyer
TS-047,V00014,Firefox,Mobile,Medium,Purchased,1_Star,Buyer
TS-047,V00015,Firefox,Mobile,Low,Purchased,1_Star,Buyer
TS-047,V00016,Firefox,Tablet,High,Purchased,1_Star,Buyer
TS-047,V00017,Firefox,Tablet,Medium,Purchased,1_Star,Buyer
TS-047,V00018,Firefox,Tablet,Low,Purchased,1_Star,Buyer
TS-047,V00019,Safari,Desktop,High,Purchased,1_Star,Buyer
TS-047,V00020,Safari,Desktop,Medium,Purchased,1_Star,Buyer
TS-047,V00021,Safari,Desktop,Low,Purchased,1_Star,Buyer
TS-047,V00022,Safari,Mobile,High,Purchased,1_Star,Buyer
TS-047,V00023,Safari,Mobile,Medium,Purchased,1_Star,Buyer
TS-047,V00024,Safari,Mobile,Low,Purchased,1_Star,Buyer
TS-047,V00025,Safari,Tablet,High,Purchased,1_Star,Buyer
TS-047,V00026,Safari,Tablet,Medium,Purchased,1_Star,Buyer
TS-047,V00027,Safari,Tablet,Low,Purchased,1_Star,Buyer
TS-047,V00028,Edge,Desktop,High,Purchased,1_Star,Buyer
