Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_State,User_Type
TS-048,V00001,Chrome,Desktop,High,Not_Purchased,Buyer
TS-048,V00002,Chrome,Desktop,Medium,Not_Purchased,Buyer
TS-048,V00003,Chrome,Desktop,Low,Not_Purchased,Buyer
TS-048,V00004,Chrome,Mobile,High,Not_Purchased,Buyer
TS-048,V00005,Chrome,Mobile,Medium,Not_Purchased,Buyer
TS-048,V00006,Chrome,Mobile,Low,Not_Purchased,Buyer
TS-048,V00007,Chrome,Tablet,High,Not_Purchased,Buyer
TS-048,V00008,Chrome,Tablet,Medium,Not_Purchased,Buyer
TS-048,V00009,Chrome,Tablet,Low,Not_Purchased,Buyer
TS-048,V00010,Firefox,Desktop,High,Not_Purchased,Buyer
TS-048,V00011,Firefox,Desktop,Medium,Not_Purchased,Buyer
TS-048,V00012,Firefox,Desktop,Low,Not_Purchased,Buyer
TS-048,V00013,Firefox,Mobile,High,Not_Purchased,Buyer
TS-048,V00014,Firefox,Mobile,Medium,Not_Purchased,Buyer
TS-048,V00015,Firefox,Mobile,Low,Not_Purchased,Buyer
TS-048,V00016,Firefox,Tablet,High,Not_Purchased,Buyer
TS-048,V00017,Firefox,Tablet,Medium,Not_Purchased,Buyer
TS-048,V00018,Firefox,Tablet,Low,Not_Purchased,Buyer
TS-048,V00019,Safari,Desktop,High,Not_Purchased,Buyer
TS-048,V00020,Safari,Desktop,Medium,Not_Purchased,Buyer
TS-048,V00021,Safari,Desktop,Low,Not_Purchased,Buyer
TS-048,V00022,Safari,Mobile,High,Not_Purchased,Buyer
TS-048,V00023,Safari,Mobile,Medium,Not_Purchased,Buyer
TS-048,V00024,Safari,Mobile,Low,Not_Purchased,Buyer
TS-048,V00025,Safari,Tablet,High,Not_Purchased,Buyer
TS-048,V00026,Safari,Tablet,Medium,Not_Purchased,Buyer
TS-048,V00027,Safari,Tablet,Low,Not_Purchased,Buyer
TS-048,V00028,Edge,Desktop,High,Not_Purchased,Buyer
TS-048,V00029,Edge,Desktop,Medium,Not_Purchased,Buyer
TS-048,V00030,Edge,Desktop,Low,Not_Purchased,Buyer
TS-048,V00031,Edge,Mobile,High,Not_Purchased,Buyer
TS-048,V00032,Edge,Mobile,Medium,Not_Purchased,Buyer
TS-048,V00033,Edge,Mobile,Low,Not_Purchased,Buyer
TS-048,V00034,Edge,Tablet,High,Not_Purchased,Buyer
TS-048,V00035,Edge,Tablet,Medium,Not_Purchased,Buyer
TS-048,V00036,Edge,Tablet,Low,Not_Purchased,Buyer
