Scenario_ID,Variant_ID,Address_Action,Browser,Device,Network_Speed,User_Type
TS-053,V00001,Add,Chrome,Desktop,High,Buyer
TS-053,V00002,Add,Chrome,Desktop,Medium,Buyer
TS-053,V00003,Add,Chrome,Desktop,Low,Buyer
TS-053,V00004,Add,Chrome,Mobile,High,Buyer
TS-053,V00005,Add,Chrome,Mobile,Medium,Buyer
TS-053,V00006,Add,Chrome,Mobile,Low,Buyer
TS-053,V00007,Add,Chrome,Tablet,High,Buyer
TS-053,V00008,Add,Chrome,Tablet,Medium,Buyer
TS-053,V00009,Add,Chrome,Tablet,Low,Buyer
TS-053,V00010,Add,Firefox,Desktop,High,Buyer
TS-053,V00011,Add,Firefox,Desktop,Medium,Buyer
TS-053,V00012,Add,Firefox,Desktop,Low,Buyer
TS-053,V00013,Add,Firefox,Mobile,High,Buyer
TS-053,V00014,Add,Firefox,Mobile,Medium,Buyer
TS-053,V00015,Add,Firefox,Mobile,Low,Buyer
TS-053,V00016,Add,Firefox,Tablet,High,Buyer
TS-053,V00017,Add,Firefox,Tablet,Medium,Buyer
TS-053,V00018,Add,Firefox,Tablet,Low,Buyer
TS-053,V00019,Add,Safari,Desktop,High,Buyer
TS-053,V00020,Add,Safari,Desktop,Medium,Buyer
TS-053,V00021,Add,Safari,Desktop,Low,Buyer
TS-053,V00022,Add,Safari,Mobile,High,Buyer
TS-053,V00023,Add,Safari,Mobile,Medium,Buyer
TS-053,V00024,Add,Safari,Mobile,Low,Buyer
TS-053,V00025,Add,Safari,Tablet,High,Buyer
TS-053,V00026,Add,Safari,Tablet,Medium,Buyer
TS-053,V00027,Add,Safari,Tablet,Low,Buyer
TS-053,V00028,Add,Edge,Desktop,High,Buyer
TS-053,V00029,Add,Edge,Desktop,Medium,Buyer
TS-053,V00030,Add,Edge,Desktop,Low,Buyer
TS-053,V00031,Add,Edge,Mobile,High,Buyer
TS-053,V00032,Add,Edge,Mobile,Medium,Buyer
TS-053,V00033,Add,Edge,Mobile,Low,Buyer
TS-053,V00034,Add,Edge,Tablet,High,Buyer
TS-053,V00035,Add,Edge,Tablet,Medium,Buyer
TS-053,V00036,Add,Edge,Tablet,Low,Buyer
TS-053,V00037,Edit,Chrome,Desktop,High,Buyer
TS-053,V00038,Edit,Chrome,Desktop,Medium,Buyer
TS-053,V00039,Edit,Chrome,Desktop,Low,Buyer
TS-053,V00040,Edit,Chrome,Mobile,High,Buyer
TS-053,V00041,Edit,Chrome,Mobile,Medium,Buyer
TS-053,V00042,Edit,Chrome,Mobile,Low,Buyer
TS-053,V00043,Edit,Chrome,Tablet,High,Buyer
TS-053,V00044,Edit,Chrome,Tablet,Medium,Buyer
TS-053,V00045,Edit,Chrome,Tablet,Low,Buyer
TS-053,V00046,Edit,Firefox,Desktop,High,Buyer
TS-053,V00047,Edit,Firefox,Desktop,Medium,Buyer
TS-053,V00048,Edit,Firefox,Desktop,Low,Buyer
TS-053,V00049,Edit,Firefox,Mobile,High,Buyer
TS-053,V00050,Edit,Firefox,Mobile,Medium,Buyer
TS-053,V00051,Edit,Firefox,Mobile,Low,Buyer
TS-053,V00052,Edit,Firefox,Tablet,High,Buyer
TS-053,V00053,Edit,Firefox,Tablet,Medium,Buyer
TS-053,V00054,Edit,Firefox,Tablet,Low,Buyer
TS-053,V00055,Edit,Safari,Desktop,High,Buyer
TS-053,V00056,Edit,Safari,Desktop,Medium,Buyer
TS-053,V00057,Edit,Safari,Desktop,Low,Buyer
TS-053,V00058,Edit,Safari,Mobile,High,Buyer
TS-053,V00059,Edit,Safari,Mobile,Medium,Buyer
TS-053,V00060,Edit,Safari,Mobile,Low,Buyer
TS-053,V00061,Edit,Safari,Tablet,High,Buyer
TS-053,V00062,Edit,Safari,Tablet,Medium,Buyer
TS-053,V00063,Edit,Safari,Tablet,Low,Buyer
TS-053,V00064,Edit,Edge,Desktop,High,Buyer
TS-053,V00065,Edit,Edge,Desktop,Medium,Buyer
TS-053,V00066,Edit,Edge,Desktop,Low,Buyer
TS-053,V00067,Edit,Edge,Mobile,High,Buyer
TS-053,V00068,Edit,Edge,Mobile,Medium,Buyer
TS-053,V00069,Edit,Edge,Mobile,Low,Buyer
TS-053,V00070,Edit,Edge,Tablet,High,Buyer
TS-053,V00071,Edit,Edge,Tablet,Medium,Buyer
TS-053,V00072,Edit,Edge,Tablet,Low,Buyer
TS-053,V00073,Delete,Chrome,Desktop,High,Buyer
TS-053,V00074,Delete,Chrome,Desktop,Medium,Buyer
TS-053,V00075,Delete,Chrome,Desktop,Low,Buyer
TS-053,V00076,Delete,Chrome,Mobile,High,Buyer
TS-053,V00077,Delete,Chrome,Mobile,Medium,Buyer
TS-053,V00078,Delete,Chrome,Mobile,Low,Buyer
TS-053,V00079,Delete,Chrome,Tablet,High,Buyer
TS-053,V00080,Delete,Chrome,Tablet,Medium,Buyer
