Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Count,User_Type
TS-054,V00001,Chrome,Desktop,High,None,Buyer
TS-054,V00002,Chrome,Desktop,Medium,None,Buyer
TS-054,V00003,Chrome,Desktop,Low,None,Buyer
TS-054,V00004,Chrome,Mobile,High,None,Buyer
TS-054,V00005,Chrome,Mobile,Medium,None,Buyer
TS-054,V00006,Chrome,Mobile,Low,None,Buyer
TS-054,V00007,Chrome,Tablet,High,None,Buyer
TS-054,V00008,Chrome,Tablet,Medium,None,Buyer
TS-054,V00009,Chrome,Tablet,Low,None,Buyer
TS-054,V00010,Firefox,Desktop,High,None,Buyer
TS-054,V00011,Firefox,Desktop,Medium,None,Buyer
TS-054,V00012,Firefox,Desktop,Low,None,Buyer
TS-054,V00013,Firefox,Mobile,High,None,Buyer
TS-054,V00014,Firefox,Mobile,Medium,None,Buyer
TS-054,V00015,Firefox,Mobile,Low,None,Buyer
TS-054,V00016,Firefox,Tablet,High,None,Buyer
TS-054,V00017,Firefox,Tablet,Medium,None,Buyer
TS-054,V00018,Firefox,Tablet,Low,None,Buyer
TS-054,V00019,Safari,Desktop,High,None,Buyer
TS-054,V00020,Safari,Desktop,Medium,None,Buyer
TS-054,V00021,Safari,Desktop,Low,None,Buyer
TS-054,V00022,Safari,Mobile,High,None,Buyer
TS-054,V00023,Safari,Mobile,Medium,None,Buyer
TS-054,V00024,Safari,Mobile,Low,None,Buyer
TS-054,V00025,Safari,Tablet,High,None,Buyer
TS-054,V00026,Safari,Tablet,Medium,None,Buyer
TS-054,V00027,Safari,Tablet,Low,None,Buyer
TS-054,V00028,Edge,Desktop,High,None,Buyer
TS-054,V00029,Edge,Desktop,Medium,None,Buyer
TS-054,V00030,Edge,Desktop,Low,None,Buyer
TS-054,V00031,Edge,Mobile,High,None,Buyer
TS-054,V00032,Edge,Mobile,Medium,None,Buyer
TS-054,V00033,Edge,Mobile,Low,None,Buyer
TS-054,V00034,Edge,Tablet,High,None,Buyer
TS-054,V00035,Edge,Tablet,Medium,None,Buyer
TS-054,V00036,Edge,Tablet,Low,None,Buyer
TS-054,V00037,Chrome,Desktop,High,Single,Buyer
TS-054,V00038,Chrome,Desktop,Medium,Single,Buyer
TS-054,V00039,Chrome,Desktop,Low,Single,Buyer
TS-054,V00040,Chrome,Mobile,High,Single,Buyer
TS-054,V00041,Chrome,Mobile,Medium,Single,Buyer
TS-054,V00042,Chrome,Mobile,Low,Single,Buyer
TS-054,V00043,Chrome,Tablet,High,Single,Buyer
TS-054,V00044,Chrome,Tablet,Medium,Single,Buyer
TS-054,V00045,Chrome,Tablet,Low,Single,Buyer
TS-054,V00046,Firefox,Desktop,High,Single,Buyer
TS-054,V00047,Firefox,Desktop,Medium,Single,Buyer
TS-054,V00048,Firefox,Desktop,Low,Single,Buyer
TS-054,V00049,Firefox,Mobile,High,Single,Buyer
TS-054,V00050,Firefox,Mobile,Medium,Single,Buyer
TS-054,V00051,Firefox,Mobile,Low,Single,Buyer
TS-054,V00052,Firefox,Tablet,High,Single,Buyer
TS-054,V00053,Firefox,Tablet,Medium,Single,Buyer
TS-054,V00054,Firefox,Tablet,Low,Single,Buyer
TS-054,V00055,Safari,Desktop,High,Single,Buyer
TS-054,V00056,Safari,Desktop,Medium,Single,Buyer
TS-054,V00057,Safari,Desktop,Low,Single,Buyer
TS-054,V00058,Safari,Mobile,High,Single,Buyer
TS-054,V00059,Safari,Mobile,Medium,Single,Buyer
TS-054,V00060,Safari,Mobile,Low,Single,Buyer
TS-054,V00061,Safari,Tablet,High,Single,Buyer
TS-054,V00062,Safari,Tablet,Medium,Single,Buyer
TS-054,V00063,Safari,Tablet,Low,Single,Buyer
TS-054,V00064,Edge,Desktop,High,Single,Buyer
TS-054,V00065,Edge,Desktop,Medium,Single,Buyer
TS-054,V00066,Edge,Desktop,Low,Single,Buyer
TS-054,V00067,Edge,Mobile,High,Single,Buyer
TS-054,V00068,Edge,Mobile,Medium,Single,Buyer
TS-054,V00069,Edge,Mobile,Low,Single,Buyer
TS-054,V00070,Edge,Tablet,High,Single,Buyer
TS-054,V00071,Edge,Tablet,Medium,Single,Buyer
TS-054,V00072,Edge,Tablet,Low,Single,Buyer
TS-054,V00073,Chrome,Desktop,High,Multiple,Buyer
