Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Status,User_Type
TS-055,V00001,Chrome,Desktop,High,Open,Buyer
TS-055,V00002,Chrome,Desktop,Medium,Open,Buyer
TS-055,V00003,Chrome,Desktop,Low,Open,Buyer
TS-055,V00004,Chrome,Mobile,High,Open,Buyer
TS-055,V00005,Chrome,Mobile,Medium,Open,Buyer
TS-055,V00006,Chrome,Mobile,Low,Open,Buyer
TS-055,V00007,Chrome,Tablet,High,Open,Buyer
TS-055,V00008,Chrome,Tablet,Medium,Open,Buyer
TS-055,V00009,Chrome,Tablet,Low,Open,Buyer
TS-055,V00010,Firefox,Desktop,High,Open,Buyer
TS-055,V00011,Firefox,Desktop,Medium,Open,Buyer
TS-055,V00012,Firefox,Desktop,Low,Open,Buyer
TS-055,V00013,Firefox,Mobile,High,Open,Buyer
TS-055,V00014,Firefox,Mobile,Medium,Open,Buyer
TS-055,V00015,Firefox,Mobile,Low,Open,Buyer
TS-055,V00016,Firefox,Tablet,High,Open,Buyer
TS-055,V00017,Firefox,Tablet,Medium,Open,Buyer
TS-055,V00018,Firefox,Tablet,Low,Open,Buyer
TS-055,V00019,Safari,Desktop,High,Open,Buyer
TS-055,V00020,Safari,Desktop,Medium,Open,Buyer
TS-055,V00021,Safari,Desktop,Low,Open,Buyer
TS-055,V00022,Safari,Mobile,High,Open,Buyer
TS-055,V00023,Safari,Mobile,Medium,Open,Buyer
TS-055,V00024,Safari,Mobile,Low,Open,Buyer
TS-055,V00025,Safari,Tablet,High,Open,Buyer
TS-055,V00026,Safari,Tablet,Medium,Open,Buyer
TS-055,V00027,Safari,Tablet,Low,Open,Buyer
TS-055,V00028,Edge,Desktop,High,Open,Buyer
TS-055,V00029,Edge,Desktop,Medium,Open,Buyer
TS-055,V00030,Edge,Desktop,Low,Open,Buyer
TS-055,V00031,Edge,Mobile,High,Open,Buyer
TS-055,V00032,Edge,Mobile,Medium,Open,Buyer
TS-055,V00033,Edge,Mobile,Low,Open,Buyer
TS-055,V00034,Edge,Tablet,High,Open,Buyer
TS-055,V00035,Edge,Tablet,Medium,Open,Buyer
TS-055,V00036,Edge,Tablet,Low,Open,Buyer
TS-055,V00037,Chrome,Desktop,High,Confirmed,Buyer
TS-055,V00038,Chrome,Desktop,Medium,Confirmed,Buyer
TS-055,V00039,Chrome,Desktop,Low,Confirmed,Buyer
TS-055,V00040,Chrome,Mobile,High,Confirmed,Buyer
TS-055,V00041,Chrome,Mobile,Medium,Confirmed,Buyer
TS-055,V00042,Chrome,Mobile,Low,Confirmed,Buyer
TS-055,V00043,Chrome,Tablet,High,Confirmed,Buyer
TS-055,V00044,Chrome,Tablet,Medium,Confirmed,Buyer
TS-055,V00045,Chrome,Tablet,Low,Confirmed,Buyer
TS-055,V00046,Firefox,Desktop,High,Confirmed,Buyer
TS-055,V00047,Firefox,Desktop,Medium,Confirmed,Buyer
TS-055,V00048,Firefox,Desktop,Low,Confirmed,Buyer
TS-055,V00049,Firefox,Mobile,High,Confirmed,Buyer
TS-055,V00050,Firefox,Mobile,Medium,Confirmed,Buyer
TS-055,V00051,Firefox,Mobile,Low,Confirmed,Buyer
TS-055,V00052,Firefox,Tablet,High,Confirmed,Buyer
TS-055,V00053,Firefox,Tablet,Medium,Confirmed,Buyer
TS-055,V00054,Firefox,Tablet,Low,Confirmed,Buyer
TS-055,V00055,Safari,Desktop,High,Confirmed,Buyer
TS-055,V00056,Safari,Desktop,Medium,Confirmed,Buyer
TS-055,V00057,Safari,Desktop,Low,Confirmed,Buyer
TS-055,V00058,Safari,Mobile,High,Confirmed,Buyer
TS-055,V00059,Safari,Mobile,Medium,Confirmed,Buyer
TS-055,V00060,Safari,Mobile,Low,Confirmed,Buyer
TS-055,V00061,Safari,Tablet,High,Confirmed,Buyer
TS-055,V00062,Safari,Tablet,Medium,Confirmed,Buyer
TS-055,V00063,Safari,Tablet,Low,Confirmed,Buyer
TS-055,V00064,Edge,Desktop,High,Confirmed,Buyer
TS-055,V00065,Edge,Desktop,Medium,Confirmed,Buyer
TS-055,V00066,Edge,Desktop,Low,Confirmed,Buyer
TS-055,V00067,Edge,Mobile,High,Confirmed,Buyer
TS-055,V00068,Edge,Mobile,Medium,Confirmed,Buyer
TS-055,V00069,Edge,Mobile,Low,Confirmed,Buyer
TS-055,V00070,Edge,Tablet,High,Confirmed,Buyer
TS-055,V00071,Edge,Tablet,Medium,Confirmed,Buyer
TS-055,V00072,Edge,Tablet,Low,Confirmed,Buyer
TS-055,V00073,Chrome,Desktop,High,Shipped,Buyer
TS-055,V00074,Chrome,Desktop,Medium,Shipped,Buyer
TS-055,V00075,Chrome,Desktop,Low,Shipped,Buyer
TS-055,V00076,Chrome,Mobile,High,Shipped,Buyer
TS-055,V00077,Chrome,Mobile,Medium,Shipped,Buyer
TS-055,V00078,Chrome,Mobile,Low,Shipped,Buyer
TS-055,V00079,Chrome,Tablet,High,Shipped,Buyer
TS-055,V00080,Chrome,Tablet,Medium,Shipped,Buyer
TS-055,V00081,Chrome,Tablet,Low,Shipped,Buyer
TS-055,V00082,Firefox,Desktop,High,Shipped,Buyer
TS-055,V00083,Firefox,Desktop,Medium,Shipped,Buyer
TS-055,V00084,Firefox,Desktop,Low,Shipped,Buyer
TS-055,V00085,Firefox,Mobile,High,Shipped,Buyer
TS-055,V00086,Firefox,Mobile,Medium,Shipped,Buyer
TS-055,V00087,Firefox,Mobile,Low,Shipped,Buyer
TS-055,V00088,Firefox,Tablet,High,Shipped,Buyer
TS-055,V00089,Firefox,Tablet,Medium,Shipped,Buyer
TS-055,V00090,Firefox,Tablet,Low,Shipped,Buyer
TS-055,V00091,Safari,Desktop,High,Shipped,Buyer
TS-055,V00092,Safari,Desktop,Medium,Shipped,Buyer
TS-055,V00093,Safari,Desktop,Low,Shipped,Buyer
