Scenario_ID,Variant_ID,Browser,Device,Network_Speed,User_Type
TS-058,V00001,Chrome,Desktop,High,Buyer
TS-058,V00002,Chrome,Desktop,Medium,Buyer
TS-058,V00003,Chrome,Desktop,Low,Buyer
TS-058,V00004,Chrome,Mobile,High,Buyer
TS-058,V00005,Chrome,Mobile,Medium,Buyer
TS-058,V00006,Chrome,Mobile,Low,Buyer
TS-058,V00007,Chrome,Tablet,High,Buyer
TS-058,V00008,Chrome,Tablet,Medium,Buyer
TS-058,V00009,Chrome,Tablet,Low,Buyer
TS-058,V00010,Firefox,Desktop,High,Buyer
TS-058,V00011,Firefox,Desktop,Medium,Buyer
TS-058,V00012,Firefox,Desktop,Low,Buyer
TS-058,V00013,Firefox,Mobile,High,Buyer
TS-058,V00014,Firefox,Mobile,Medium,Buyer
TS-058,V00015,Firefox,Mobile,Low,Buyer
TS-058,V00016,Firefox,Tablet,High,Buyer
TS-058,V00017,Firefox,Tablet,Medium,Buyer
TS-058,V00018,Firefox,Tablet,Low,Buyer
TS-058,V00019,Safari,Desktop,High,Buyer
TS-058,V00020,Safari,Desktop,Medium,Buyer
TS-058,V00021,Safari,Desktop,Low,Buyer
TS-058,V00022,Safari,Mobile,High,Buyer
TS-058,V00023,Safari,Mobile,Medium,Buyer
TS-058,V00024,Safari,Mobile,Low,Buyer
TS-058,V00025,Safari,Tablet,High,Buyer
TS-058,V00026,Safari,Tablet,Medium,Buyer
TS-058,V00027,Safari,Tablet,Low,Buyer
TS-058,V00028,Edge,Desktop,High,Buyer
TS-058,V00029,Edge,Desktop,Medium,Buyer
TS-058,V00030,Edge,Desktop,Low,Buyer
TS-058,V00031,Edge,Mobile,High,Buyer
TS-058,V00032,Edge,Mobile,Medium,Buyer
TS-058,V00033,Edge,Mobile,Low,Buyer
TS-058,V00034,Edge,Tablet,High,Buyer
TS-058,V00035,Edge,Tablet,Medium,Buyer
TS-058,V00036,Edge,Tablet,Low,Buyer
