Scenario_ID,Variant_ID,Browser,Device,Message_Type,Network_Speed,User_Type
TS-059,V00001,Chrome,Desktop,Question,High,Buyer
TS-059,V00002,Chrome,Desktop,Question,Medium,Buyer
TS-059,V00003,Chrome,Desktop,Question,Low,Buyer
TS-059,V00004,Chrome,Mobile,Question,High,Buyer
TS-059,V00005,Chrome,Mobile,Question,Medium,Buyer
TS-059,V00006,Chrome,Mobile,Question,Low,Buyer
TS-059,V00007,Chrome,Tablet,Question,High,Buyer
TS-059,V00008,Chrome,Tablet,Question,Medium,Buyer
TS-059,V00009,Chrome,Tablet,Question,Low,Buyer
TS-059,V00010,Firefox,Desktop,Question,High,Buyer
TS-059,V00011,Firefox,Desktop,Question,Medium,Buyer
TS-059,V00012,Firefox,Desktop,Question,Low,Buyer
TS-059,V00013,Firefox,Mobile,Question,High,Buyer
TS-059,V00014,Firefox,Mobile,Question,Medium,Buyer
TS-059,V00015,Firefox,Mobile,Question,Low,Buyer
TS-059,V00016,Firefox,Tablet,Question,High,Buyer
TS-059,V00017,Firefox,Tablet,Question,Medium,Buyer
TS-059,V00018,Firefox,Tablet,Question,Low,Buyer
TS-059,V00019,Safari,Desktop,Question,High,Buyer
TS-059,V00020,Safari,Desktop,Question,Medium,Buyer
TS-059,V00021,Safari,Desktop,Question,Low,Buyer
TS-059,V00022,Safari,Mobile,Question,High,Buyer
TS-059,V00023,Safari,Mobile,Question,Medium,Buyer
TS-059,V00024,Safari,Mobile,Question,Low,Buyer
TS-059,V00025,Safari,Tablet,Question,High,Buyer
TS-059,V00026,Safari,Tablet,Question,Medium,Buyer
TS-059,V00027,Safari,Tablet,Question,Low,Buyer
TS-059,V00028,Edge,Desktop,Question,High,Buyer
TS-059,V00029,Edge,Desktop,Question,Medium,Buyer
TS-059,V00030,Edge,Desktop,Question,Low,Buyer
TS-059,V00031,Edge,Mobile,Question,High,Buyer
TS-059,V00032,Edge,Mobile,Question,Medium,Buyer
TS-059,V00033,Edge,Mobile,Question,Low,Buyer
TS-059,V00034,Edge,Tablet,Question,High,Buyer
TS-059,V00035,Edge,Tablet,Question,Medium,Buyer
TS-059,V00036,Edge,Tablet,Question,Low,Buyer
TS-059,V00037,Chrome,Desktop,Complaint,High,Buyer
TS-059,V00038,Chrome,Desktop,Complaint,Medium,Buyer
TS-059,V00039,Chrome,Desktop,Complaint,Low,Buyer
TS-059,V00040,Chrome,Mobile,Complaint,High,Buyer
TS-059,V00041,Chrome,Mobile,Complaint,Medium,Buyer
