Scenario_ID,Variant_ID,Browser,Device,Message_Type,Network_Speed,User_Type
TS-060,V00001,Chrome,Desktop,Question,High,Visitor
TS-060,V00002,Chrome,Desktop,Question,Medium,Visitor
TS-060,V00003,Chrome,Desktop,Question,Low,Visitor
TS-060,V00004,Chrome,Mobile,Question,High,Visitor
TS-060,V00005,Chrome,Mobile,Question,Medium,Visitor
TS-060,V00006,Chrome,Mobile,Question,Low,Visitor
TS-060,V00007,Chrome,Tablet,Question,High,Visitor
TS-060,V00008,Chrome,Tablet,Question,Medium,Visitor
TS-060,V00009,Chrome,Tablet,Question,Low,Visitor
TS-060,V00010,Firefox,Desktop,Question,High,Visitor
TS-060,V00011,Firefox,Desktop,Question,Medium,Visitor
TS-060,V00012,Firefox,Desktop,Question,Low,Visitor
TS-060,V00013,Firefox,Mobile,Question,High,Visitor
TS-060,V00014,Firefox,Mobile,Question,Medium,Visitor
TS-060,V00015,Firefox,Mobile,Question,Low,Visitor
TS-060,V00016,Firefox,Tablet,Question,High,Visitor
TS-060,V00017,Firefox,Tablet,Question,Medium,Visitor
TS-060,V00018,Firefox,Tablet,Question,Low,Visitor
TS-060,V00019,Safari,Desktop,Question,High,Visitor
TS-060,V00020,Safari,Desktop,Question,Medium,Visitor
TS-060,V00021,Safari,Desktop,Question,Low,Visitor
TS-060,V00022,Safari,Mobile,Question,High,Visitor
TS-060,V00023,Safari,Mobile,Question,Medium,Visitor
TS-060,V00024,Safari,Mobile,Question,Low,Visitor
TS-060,V00025,Safari,Tablet,Question,High,Visitor
TS-060,V00026,Safari,Tablet,Question,Medium,Visitor
TS-060,V00027,Safari,Tablet,Question,Low,Visitor
TS-060,V00028,Edge,Desktop,Question,High,Visitor
TS-060,V00029,Edge,Desktop,Question,Medium,Visitor
TS-060,V00030,Edge,Desktop,Question,Low,Visitor
TS-060,V00031,Edge,Mobile,Question,High,Visitor
TS-060,V00032,Edge,Mobile,Question,Medium,Visitor
TS-060,V00033,Edge,Mobile,Question,Low,Visitor
TS-060,V00034,Edge,Tablet,Question,High,Visitor
TS-060,V00035,Edge,Tablet,Question,Medium,Visitor
TS-060,V00036,Edge,Tablet,Question,Low,Visitor
TS-060,V00037,Chrome,Desktop,Inquiry,High,Visitor
TS-060,V00038,Chrome,Desktop,Inquiry,Medium,Visitor
TS-060,V00039,Chrome,Desktop,Inquiry,Low,Visitor
TS-060,V00040,Chrome,Mobile,Inquiry,High,Visitor
TS-060,V00041,Chrome,Mobile,Inquiry,Medium,Visitor
TS-060,V00042,Chrome,Mobile,Inquiry,Low,Visitor
TS-060,V00043,Chrome,Tablet,Inquiry,High,Visitor
TS-060,V00044,Chrome,Tablet,Inquiry,Medium,Visitor
TS-060,V00045,Chrome,Tablet,Inquiry,Low,Visitor
TS-060,V00046,Firefox,Desktop,Inquiry,High,Visitor
TS-060,V00047,Firefox,Desktop,Inquiry,Medium,Visitor
TS-060,V00048,Firefox,Desktop,Inquiry,Low,Visitor
TS-060,V00049,Firefox,Mobile,Inquiry,High,Visitor
TS-060,V00050,Firefox,Mobile,Inquiry,Medium,Visitor
TS-060,V00051,Firefox,Mobile,Inquiry,Low,Visitor
TS-060,V00052,Firefox,Tablet,Inquiry,High,Visitor
TS-060,V00053,Firefox,Tablet,Inquiry,Medium,Visitor
TS-060,V00054,Firefox,Tablet,Inquiry,Low,Visitor
TS-060,V00055,Safari,Desktop,Inquiry,High,Visitor
TS-060,V00056,Safari,Desktop,Inquiry,Medium,Visitor
TS-060,V00057,Safari,Desktop,Inquiry,Low,Visitor
TS-060,V00058,Safari,Mobile,Inquiry,High,Visitor
TS-060,V00059,Safari,Mobile,Inquiry,Medium,Visitor
TS-060,V00060,Safari,Mobile,Inquiry,Low,Visitor
TS-060,V00061,Safari,Tablet,Inquiry,High,Visitor
TS-060,V00062,Safari,Tablet,Inquiry,Medium,Visitor
TS-060,V00063,Safari,Tablet,Inquiry,Low,Visitor
TS-060,V00064,Edge,Desktop,Inquiry,High,Visitor
TS-060,V00065,Edge,Desktop,Inquiry,Medium,Visitor
TS-060,V00066,Edge,Desktop,Inquiry,Low,Visitor
TS-060,V00067,Edge,Mobile,Inquiry,High,Visitor
TS-060,V00068,Edge,Mobile,Inquiry,Medium,Visitor
TS-060,V00069,Edge,Mobile,Inquiry,Low,Visitor
TS-060,V00070,Edge,Tablet,Inquiry,High,Visitor
TS-060,V00071,Edge,Tablet,Inquiry,Medium,Visitor
TS-060,V00072,Edge,Tablet,Inquiry,Low,Visitor
