Scenario_ID,Variant_ID,Browser,Credential_Error,Device,Input_Validity,Network_Speed,User_Type
TS-062,V00001,Chrome,Wrong_Username,Desktop,Invalid,High,Admin
TS-062,V00002,Chrome,Wrong_Username,Desktop,Invalid,Medium,Admin
TS-062,V00003,Chrome,Wrong_Username,Desktop,Invalid,Low,Admin
TS-062,V00004,Chrome,Wrong_Username,Mobile,Invalid,High,Admin
TS-062,V00005,Chrome,Wrong_Username,Mobile,Invalid,Medium,Admin
TS-062,V00006,Chrome,Wrong_Username,Mobile,Invalid,Low,Admin
TS-062,V00007,Chrome,Wrong_Username,Tablet,Invalid,High,Admin
TS-062,V00008,Chrome,Wrong_Username,Tablet,Invalid,Medium,Admin
TS-062,V00009,Chrome,Wrong_Username,Tablet,Invalid,Low,Admin
TS-062,V00010,Firefox,Wrong_Username,Desktop,Invalid,High,Admin
TS-062,V00011,Firefox,Wrong_Username,Desktop,Invalid,Medium,Admin
TS-062,V00012,Firefox,Wrong_Username,Desktop,Invalid,Low,Admin
TS-062,V00013,Firefox,Wrong_Username,Mobile,Invalid,High,Admin
TS-062,V00014,Firefox,Wrong_Username,Mobile,Invalid,Medium,Admin
TS-062,V00015,Firefox,Wrong_Username,Mobile,Invalid,Low,Admin
TS-062,V00016,Firefox,Wrong_Username,Tablet,Invalid,High,Admin
TS-062,V00017,Firefox,Wrong_Username,Tablet,Invalid,Medium,Admin
TS-062,V00018,Firefox,Wrong_Username,Tablet,Invalid,Low,Admin
TS-062,V00019,Safari,Wrong_Username,Desktop,Invalid,High,Admin
TS-062,V00020,Safari,Wrong_Username,Desktop,Invalid,Medium,Admin
TS-062,V00021,Safari,Wrong_Username,Desktop,Invalid,Low,Admin
TS-062,V00022,Safari,Wrong_Username,Mobile,Invalid,High,Admin
TS-062,V00023,Safari,Wrong_Username,Mobile,Invalid,Medium,Admin
TS-062,V00024,Safari,Wrong_Username,Mobile,Invalid,Low,Admin
TS-062,V00025,Safari,Wrong_Username,Tablet,Invalid,High,Admin
