Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Reset_State,User_Type
TS-063,V00001,Chrome,Desktop,High,Valid,Admin
TS-063,V00002,Chrome,Desktop,Medium,Valid,Admin
TS-063,V00003,Chrome,Desktop,Low,Valid,Admin
TS-063,V00004,Chrome,Mobile,High,Valid,Admin
TS-063,V00005,Chrome,Mobile,Medium,Valid,Admin
TS-063,V00006,Chrome,Mobile,Low,Valid,Admin
TS-063,V00007,Chrome,Tablet,High,Valid,Admin
TS-063,V00008,Chrome,Tablet,Medium,Valid,Admin
TS-063,V00009,Chrome,Tablet,Low,Valid,Admin
TS-063,V00010,Firefox,Desktop,High,Valid,Admin
TS-063,V00011,Firefox,Desktop,Medium,Valid,Admin
TS-063,V00012,Firefox,Desktop,Low,Valid,Admin
TS-063,V00013,Firefox,Mobile,High,Valid,Admin
TS-063,V00014,Firefox,Mobile,Medium,Valid,Admin
TS-063,V00015,Firefox,Mobile,Low,Valid,Admin
TS-063,V00016,Firefox,Tablet,High,Valid,Admin
TS-063,V00017,Firefox,Tablet,Medium,Valid,Admin
TS-063,V00018,Firefox,Tablet,Low,Valid,Admin
TS-063,V00019,Safari,Desktop,High,Valid,Admin
TS-063,V00020,Safari,Desktop,Medium,Valid,Admin
TS-063,V00021,Safari,Desktop,Low,Valid,Admin
TS-063,V00022,Safari,Mobile,High,Valid,Admin
TS-063,V00023,Safari,Mobile,Medium,Valid,Admin
TS-063,V00024,Safari,Mobile,Low,Valid,Admin
TS-063,V00025,Safari,Tablet,High,Valid,Admin
TS-063,V00026,Safari,Tablet,Medium,Valid,Admin
TS-063,V00027,Safari,Tablet,Low,Valid,Admin
TS-063,V00028,Edge,Desktop,High,Valid,Admin
TS-063,V00029,Edge,Desktop,Medium,Valid,Admin
TS-063,V00030,Edge,Desktop,Low,Valid,Admin
TS-063,V00031,Edge,Mobile,High,Valid,Admin
TS-063,V00032,Edge,Mobile,Medium,Valid,Admin
TS-063,V00033,Edge,Mobile,Low,Valid,Admin
TS-063,V00034,Edge,Tablet,High,Valid,Admin
TS-063,V00035,Edge,Tablet,Medium,Valid,Admin
TS-063,V00036,Edge,Tablet,Low,Valid,Admin
TS-063,V00037,Chrome,Desktop,High,Expired,Admin
TS-063,V00038,Chrome,Desktop,Medium,Expired,Admin
TS-063,V00039,Chrome,Desktop,Low,Expired,Admin
TS-063,V00040,Chrome,Mobile,High,Expired,Admin
TS-063,V00041,Chrome,Mobile,Medium,Expired,Admin
TS-063,V00042,Chrome,Mobile,Low,Expired,Admin
TS-063,V00043,Chrome,Tablet,High,Expired,Admin
TS-063,V00044,Chrome,Tablet,Medium,Expired,Admin
TS-063,V00045,Chrome,Tablet,Low,Expired,Admin
TS-063,V00046,Firefox,Desktop,High,Expired,Admin
TS-063,V00047,Firefox,Desktop,Medium,Expired,Admin
TS-063,V00048,Firefox,Desktop,Low,Expired,Admin
TS-063,V00049,Firefox,Mobile,High,Expired,Admin
TS-063,V00050,Firefox,Mobile,Medium,Expired,Admin
TS-063,V00051,Firefox,Mobile,Low,Expired,Admin
TS-063,V00052,Firefox,Tablet,High,Expired,Admin
TS-063,V00053,Firefox,Tablet,Medium,Expired,Admin
TS-063,V00054,Firefox,Tablet,Low,Expired,Admin
TS-063,V00055,Safari,Desktop,High,Expired,Admin
TS-063,V00056,Safari,Desktop,Medium,Expired,Admin
TS-063,V00057,Safari,Desktop,Low,Expired,Admin
TS-063,V00058,Safari,Mobile,High,Expired,Admin
TS-063,V00059,Safari,Mobile,Medium,Expired,Admin
TS-063,V00060,Safari,Mobile,Low,Expired,Admin
TS-063,V00061,Safari,Tablet,High,Expired,Admin
TS-063,V00062,Safari,Tablet,Medium,Expired,Admin
TS-063,V00063,Safari,Tablet,Low,Expired,Admin
TS-063,V00064,Edge,Desktop,High,Expired,Admin
TS-063,V00065,Edge,Desktop,Medium,Expired,Admin
TS-063,V00066,Edge,Desktop,Low,Expired,Admin
TS-063,V00067,Edge,Mobile,High,Expired,Admin
TS-063,V00068,Edge,Mobile,Medium,Expired,Admin
TS-063,V00069,Edge,Mobile,Low,Expired,Admin
TS-063,V00070,Edge,Tablet,High,Expired,Admin
TS-063,V00071,Edge,Tablet,Medium,Expired,Admin
TS-063,V00072,Edge,Tablet,Low,Expired,Admin
