Scenario_ID,Variant_ID,Browser,Device,Network_Speed,User_Type
TS-064,V00001,Chrome,Desktop,High,Admin
TS-064,V00002,Chrome,Desktop,Medium,Admin
TS-064,V00003,Chrome,Desktop,Low,Admin
TS-064,V00004,Chrome,Mobile,High,Admin
TS-064,V00005,Chrome,Mobile,Medium,Admin
TS-064,V00006,Chrome,Mobile,Low,Admin
TS-064,V00007,Chrome,Tablet,High,Admin
TS-064,V00008,Chrome,Tablet,Medium,Admin
TS-064,V00009,Chrome,Tablet,Low,Admin
TS-064,V00010,Firefox,Desktop,High,Admin
TS-064,V00011,Firefox,Desktop,Medium,Admin
TS-064,V00012,Firefox,Desktop,Low,Admin
TS-064,V00013,Firefox,Mobile,High,Admin
TS-064,V00014,Firefox,Mobile,Medium,Admin
TS-064,V00015,Firefox,Mobile,Low,Admin
TS-064,V00016,Firefox,Tablet,High,Admin
TS-064,V00017,Firefox,Tablet,Medium,Admin
TS-064,V00018,Firefox,Tablet,Low,Admin
TS-064,V00019,Safari,Desktop,High,Admin
TS-064,V00020,Safari,Desktop,Medium,Admin
TS-064,V00021,Safari,Desktop,Low,Admin
TS-064,V00022,Safari,Mobile,High,Admin
TS-064,V00023,Safari,Mobile,Medium,Admin
TS-064,V00024,Safari,Mobile,Low,Admin
TS-064,V00025,Safari,Tablet,High,Admin
TS-064,V00026,Safari,Tablet,Medium,Admin
TS-064,V00027,Safari,Tablet,Low,Admin
TS-064,V00028,Edge,Desktop,High,Admin
TS-064,V00029,Edge,Desktop,Medium,Admin
TS-064,V00030,Edge,Desktop,Low,Admin
TS-064,V00031,Edge,Mobile,High,Admin
TS-064,V00032,Edge,Mobile,Medium,Admin
TS-064,V00033,Edge,Mobile,Low,Admin
TS-064,V00034,Edge,Tablet,High,Admin
TS-064,V00035,Edge,Tablet,Medium,Admin
TS-064,V00036,Edge,Tablet,Low,Admin
