Scenario_ID,Variant_ID,Browser,Buyer_Filter,Device,Network_Speed,User_Type
TS-065,V00001,Chrome,All,Desktop,High,Admin
TS-065,V00002,Chrome,All,Desktop,Medium,Admin
TS-065,V00003,Chrome,All,Desktop,Low,Admin
TS-065,V00004,Chrome,All,Mobile,High,Admin
TS-065,V00005,Chrome,All,Mobile,Medium,Admin
TS-065,V00006,Chrome,All,Mobile,Low,Admin
TS-065,V00007,Chrome,All,Tablet,High,Admin
TS-065,V00008,Chrome,All,Tablet,Medium,Admin
TS-065,V00009,Chrome,All,Tablet,Low,Admin
TS-065,V00010,Firefox,All,Desktop,High,Admin
TS-065,V00011,Firefox,All,Desktop,Medium,Admin
TS-065,V00012,Firefox,All,Desktop,Low,Admin
TS-065,V00013,Firefox,All,Mobile,High,Admin
TS-065,V00014,Firefox,All,Mobile,Medium,Admin
TS-065,V00015,Firefox,All,Mobile,Low,Admin
TS-065,V00016,Firefox,All,Tablet,High,Admin
TS-065,V00017,Firefox,All,Tablet,Medium,Admin
TS-065,V00018,Firefox,All,Tablet,Low,Admin
TS-065,V00019,Safari,All,Desktop,High,Admin
TS-065,V00020,Safari,All,Desktop,Medium,Admin
TS-065,V00021,Safari,All,Desktop,Low,Admin
TS-065,V00022,Safari,All,Mobile,High,Admin
TS-065,V00023,Safari,All,Mobile,Medium,Admin
TS-065,V00024,Safari,All,Mobile,Low,Admin
TS-065,V00025,Safari,All,Tablet,High,Admin
TS-065,V00026,Safari,All,Tablet,Medium,Admin
TS-065,V00027,Safari,All,Tablet,Low,Admin
TS-065,V00028,Edge,All,Desktop,High,Admin
TS-065,V00029,Edge,All,Desktop,Medium,Admin
TS-065,V00030,Edge,All,Desktop,Low,Admin
TS-065,V00031,Edge,All,Mobile,High,Admin
TS-065,V00032,Edge,All,Mobile,Medium,Admin
TS-065,V00033,Edge,All,Mobile,Low,Admin
TS-065,V00034,Edge,All,Tablet,High,Admin
TS-065,V00035,Edge,All,Tablet,Medium,Admin
TS-065,V00036,Edge,All,Tablet,Low,Admin
TS-065,V00037,Chrome,Active,Desktop,High,Admin
TS-065,V00038,Chrome,Active,Desktop,Medium,Admin
TS-065,V00039,Chrome,Active,Desktop,Low,Admin
TS-065,V00040,Chrome,Active,Mobile,High,Admin
TS-065,V00041,Chrome,Active,Mobile,Medium,Admin
TS-065,V00042,Chrome,Active,Mobile,Low,Admin
TS-065,V00043,Chrome,Active,Tablet,High,Admin
TS-065,V00044,Chrome,Active,Tablet,Medium,Admin
TS-065,V00045,Chrome,Active,Tablet,Low,Admin
TS-065,V00046,Firefox,Active,Desktop,High,Admin
TS-065,V00047,Firefox,Active,Desktop,Medium,Admin
TS-065,V00048,Firefox,Active,Desktop,Low,Admin
TS-065,V00049,Firefox,Active,Mobile,High,Admin
TS-065,V00050,Firefox,Active,Mobile,Medium,Admin
TS-065,V00051,Firefox,Active,Mobile,Low,Admin
TS-065,V00052,Firefox,Active,Tablet,High,Admin
TS-065,V00053,Firefox,Active,Tablet,Medium,Admin
TS-065,V00054,Firefox,Active,Tablet,Low,Admin
TS-065,V00055,Safari,Active,Desktop,High,Admin
TS-065,V00056,Safari,Active,Desktop,Medium,Admin
TS-065,V00057,Safari,Active,Desktop,Low,Admin
TS-065,V00058,Safari,Active,Mobile,High,Admin
TS-065,V00059,Safari,Active,Mobile,Medium,Admin
TS-065,V00060,Safari,Active,Mobile,Low,Admin
TS-065,V00061,Safari,Active,Tablet,High,Admin
TS-065,V00062,Safari,Active,Tablet,Medium,Admin
TS-065,V00063,Safari,Active,Tablet,Low,Admin
TS-065,V00064,Edge,Active,Desktop,High,Admin
TS-065,V00065,Edge,Active,Desktop,Medium,Admin
TS-065,V00066,Edge,Active,Desktop,Low,Admin
TS-065,V00067,Edge,Active,Mobile,High,Admin
TS-065,V00068,Edge,Active,Mobile,Medium,Admin
TS-065,V00069,Edge,Active,Mobile,Low,Admin
TS-065,V00070,Edge,Active,Tablet,High,Admin
TS-065,V00071,Edge,Active,Tablet,Medium,Admin
TS-065,V00072,Edge,Active,Tablet,Low,Admin
TS-065,V00073,Chrome,Inactive,Desktop,High,Admin
TS-065,V00074,Chrome,Inactive,Desktop,Medium,Admin
TS-065,V00075,Chrome,Inactive,Desktop,Low,Admin
TS-065,V00076,Chrome,Inactive,Mobile,High,Admin
TS-065,V00077,Chrome,Inactive,Mobile,Medium,Admin
TS-065,V00078,Chrome,Inactive,Mobile,Low,Admin
