Scenario_ID,Variant_ID,Browser,Buyer_Status,Device,Network_Speed,User_Type
TS-066,V00001,Chrome,Active,Desktop,High,Admin
TS-066,V00002,Chrome,Active,Desktop,Medium,Admin
TS-066,V00003,Chrome,Active,Desktop,Low,Admin
TS-066,V00004,Chrome,Active,Mobile,High,Admin
TS-066,V00005,Chrome,Active,Mobile,Medium,Admin
TS-066,V00006,Chrome,Active,Mobile,Low,Admin
TS-066,V00007,Chrome,Active,Tablet,High,Admin
TS-066,V00008,Chrome,Active,Tablet,Medium,Admin
TS-066,V00009,Chrome,Active,Tablet,Low,Admin
TS-066,V00010,Firefox,Active,Desktop,High,Admin
TS-066,V00011,Firefox,Active,Desktop,Medium,Admin
TS-066,V00012,Firefox,Active,Desktop,Low,Admin
TS-066,V00013,Firefox,Active,Mobile,High,Admin
TS-066,V00014,Firefox,Active,Mobile,Medium,Admin
TS-066,V00015,Firefox,Active,Mobile,Low,Admin
TS-066,V00016,Firefox,Active,Tablet,High,Admin
TS-066,V00017,Firefox,Active,Tablet,Medium,Admin
TS-066,V00018,Firefox,Active,Tablet,Low,Admin
TS-066,V00019,Safari,Active,Desktop,High,Admin
TS-066,V00020,Safari,Active,Desktop,Medium,Admin
TS-066,V00021,Safari,Active,Desktop,Low,Admin
TS-066,V00022,Safari,Active,Mobile,High,Admin
TS-066,V00023,Safari,Active,Mobile,Medium,Admin
TS-066,V00024,Safari,Active,Mobile,Low,Admin
TS-066,V00025,Safari,Active,Tablet,High,Admin
TS-066,V00026,Safari,Active,Tablet,Medium,Admin
TS-066,V00027,Safari,Active,Tablet,Low,Admin
TS-066,V00028,Edge,Active,Desktop,High,Admin
TS-066,V00029,Edge,Active,Desktop,Medium,Admin
TS-066,V00030,Edge,Active,Desktop,Low,Admin
TS-066,V00031,Edge,Active,Mobile,High,Admin
TS-066,V00032,Edge,Active,Mobile,Medium,Admin
TS-066,V00033,Edge,Active,Mobile,Low,Admin
TS-066,V00034,Edge,Active,Tablet,High,Admin
TS-066,V00035,Edge,Active,Tablet,Medium,Admin
TS-066,V00036,Edge,Active,Tablet,Low,Admin
TS-066,V00037,Chrome,Inactive,Desktop,High,Admin
TS-066,V00038,Chrome,Inactive,Desktop,Medium,Admin
TS-066,V00039,Chrome,Inactive,Desktop,Low,Admin
TS-066,V00040,Chrome,Inactive,Mobile,High,Admin
TS-066,V00041,Chrome,Inactive,Mobile,Medium,Admin
TS-066,V00042,Chrome,Inactive,Mobile,Low,Admin
TS-066,V00043,Chrome,Inactive,Tablet,High,Admin
TS-066,V00044,Chrome,Inactive,Tablet,Medium,Admin
TS-066,V00045,Chrome,Inactive,Tablet,Low,Admin
TS-066,V00046,Firefox,Inactive,Desktop,High,Admin
TS-066,V00047,Firefox,Inactive,Desktop,Medium,Admin
TS-066,V00048,Firefox,Inactive,Desktop,Low,Admin
TS-066,V00049,Firefox,Inactive,Mobile,High,Admin
TS-066,V00050,Firefox,Inactive,Mobile,Medium,Admin
TS-066,V00051,Firefox,Inactive,Mobile,Low,Admin
TS-066,V00052,Firefox,Inactive,Tablet,High,Admin
TS-066,V00053,Firefox,Inactive,Tablet,Medium,Admin
TS-066,V00054,Firefox,Inactive,Tablet,Low,Admin
TS-066,V00055,Safari,Inactive,Desktop,High,Admin
TS-066,V00056,Safari,Inactive,Desktop,Medium,Admin
TS-066,V00057,Safari,Inactive,Desktop,Low,Admin
TS-066,V00058,Safari,Inactive,Mobile,High,Admin
TS-066,V00059,Safari,Inactive,Mobile,Medium,Admin
TS-066,V00060,Safari,Inactive,Mobile,Low,Admin
TS-066,V00061,Safari,Inactive,Tablet,High,Admin
TS-066,V00062,Safari,Inactive,Tablet,Medium,Admin
TS-066,V00063,Safari,Inactive,Tablet,Low,Admin
TS-066,V00064,Edge,Inactive,Desktop,High,Admin
TS-066,V00065,Edge,Inactive,Desktop,Medium,Admin
TS-066,V00066,Edge,Inactive,Desktop,Low,Admin
TS-066,V00067,Edge,Inactive,Mobile,High,Admin
TS-066,V00068,Edge,Inactive,Mobile,Medium,Admin
TS-066,V00069,Edge,Inactive,Mobile,Low,Admin
TS-066,V00070,Edge,Inactive,Tablet,High,Admin
TS-066,V00071,Edge,Inactive,Tablet,Medium,Admin
TS-066,V00072,Edge,Inactive,Tablet,Low,Admin
TS-066,V00073,Chrome,Has_Orders,Desktop,High,Admin
TS-066,V00074,Chrome,Has_Orders,Desktop,Medium,Admin
TS-066,V00075,Chrome,Has_Orders,Desktop,Low,Admin
TS-066,V00076,Chrome,Has_Orders,Mobile,High,Admin
TS-066,V00077,Chrome,Has_Orders,Mobile,Medium,Admin
TS-066,V00078,Chrome,Has_Orders,Mobile,Low,Admin
TS-066,V00079,Chrome,Has_Orders,Tablet,High,Admin
TS-066,V00080,Chrome,Has_Orders,Tablet,Medium,Admin
TS-066,V00081,Chrome,Has_Orders,Tablet,Low,Admin
TS-066,V00082,Firefox,Has_Orders,Desktop,High,Admin
TS-066,V00083,Firefox,Has_Orders,Desktop,Medium,Admin
TS-066,V00084,Firefox,Has_Orders,Desktop,Low,Admin
TS-066,V00085,Firefox,Has_Orders,Mobile,High,Admin
TS-066,V00086,Firefox,Has_Orders,Mobile,Medium,Admin
TS-066,V00087,Firefox,Has_Orders,Mobile,Low,Admin
TS-066,V00088,Firefox,Has_Orders,Tablet,High,Admin
TS-066,V00089,Firefox,Has_Orders,Tablet,Medium,Admin
TS-066,V00090,Firefox,Has_Orders,Tablet,Low,Admin
TS-066,V00091,Safari,Has_Orders,Desktop,High,Admin
TS-066,V00092,Safari,Has_Orders,Desktop,Medium,Admin
TS-066,V00093,Safari,Has_Orders,Desktop,Low,Admin
TS-066,V00094,Safari,Has_Orders,Mobile,High,Admin
TS-066,V00095,Safari,Has_Orders,Mobile,Medium,Admin
TS-066,V00096,Safari,Has_Orders,Mobile,Low,Admin
TS-066,V00097,Safari,Has_Orders,Tablet,High,Admin
