Scenario_ID,Variant_ID,Browser,Device,Edit_Field,Network_Speed,User_Type
TS-067,V00001,Chrome,Desktop,Name,High,Admin
TS-067,V00002,Chrome,Desktop,Name,Medium,Admin
TS-067,V00003,Chrome,Desktop,Name,Low,Admin
TS-067,V00004,Chrome,Mobile,Name,High,Admin
TS-067,V00005,Chrome,Mobile,Name,Medium,Admin
TS-067,V00006,Chrome,Mobile,Name,Low,Admin
TS-067,V00007,Chrome,Tablet,Name,High,Admin
TS-067,V00008,Chrome,Tablet,Name,Medium,Admin
TS-067,V00009,Chrome,Tablet,Name,Low,Admin
TS-067,V00010,Firefox,Desktop,Name,High,Admin
TS-067,V00011,Firefox,Desktop,Name,Medium,Admin
TS-067,V00012,Firefox,Desktop,Name,Low,Admin
TS-067,V00013,Firefox,Mobile,Name,High,Admin
TS-067,V00014,Firefox,Mobile,Name,Medium,Admin
TS-067,V00015,Firefox,Mobile,Name,Low,Admin
TS-067,V00016,Firefox,Tablet,Name,High,Admin
TS-067,V00017,Firefox,Tablet,Name,Medium,Admin
TS-067,V00018,Firefox,Tablet,Name,Low,Admin
TS-067,V00019,Safari,Desktop,Name,High,Admin
TS-067,V00020,Safari,Desktop,Name,Medium,Admin
TS-067,V00021,Safari,Desktop,Name,Low,Admin
TS-067,V00022,Safari,Mobile,Name,High,Admin
TS-067,V00023,Safari,Mobile,Name,Medium,Admin
TS-067,V00024,Safari,Mobile,Name,Low,Admin
TS-067,V00025,Safari,Tablet,Name,High,Admin
TS-067,V00026,Safari,Tablet,Name,Medium,Admin
TS-067,V00027,Safari,Tablet,Name,Low,Admin
TS-067,V00028,Edge,Desktop,Name,High,Admin
TS-067,V00029,Edge,Desktop,Name,Medium,Admin
TS-067,V00030,Edge,Desktop,Name,Low,Admin
TS-067,V00031,Edge,Mobile,Name,High,Admin
TS-067,V00032,Edge,Mobile,Name,Medium,Admin
TS-067,V00033,Edge,Mobile,Name,Low,Admin
TS-067,V00034,Edge,Tablet,Name,High,Admin
TS-067,V00035,Edge,Tablet,Name,Medium,Admin
