Scenario_ID,Variant_ID,Browser,Buyer_Status,Device,Network_Speed,User_Type
TS-069,V00001,Chrome,Inactive,Desktop,High,Admin
TS-069,V00002,Chrome,Inactive,Desktop,Medium,Admin
TS-069,V00003,Chrome,Inactive,Desktop,Low,Admin
TS-069,V00004,Chrome,Inactive,Mobile,High,Admin
TS-069,V00005,Chrome,Inactive,Mobile,Medium,Admin
TS-069,V00006,Chrome,Inactive,Mobile,Low,Admin
TS-069,V00007,Chrome,Inactive,Tablet,High,Admin
TS-069,V00008,Chrome,Inactive,Tablet,Medium,Admin
TS-069,V00009,Chrome,Inactive,Tablet,Low,Admin
TS-069,V00010,Firefox,Inactive,Desktop,High,Admin
TS-069,V00011,Firefox,Inactive,Desktop,Medium,Admin
TS-069,V00012,Firefox,Inactive,Desktop,Low,Admin
TS-069,V00013,Firefox,Inactive,Mobile,High,Admin
TS-069,V00014,Firefox,Inactive,Mobile,Medium,Admin
TS-069,V00015,Firefox,Inactive,Mobile,Low,Admin
TS-069,V00016,Firefox,Inactive,Tablet,High,Admin
TS-069,V00017,Firefox,Inactive,Tablet,Medium,Admin
TS-069,V00018,Firefox,Inactive,Tablet,Low,Admin
TS-069,V00019,Safari,Inactive,Desktop,High,Admin
TS-069,V00020,Safari,Inactive,Desktop,Medium,Admin
TS-069,V00021,Safari,Inactive,Desktop,Low,Admin
TS-069,V00022,Safari,Inactive,Mobile,High,Admin
TS-069,V00023,Safari,Inactive,Mobile,Medium,Admin
TS-069,V00024,Safari,Inactive,Mobile,Low,Admin
TS-069,V00025,Safari,Inactive,Tablet,High,Admin
TS-069,V00026,Safari,Inactive,Tablet,Medium,Admin
TS-069,V00027,Safari,Inactive,Tablet,Low,Admin
TS-069,V00028,Edge,Inactive,Desktop,High,Admin
TS-069,V00029,Edge,Inactive,Desktop,Medium,Admin
TS-069,V00030,Edge,Inactive,Desktop,Low,Admin
TS-069,V00031,Edge,Inactive,Mobile,High,Admin
TS-069,V00032,Edge,Inactive,Mobile,Medium,Admin
TS-069,V00033,Edge,Inactive,Mobile,Low,Admin
TS-069,V00034,Edge,Inactive,Tablet,High,Admin
TS-069,V00035,Edge,Inactive,Tablet,Medium,Admin
TS-069,V00036,Edge,Inactive,Tablet,Low,Admin
