Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Filter,User_Type
TS-070,V00001,Chrome,Desktop,High,All,Admin
TS-070,V00002,Chrome,Desktop,Medium,All,Admin
TS-070,V00003,Chrome,Desktop,Low,All,Admin
TS-070,V00004,Chrome,Mobile,High,All,Admin
TS-070,V00005,Chrome,Mobile,Medium,All,Admin
TS-070,V00006,Chrome,Mobile,Low,All,Admin
TS-070,V00007,Chrome,Tablet,High,All,Admin
TS-070,V00008,Chrome,Tablet,Medium,All,Admin
TS-070,V00009,Chrome,Tablet,Low,All,Admin
TS-070,V00010,Firefox,Desktop,High,All,Admin
TS-070,V00011,Firefox,Desktop,Medium,All,Admin
TS-070,V00012,Firefox,Desktop,Low,All,Admin
TS-070,V00013,Firefox,Mobile,High,All,Admin
TS-070,V00014,Firefox,Mobile,Medium,All,Admin
TS-070,V00015,Firefox,Mobile,Low,All,Admin
TS-070,V00016,Firefox,Tablet,High,All,Admin
TS-070,V00017,Firefox,Tablet,Medium,All,Admin
TS-070,V00018,Firefox,Tablet,Low,All,Admin
TS-070,V00019,Safari,Desktop,High,All,Admin
TS-070,V00020,Safari,Desktop,Medium,All,Admin
TS-070,V00021,Safari,Desktop,Low,All,Admin
TS-070,V00022,Safari,Mobile,High,All,Admin
TS-070,V00023,Safari,Mobile,Medium,All,Admin
TS-070,V00024,Safari,Mobile,Low,All,Admin
TS-070,V00025,Safari,Tablet,High,All,Admin
TS-070,V00026,Safari,Tablet,Medium,All,Admin
TS-070,V00027,Safari,Tablet,Low,All,Admin
TS-070,V00028,Edge,Desktop,High,All,Admin
TS-070,V00029,Edge,Desktop,Medium,All,Admin
TS-070,V00030,Edge,Desktop,Low,All,Admin
TS-070,V00031,Edge,Mobile,High,All,Admin
TS-070,V00032,Edge,Mobile,Medium,All,Admin
TS-070,V00033,Edge,Mobile,Low,All,Admin
TS-070,V00034,Edge,Tablet,High,All,Admin
TS-070,V00035,Edge,Tablet,Medium,All,Admin
TS-070,V00036,Edge,Tablet,Low,All,Admin
TS-070,V00037,Chrome,Desktop,High,By_Status,Admin
TS-070,V00038,Chrome,Desktop,Medium,By_Status,Admin
TS-070,V00039,Chrome,Desktop,Low,By_Status,Admin
TS-070,V00040,Chrome,Mobile,High,By_Status,Admin
TS-070,V00041,Chrome,Mobile,Medium,By_Status,Admin
TS-070,V00042,Chrome,Mobile,Low,By_Status,Admin
TS-070,V00043,Chrome,Tablet,High,By_Status,Admin
TS-070,V00044,Chrome,Tablet,Medium,By_Status,Admin
TS-070,V00045,Chrome,Tablet,Low,By_Status,Admin
TS-070,V00046,Firefox,Desktop,High,By_Status,Admin
TS-070,V00047,Firefox,Desktop,Medium,By_Status,Admin
TS-070,V00048,Firefox,Desktop,Low,By_Status,Admin
TS-070,V00049,Firefox,Mobile,High,By_Status,Admin
TS-070,V00050,Firefox,Mobile,Medium,By_Status,Admin
TS-070,V00051,Firefox,Mobile,Low,By_Status,Admin
TS-070,V00052,Firefox,Tablet,High,By_Status,Admin
TS-070,V00053,Firefox,Tablet,Medium,By_Status,Admin
TS-070,V00054,Firefox,Tablet,Low,By_Status,Admin
TS-070,V00055,Safari,Desktop,High,By_Status,Admin
TS-070,V00056,Safari,Desktop,Medium,By_Status,Admin
TS-070,V00057,Safari,Desktop,Low,By_Status,Admin
TS-070,V00058,Safari,Mobile,High,By_Status,Admin
TS-070,V00059,Safari,Mobile,Medium,By_Status,Admin
TS-070,V00060,Safari,Mobile,Low,By_Status,Admin
TS-070,V00061,Safari,Tablet,High,By_Status,Admin
TS-070,V00062,Safari,Tablet,Medium,By_Status,Admin
TS-070,V00063,Safari,Tablet,Low,By_Status,Admin
TS-070,V00064,Edge,Desktop,High,By_Status,Admin
TS-070,V00065,Edge,Desktop,Medium,By_Status,Admin
TS-070,V00066,Edge,Desktop,Low,By_Status,Admin
TS-070,V00067,Edge,Mobile,High,By_Status,Admin
TS-070,V00068,Edge,Mobile,Medium,By_Status,Admin
TS-070,V00069,Edge,Mobile,Low,By_Status,Admin
TS-070,V00070,Edge,Tablet,High,By_Status,Admin
TS-070,V00071,Edge,Tablet,Medium,By_Status,Admin
TS-070,V00072,Edge,Tablet,Low,By_Status,Admin
TS-070,V00073,Chrome,Desktop,High,By_Date,Admin
TS-070,V00074,Chrome,Desktop,Medium,By_Date,Admin
TS-070,V00075,Chrome,Desktop,Low,By_Date,Admin
TS-070,V00076,Chrome,Mobile,High,By_Date,Admin
TS-070,V00077,Chrome,Mobile,Medium,By_Date,Admin
TS-070,V00078,Chrome,Mobile,Low,By_Date,Admin
TS-070,V00079,Chrome,Tablet,High,By_Date,Admin
TS-070,V00080,Chrome,Tablet,Medium,By_Date,Admin
TS-070,V00081,Chrome,Tablet,Low,By_Date,Admin
TS-070,V00082,Firefox,Desktop,High,By_Date,Admin
TS-070,V00083,Firefox,Desktop,Medium,By_Date,Admin
TS-070,V00084,Firefox,Desktop,Low,By_Date,Admin
TS-070,V00085,Firefox,Mobile,High,By_Date,Admin
TS-070,V00086,Firefox,Mobile,Medium,By_Date,Admin
TS-070,V00087,Firefox,Mobile,Low,By_Date,Admin
TS-070,V00088,Firefox,Tablet,High,By_Date,Admin
TS-070,V00089,Firefox,Tablet,Medium,By_Date,Admin
