Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Status,User_Type
TS-071,V00001,Chrome,Desktop,High,Open,Admin
TS-071,V00002,Chrome,Desktop,Medium,Open,Admin
TS-071,V00003,Chrome,Desktop,Low,Open,Admin
TS-071,V00004,Chrome,Mobile,High,Open,Admin
TS-071,V00005,Chrome,Mobile,Medium,Open,Admin
TS-071,V00006,Chrome,Mobile,Low,Open,Admin
TS-071,V00007,Chrome,Tablet,High,Open,Admin
TS-071,V00008,Chrome,Tablet,Medium,Open,Admin
TS-071,V00009,Chrome,Tablet,Low,Open,Admin
TS-071,V00010,Firefox,Desktop,High,Open,Admin
TS-071,V00011,Firefox,Desktop,Medium,Open,Admin
TS-071,V00012,Firefox,Desktop,Low,Open,Admin
TS-071,V00013,Firefox,Mobile,High,Open,Admin
TS-071,V00014,Firefox,Mobile,Medium,Open,Admin
TS-071,V00015,Firefox,Mobile,Low,Open,Admin
TS-071,V00016,Firefox,Tablet,High,Open,Admin
TS-071,V00017,Firefox,Tablet,Medium,Open,Admin
TS-071,V00018,Firefox,Tablet,Low,Open,Admin
TS-071,V00019,Safari,Desktop,High,Open,Admin
TS-071,V00020,Safari,Desktop,Medium,Open,Admin
TS-071,V00021,Safari,Desktop,Low,Open,Admin
TS-071,V00022,Safari,Mobile,High,Open,Admin
TS-071,V00023,Safari,Mobile,Medium,Open,Admin
TS-071,V00024,Safari,Mobile,Low,Open,Admin
TS-071,V00025,Safari,Tablet,High,Open,Admin
TS-071,V00026,Safari,Tablet,Medium,Open,Admin
TS-071,V00027,Safari,Tablet,Low,Open,Admin
TS-071,V00028,Edge,Desktop,High,Open,Admin
TS-071,V00029,Edge,Desktop,Medium,Open,Admin
TS-071,V00030,Edge,Desktop,Low,Open,Admin
TS-071,V00031,Edge,Mobile,High,Open,Admin
TS-071,V00032,Edge,Mobile,Medium,Open,Admin
TS-071,V00033,Edge,Mobile,Low,Open,Admin
TS-071,V00034,Edge,Tablet,High,Open,Admin
TS-071,V00035,Edge,Tablet,Medium,Open,Admin
TS-071,V00036,Edge,Tablet,Low,Open,Admin
