Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Details,User_Type
TS-072,V00001,Chrome,Desktop,High,Basic,Admin
TS-072,V00002,Chrome,Desktop,Medium,Basic,Admin
TS-072,V00003,Chrome,Desktop,Low,Basic,Admin
TS-072,V00004,Chrome,Mobile,High,Basic,Admin
TS-072,V00005,Chrome,Mobile,Medium,Basic,Admin
TS-072,V00006,Chrome,Mobile,Low,Basic,Admin
TS-072,V00007,Chrome,Tablet,High,Basic,Admin
TS-072,V00008,Chrome,Tablet,Medium,Basic,Admin
TS-072,V00009,Chrome,Tablet,Low,Basic,Admin
TS-072,V00010,Firefox,Desktop,High,Basic,Admin
TS-072,V00011,Firefox,Desktop,Medium,Basic,Admin
TS-072,V00012,Firefox,Desktop,Low,Basic,Admin
TS-072,V00013,Firefox,Mobile,High,Basic,Admin
TS-072,V00014,Firefox,Mobile,Medium,Basic,Admin
TS-072,V00015,Firefox,Mobile,Low,Basic,Admin
TS-072,V00016,Firefox,Tablet,High,Basic,Admin
TS-072,V00017,Firefox,Tablet,Medium,Basic,Admin
TS-072,V00018,Firefox,Tablet,Low,Basic,Admin
TS-072,V00019,Safari,Desktop,High,Basic,Admin
TS-072,V00020,Safari,Desktop,Medium,Basic,Admin
TS-072,V00021,Safari,Desktop,Low,Basic,Admin
TS-072,V00022,Safari,Mobile,High,Basic,Admin
TS-072,V00023,Safari,Mobile,Medium,Basic,Admin
TS-072,V00024,Safari,Mobile,Low,Basic,Admin
TS-072,V00025,Safari,Tablet,High,Basic,Admin
TS-072,V00026,Safari,Tablet,Medium,Basic,Admin
TS-072,V00027,Safari,Tablet,Low,Basic,Admin
TS-072,V00028,Edge,Desktop,High,Basic,Admin
TS-072,V00029,Edge,Desktop,Medium,Basic,Admin
TS-072,V00030,Edge,Desktop,Low,Basic,Admin
TS-072,V00031,Edge,Mobile,High,Basic,Admin
TS-072,V00032,Edge,Mobile,Medium,Basic,Admin
TS-072,V00033,Edge,Mobile,Low,Basic,Admin
TS-072,V00034,Edge,Tablet,High,Basic,Admin
TS-072,V00035,Edge,Tablet,Medium,Basic,Admin
TS-072,V00036,Edge,Tablet,Low,Basic,Admin
TS-072,V00037,Chrome,Desktop,High,With_Items,Admin
TS-072,V00038,Chrome,Desktop,Medium,With_Items,Admin
TS-072,V00039,Chrome,Desktop,Low,With_Items,Admin
TS-072,V00040,Chrome,Mobile,High,With_Items,Admin
TS-072,V00041,Chrome,Mobile,Medium,With_Items,Admin
TS-072,V00042,Chrome,Mobile,Low,With_Items,Admin
TS-072,V00043,Chrome,Tablet,High,With_Items,Admin
TS-072,V00044,Chrome,Tablet,Medium,With_Items,Admin
TS-072,V00045,Chrome,Tablet,Low,With_Items,Admin
TS-072,V00046,Firefox,Desktop,High,With_Items,Admin
TS-072,V00047,Firefox,Desktop,Medium,With_Items,Admin
TS-072,V00048,Firefox,Desktop,Low,With_Items,Admin
TS-072,V00049,Firefox,Mobile,High,With_Items,Admin
TS-072,V00050,Firefox,Mobile,Medium,With_Items,Admin
TS-072,V00051,Firefox,Mobile,Low,With_Items,Admin
TS-072,V00052,Firefox,Tablet,High,With_Items,Admin
TS-072,V00053,Firefox,Tablet,Medium,With_Items,Admin
TS-072,V00054,Firefox,Tablet,Low,With_Items,Admin
TS-072,V00055,Safari,Desktop,High,With_Items,Admin
TS-072,V00056,Safari,Desktop,Medium,With_Items,Admin
TS-072,V00057,Safari,Desktop,Low,With_Items,Admin
TS-072,V00058,Safari,Mobile,High,With_Items,Admin
TS-072,V00059,Safari,Mobile,Medium,With_Items,Admin
TS-072,V00060,Safari,Mobile,Low,With_Items,Admin
TS-072,V00061,Safari,Tablet,High,With_Items,Admin
TS-072,V00062,Safari,Tablet,Medium,With_Items,Admin
TS-072,V00063,Safari,Tablet,Low,With_Items,Admin
TS-072,V00064,Edge,Desktop,High,With_Items,Admin
TS-072,V00065,Edge,Desktop,Medium,With_Items,Admin
TS-072,V00066,Edge,Desktop,Low,With_Items,Admin
TS-072,V00067,Edge,Mobile,High,With_Items,Admin
TS-072,V00068,Edge,Mobile,Medium,With_Items,Admin
TS-072,V00069,Edge,Mobile,Low,With_Items,Admin
TS-072,V00070,Edge,Tablet,High,With_Items,Admin
TS-072,V00071,Edge,Tablet,Medium,With_Items,Admin
TS-072,V00072,Edge,Tablet,Low,With_Items,Admin
TS-072,V00073,Chrome,Desktop,High,With_Payment,Admin
TS-072,V00074,Chrome,Desktop,Medium,With_Payment,Admin
TS-072,V00075,Chrome,Desktop,Low,With_Payment,Admin
TS-072,V00076,Chrome,Mobile,High,With_Payment,Admin
TS-072,V00077,Chrome,Mobile,Medium,With_Payment,Admin
TS-072,V00078,Chrome,Mobile,Low,With_Payment,Admin
TS-072,V00079,Chrome,Tablet,High,With_Payment,Admin
TS-072,V00080,Chrome,Tablet,Medium,With_Payment,Admin
TS-072,V00081,Chrome,Tablet,Low,With_Payment,Admin
TS-072,V00082,Firefox,Desktop,High,With_Payment,Admin
TS-072,V00083,Firefox,Desktop,Medium,With_Payment,Admin
TS-072,V00084,Firefox,Desktop,Low,With_Payment,Admin
TS-072,V00085,Firefox,Mobile,High,With_Payment,Admin
TS-072,V00086,Firefox,Mobile,Medium,With_Payment,Admin
TS-072,V00087,Firefox,Mobile,Low,With_Payment,Admin
TS-072,V00088,Firefox,Tablet,High,With_Payment,Admin
TS-072,V00089,Firefox,Tablet,Medium,With_Payment,Admin
