Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Status_Change,User_Type
TS-073,V00001,Chrome,Desktop,High,Open_To_Confirmed,Admin
TS-073,V00002,Chrome,Desktop,Medium,Open_To_Confirmed,Admin
TS-073,V00003,Chrome,Desktop,Low,Open_To_Confirmed,Admin
TS-073,V00004,Chrome,Mobile,High,Open_To_Confirmed,Admin
TS-073,V00005,Chrome,Mobile,Medium,Open_To_Confirmed,Admin
TS-073,V00006,Chrome,Mobile,Low,Open_To_Confirmed,Admin
TS-073,V00007,Chrome,Tablet,High,Open_To_Confirmed,Admin
TS-073,V00008,Chrome,Tablet,Medium,Open_To_Confirmed,Admin
TS-073,V00009,Chrome,Tablet,Low,Open_To_Confirmed,Admin
TS-073,V00010,Firefox,Desktop,High,Open_To_Confirmed,Admin
TS-073,V00011,Firefox,Desktop,Medium,Open_To_Confirmed,Admin
TS-073,V00012,Firefox,Desktop,Low,Open_To_Confirmed,Admin
TS-073,V00013,Firefox,Mobile,High,Open_To_Confirmed,Admin
TS-073,V00014,Firefox,Mobile,Medium,Open_To_Confirmed,Admin
TS-073,V00015,Firefox,Mobile,Low,Open_To_Confirmed,Admin
TS-073,V00016,Firefox,Tablet,High,Open_To_Confirmed,Admin
TS-073,V00017,Firefox,Tablet,Medium,Open_To_Confirmed,Admin
TS-073,V00018,Firefox,Tablet,Low,Open_To_Confirmed,Admin
TS-073,V00019,Safari,Desktop,High,Open_To_Confirmed,Admin
TS-073,V00020,Safari,Desktop,Medium,Open_To_Confirmed,Admin
TS-073,V00021,Safari,Desktop,Low,Open_To_Confirmed,Admin
TS-073,V00022,Safari,Mobile,High,Open_To_Confirmed,Admin
TS-073,V00023,Safari,Mobile,Medium,Open_To_Confirmed,Admin
TS-073,V00024,Safari,Mobile,Low,Open_To_Confirmed,Admin
TS-073,V00025,Safari,Tablet,High,Open_To_Confirmed,Admin
TS-073,V00026,Safari,Tablet,Medium,Open_To_Confirmed,Admin
TS-073,V00027,Safari,Tablet,Low,Open_To_Confirmed,Admin
TS-073,V00028,Edge,Desktop,High,Open_To_Confirmed,Admin
TS-073,V00029,Edge,Desktop,Medium,Open_To_Confirmed,Admin
TS-073,V00030,Edge,Desktop,Low,Open_To_Confirmed,Admin
TS-073,V00031,Edge,Mobile,High,Open_To_Confirmed,Admin
TS-073,V00032,Edge,Mobile,Medium,Open_To_Confirmed,Admin
TS-073,V00033,Edge,Mobile,Low,Open_To_Confirmed,Admin
TS-073,V00034,Edge,Tablet,High,Open_To_Confirmed,Admin
TS-073,V00035,Edge,Tablet,Medium,Open_To_Confirmed,Admin
TS-073,V00036,Edge,Tablet,Low,Open_To_Confirmed,Admin
