Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Status_Change,User_Type
TS-074,V00001,Chrome,Desktop,High,Confirmed_To_InProcess,Admin
TS-074,V00002,Chrome,Desktop,Medium,Confirmed_To_InProcess,Admin
TS-074,V00003,Chrome,Desktop,Low,Confirmed_To_InProcess,Admin
TS-074,V00004,Chrome,Mobile,High,Confirmed_To_InProcess,Admin
TS-074,V00005,Chrome,Mobile,Medium,Confirmed_To_InProcess,Admin
TS-074,V00006,Chrome,Mobile,Low,Confirmed_To_InProcess,Admin
TS-074,V00007,Chrome,Tablet,High,Confirmed_To_InProcess,Admin
TS-074,V00008,Chrome,Tablet,Medium,Confirmed_To_InProcess,Admin
TS-074,V00009,Chrome,Tablet,Low,Confirmed_To_InProcess,Admin
TS-074,V00010,Firefox,Desktop,High,Confirmed_To_InProcess,Admin
TS-074,V00011,Firefox,Desktop,Medium,Confirmed_To_InProcess,Admin
TS-074,V00012,Firefox,Desktop,Low,Confirmed_To_InProcess,Admin
TS-074,V00013,Firefox,Mobile,High,Confirmed_To_InProcess,Admin
TS-074,V00014,Firefox,Mobile,Medium,Confirmed_To_InProcess,Admin
TS-074,V00015,Firefox,Mobile,Low,Confirmed_To_InProcess,Admin
TS-074,V00016,Firefox,Tablet,High,Confirmed_To_InProcess,Admin
TS-074,V00017,Firefox,Tablet,Medium,Confirmed_To_InProcess,Admin
TS-074,V00018,Firefox,Tablet,Low,Confirmed_To_InProcess,Admin
TS-074,V00019,Safari,Desktop,High,Confirmed_To_InProcess,Admin
TS-074,V00020,Safari,Desktop,Medium,Confirmed_To_InProcess,Admin
TS-074,V00021,Safari,Desktop,Low,Confirmed_To_InProcess,Admin
TS-074,V00022,Safari,Mobile,High,Confirmed_To_InProcess,Admin
TS-074,V00023,Safari,Mobile,Medium,Confirmed_To_InProcess,Admin
TS-074,V00024,Safari,Mobile,Low,Confirmed_To_InProcess,Admin
TS-074,V00025,Safari,Tablet,High,Confirmed_To_InProcess,Admin
TS-074,V00026,Safari,Tablet,Medium,Confirmed_To_InProcess,Admin
TS-074,V00027,Safari,Tablet,Low,Confirmed_To_InProcess,Admin
TS-074,V00028,Edge,Desktop,High,Confirmed_To_InProcess,Admin
TS-074,V00029,Edge,Desktop,Medium,Confirmed_To_InProcess,Admin
TS-074,V00030,Edge,Desktop,Low,Confirmed_To_InProcess,Admin
TS-074,V00031,Edge,Mobile,High,Confirmed_To_InProcess,Admin
TS-074,V00032,Edge,Mobile,Medium,Confirmed_To_InProcess,Admin
TS-074,V00033,Edge,Mobile,Low,Confirmed_To_InProcess,Admin
TS-074,V00034,Edge,Tablet,High,Confirmed_To_InProcess,Admin
TS-074,V00035,Edge,Tablet,Medium,Confirmed_To_InProcess,Admin
TS-074,V00036,Edge,Tablet,Low,Confirmed_To_InProcess,Admin
