Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Status_Change,User_Type
TS-076,V00001,Chrome,Desktop,High,Shipped_To_Delivered,Admin
TS-076,V00002,Chrome,Desktop,Medium,Shipped_To_Delivered,Admin
TS-076,V00003,Chrome,Desktop,Low,Shipped_To_Delivered,Admin
TS-076,V00004,Chrome,Mobile,High,Shipped_To_Delivered,Admin
TS-076,V00005,Chrome,Mobile,Medium,Shipped_To_Delivered,Admin
TS-076,V00006,Chrome,Mobile,Low,Shipped_To_Delivered,Admin
TS-076,V00007,Chrome,Tablet,High,Shipped_To_Delivered,Admin
TS-076,V00008,Chrome,Tablet,Medium,Shipped_To_Delivered,Admin
TS-076,V00009,Chrome,Tablet,Low,Shipped_To_Delivered,Admin
TS-076,V00010,Firefox,Desktop,High,Shipped_To_Delivered,Admin
TS-076,V00011,Firefox,Desktop,Medium,Shipped_To_Delivered,Admin
TS-076,V00012,Firefox,Desktop,Low,Shipped_To_Delivered,Admin
TS-076,V00013,Firefox,Mobile,High,Shipped_To_Delivered,Admin
TS-076,V00014,Firefox,Mobile,Medium,Shipped_To_Delivered,Admin
TS-076,V00015,Firefox,Mobile,Low,Shipped_To_Delivered,Admin
TS-076,V00016,Firefox,Tablet,High,Shipped_To_Delivered,Admin
TS-076,V00017,Firefox,Tablet,Medium,Shipped_To_Delivered,Admin
TS-076,V00018,Firefox,Tablet,Low,Shipped_To_Delivered,Admin
TS-076,V00019,Safari,Desktop,High,Shipped_To_Delivered,Admin
TS-076,V00020,Safari,Desktop,Medium,Shipped_To_Delivered,Admin
TS-076,V00021,Safari,Desktop,Low,Shipped_To_Delivered,Admin
TS-076,V00022,Safari,Mobile,High,Shipped_To_Delivered,Admin
TS-076,V00023,Safari,Mobile,Medium,Shipped_To_Delivered,Admin
TS-076,V00024,Safari,Mobile,Low,Shipped_To_Delivered,Admin
TS-076,V00025,Safari,Tablet,High,Shipped_To_Delivered,Admin
TS-076,V00026,Safari,Tablet,Medium,Shipped_To_Delivered,Admin
TS-076,V00027,Safari,Tablet,Low,Shipped_To_Delivered,Admin
TS-076,V00028,Edge,Desktop,High,Shipped_To_Delivered,Admin
TS-076,V00029,Edge,Desktop,Medium,Shipped_To_Delivered,Admin
TS-076,V00030,Edge,Desktop,Low,Shipped_To_Delivered,Admin
TS-076,V00031,Edge,Mobile,High,Shipped_To_Delivered,Admin
TS-076,V00032,Edge,Mobile,Medium,Shipped_To_Delivered,Admin
TS-076,V00033,Edge,Mobile,Low,Shipped_To_Delivered,Admin
TS-076,V00034,Edge,Tablet,High,Shipped_To_Delivered,Admin
TS-076,V00035,Edge,Tablet,Medium,Shipped_To_Delivered,Admin
TS-076,V00036,Edge,Tablet,Low,Shipped_To_Delivered,Admin
