Scenario_ID,Variant_ID,Browser,Device,Image_Count,Network_Speed,Product_Type,User_Type
TS-078,V00001,Chrome,Desktop,Single,High,Simple,Admin
TS-078,V00002,Chrome,Desktop,Single,Medium,Simple,Admin
TS-078,V00003,Chrome,Desktop,Single,Low,Simple,Admin
TS-078,V00004,Chrome,Mobile,Single,High,Simple,Admin
TS-078,V00005,Chrome,Mobile,Single,Medium,Simple,Admin
TS-078,V00006,Chrome,Mobile,Single,Low,Simple,Admin
TS-078,V00007,Chrome,Tablet,Single,High,Simple,Admin
TS-078,V00008,Chrome,Tablet,Single,Medium,Simple,Admin
TS-078,V00009,Chrome,Tablet,Single,Low,Simple,Admin
TS-078,V00010,Firefox,Desktop,Single,High,Simple,Admin
TS-078,V00011,Firefox,Desktop,Single,Medium,Simple,Admin
TS-078,V00012,Firefox,Desktop,Single,Low,Simple,Admin
TS-078,V00013,Firefox,Mobile,Single,High,Simple,Admin
TS-078,V00014,Firefox,Mobile,Single,Medium,Simple,Admin
TS-078,V00015,Firefox,Mobile,Single,Low,Simple,Admin
TS-078,V00016,Firefox,Tablet,Single,High,Simple,Admin
TS-078,V00017,Firefox,Tablet,Single,Medium,Simple,Admin
TS-078,V00018,Firefox,Tablet,Single,Low,Simple,Admin
TS-078,V00019,Safari,Desktop,Single,High,Simple,Admin
TS-078,V00020,Safari,Desktop,Single,Medium,Simple,Admin
TS-078,V00021,Safari,Desktop,Single,Low,Simple,Admin
TS-078,V00022,Safari,Mobile,Single,High,Simple,Admin
TS-078,V00023,Safari,Mobile,Single,Medium,Simple,Admin
TS-078,V00024,Safari,Mobile,Single,Low,Simple,Admin
TS-078,V00025,Safari,Tablet,Single,High,Simple,Admin
TS-078,V00026,Safari,Tablet,Single,Medium,Simple,Admin
TS-078,V00027,Safari,Tablet,Single,Low,Simple,Admin
TS-078,V00028,Edge,Desktop,Single,High,Simple,Admin
TS-078,V00029,Edge,Desktop,Single,Medium,Simple,Admin
TS-078,V00030,Edge,Desktop,Single,Low,Simple,Admin
TS-078,V00031,Edge,Mobile,Single,High,Simple,Admin
TS-078,V00032,Edge,Mobile,Single,Medium,Simple,Admin
TS-078,V00033,Edge,Mobile,Single,Low,Simple,Admin
TS-078,V00034,Edge,Tablet,Single,High,Simple,Admin
TS-078,V00035,Edge,Tablet,Single,Medium,Simple,Admin
TS-078,V00036,Edge,Tablet,Single,Low,Simple,Admin
TS-078,V00037,Chrome,Desktop,Multiple,High,Simple,Admin
TS-078,V00038,Chrome,Desktop,Multiple,Medium,Simple,Admin
TS-078,V00039,Chrome,Desktop,Multiple,Low,Simple,Admin
TS-078,V00040,Chrome,Mobile,Multiple,High,Simple,Admin
TS-078,V00041,Chrome,Mobile,Multiple,Medium,Simple,Admin
TS-078,V00042,Chrome,Mobile,Multiple,Low,Simple,Admin
TS-078,V00043,Chrome,Tablet,Multiple,High,Simple,Admin
TS-078,V00044,Chrome,Tablet,Multiple,Medium,Simple,Admin
TS-078,V00045,Chrome,Tablet,Multiple,Low,Simple,Admin
TS-078,V00046,Firefox,Desktop,Multiple,High,Simple,Admin
TS-078,V00047,Firefox,Desktop,Multiple,Medium,Simple,Admin
TS-078,V00048,Firefox,Desktop,Multiple,Low,Simple,Admin
TS-078,V00049,Firefox,Mobile,Multiple,High,Simple,Admin
TS-078,V00050,Firefox,Mobile,Multiple,Medium,Simple,Admin
TS-078,V00051,Firefox,Mobile,Multiple,Low,Simple,Admin
TS-078,V00052,Firefox,Tablet,Multiple,High,Simple,Admin
TS-078,V00053,Firefox,Tablet,Multiple,Medium,Simple,Admin
TS-078,V00054,Firefox,Tablet,Multiple,Low,Simple,Admin
TS-078,V00055,Safari,Desktop,Multiple,High,Simple,Admin
TS-078,V00056,Safari,Desktop,Multiple,Medium,Simple,Admin
TS-078,V00057,Safari,Desktop,Multiple,Low,Simple,Admin
TS-078,V00058,Safari,Mobile,Multiple,High,Simple,Admin
TS-078,V00059,Safari,Mobile,Multiple,Medium,Simple,Admin
TS-078,V00060,Safari,Mobile,Multiple,Low,Simple,Admin
TS-078,V00061,Safari,Tablet,Multiple,High,Simple,Admin
TS-078,V00062,Safari,Tablet,Multiple,Medium,Simple,Admin
TS-078,V00063,Safari,Tablet,Multiple,Low,Simple,Admin
TS-078,V00064,Edge,Desktop,Multiple,High,Simple,Admin
TS-078,V00065,Edge,Desktop,Multiple,Medium,Simple,Admin
TS-078,V00066,Edge,Desktop,Multiple,Low,Simple,Admin
TS-078,V00067,Edge,Mobile,Multiple,High,Simple,Admin
TS-078,V00068,Edge,Mobile,Multiple,Medium,Simple,Admin
TS-078,V00069,Edge,Mobile,Multiple,Low,Simple,Admin
TS-078,V00070,Edge,Tablet,Multiple,High,Simple,Admin
TS-078,V00071,Edge,Tablet,Multiple,Medium,Simple,Admin
TS-078,V00072,Edge,Tablet,Multiple,Low,Simple,Admin
TS-078,V00073,Chrome,Desktop,Single,High,With_Variations,Admin
TS-078,V00074,Chrome,Desktop,Single,Medium,With_Variations,Admin
TS-078,V00075,Chrome,Desktop,Single,Low,With_Variations,Admin
TS-078,V00076,Chrome,Mobile,Single,High,With_Variations,Admin
TS-078,V00077,Chrome,Mobile,Single,Medium,With_Variations,Admin
TS-078,V00078,Chrome,Mobile,Single,Low,With_Variations,Admin
TS-078,V00079,Chrome,Tablet,Single,High,With_Variations,Admin
TS-078,V00080,Chrome,Tablet,Single,Medium,With_Variations,Admin
TS-078,V00081,Chrome,Tablet,Single,Low,With_Variations,Admin
TS-078,V00082,Firefox,Desktop,Single,High,With_Variations,Admin
TS-078,V00083,Firefox,Desktop,Single,Medium,With_Variations,Admin
TS-078,V00084,Firefox,Desktop,Single,Low,With_Variations,Admin
TS-078,V00085,Firefox,Mobile,Single,High,With_Variations,Admin
TS-078,V00086,Firefox,Mobile,Single,Medium,With_Variations,Admin
TS-078,V00087,Firefox,Mobile,Single,Low,With_Variations,Admin
TS-078,V00088,Firefox,Tablet,Single,High,With_Variations,Admin
TS-078,V00089,Firefox,Tablet,Single,Medium,With_Variations,Admin
TS-078,V00090,Firefox,Tablet,Single,Low,With_Variations,Admin
TS-078,V00091,Safari,Desktop,Single,High,With_Variations,Admin
TS-078,V00092,Safari,Desktop,Single,Medium,With_Variations,Admin
TS-078,V00093,Safari,Desktop,Single,Low,With_Variations,Admin
TS-078,V00094,Safari,Mobile,Single,High,With_Variations,Admin
TS-078,V00095,Safari,Mobile,Single,Medium,With_Variations,Admin
TS-078,V00096,Safari,Mobile,Single,Low,With_Variations,Admin
TS-078,V00097,Safari,Tablet,Single,High,With_Variations,Admin
TS-078,V00098,Safari,Tablet,Single,Medium,With_Variations,Admin
TS-078,V00099,Safari,Tablet,Single,Low,With_Variations,Admin
TS-078,V00100,Edge,Desktop,Single,High,With_Variations,Admin
TS-078,V00101,Edge,Desktop,Single,Medium,With_Variations,Admin
TS-078,V00102,Edge,Desktop,Single,Low,With_Variations,Admin
TS-078,V00103,Edge,Mobile,Single,High,With_Variations,Admin
TS-078,V00104,Edge,Mobile,Single,Medium,With_Variations,Admin
TS-078,V00105,Edge,Mobile,Single,Low,With_Variations,Admin
TS-078,V00106,Edge,Tablet,Single,High,With_Variations,Admin
TS-078,V00107,Edge,Tablet,Single,Medium,With_Variations,Admin
TS-078,V00108,Edge,Tablet,Single,Low,With_Variations,Admin
TS-078,V00109,Chrome,Desktop,Multiple,High,With_Variations,Admin
TS-078,V00110,Chrome,Desktop,Multiple,Medium,With_Variations,Admin
TS-078,V00111,Chrome,Desktop,Multiple,Low,With_Variations,Admin
TS-078,V00112,Chrome,Mobile,Multiple,High,With_Variations,Admin
TS-078,V00113,Chrome,Mobile,Multiple,Medium,With_Variations,Admin
TS-078,V00114,Chrome,Mobile,Multiple,Low,With_Variations,Admin
TS-078,V00115,Chrome,Tablet,Multiple,High,With_Variations,Admin
TS-078,V00116,Chrome,Tablet,Multiple,Medium,With_Variations,Admin
TS-078,V00117,Chrome,Tablet,Multiple,Low,With_Variations,Admin
TS-078,V00118,Firefox,Desktop,Multiple,High,With_Variations,Admin
TS-078,V00119,Firefox,Desktop,Multiple,Medium,With_Variations,Admin
TS-078,V00120,Firefox,Desktop,Multiple,Low,With_Variations,Admin
TS-078,V00121,Firefox,Mobile,Multiple,High,With_Variations,Admin
TS-078,V00122,Firefox,Mobile,Multiple,Medium,With_Variations,Admin
TS-078,V00123,Firefox,Mobile,Multiple,Low,With_Variations,Admin
TS-078,V00124,Firefox,Tablet,Multiple,High,With_Variations,Admin
TS-078,V00125,Firefox,Tablet,Multiple,Medium,With_Variations,Admin
TS-078,V00126,Firefox,Tablet,Multiple,Low,With_Variations,Admin
TS-078,V00127,Safari,Desktop,Multiple,High,With_Variations,Admin
TS-078,V00128,Safari,Desktop,Multiple,Medium,With_Variations,Admin
TS-078,V00129,Safari,Desktop,Multiple,Low,With_Variations,Admin
TS-078,V00130,Safari,Mobile,Multiple,High,With_Variations,Admin
TS-078,V00131,Safari,Mobile,Multiple,Medium,With_Variations,Admin
