Scenario_ID,Variant_ID,Browser,Device,Edit_Field,Network_Speed,User_Type
TS-079,V00001,Chrome,Desktop,Name,High,Admin
TS-079,V00002,Chrome,Desktop,Name,Medium,Admin
TS-079,V00003,Chrome,Desktop,Name,Low,Admin
TS-079,V00004,Chrome,Mobile,Name,High,Admin
TS-079,V00005,Chrome,Mobile,Name,Medium,Admin
TS-079,V00006,Chrome,Mobile,Name,Low,Admin
TS-079,V00007,Chrome,Tablet,Name,High,Admin
TS-079,V00008,Chrome,Tablet,Name,Medium,Admin
TS-079,V00009,Chrome,Tablet,Name,Low,Admin
TS-079,V00010,Firefox,Desktop,Name,High,Admin
TS-079,V00011,Firefox,Desktop,Name,Medium,Admin
TS-079,V00012,Firefox,Desktop,Name,Low,Admin
TS-079,V00013,Firefox,Mobile,Name,High,Admin
TS-079,V00014,Firefox,Mobile,Name,Medium,Admin
TS-079,V00015,Firefox,Mobile,Name,Low,Admin
TS-079,V00016,Firefox,Tablet,Name,High,Admin
TS-079,V00017,Firefox,Tablet,Name,Medium,Admin
TS-079,V00018,Firefox,Tablet,Name,Low,Admin
TS-079,V00019,Safari,Desktop,Name,High,Admin
TS-079,V00020,Safari,Desktop,Name,Medium,Admin
TS-079,V00021,Safari,Desktop,Name,Low,Admin
TS-079,V00022,Safari,Mobile,Name,High,Admin
TS-079,V00023,Safari,Mobile,Name,Medium,Admin
TS-079,V00024,Safari,Mobile,Name,Low,Admin
TS-079,V00025,Safari,Tablet,Name,High,Admin
TS-079,V00026,Safari,Tablet,Name,Medium,Admin
TS-079,V00027,Safari,Tablet,Name,Low,Admin
TS-079,V00028,Edge,Desktop,Name,High,Admin
TS-079,V00029,Edge,Desktop,Name,Medium,Admin
TS-079,V00030,Edge,Desktop,Name,Low,Admin
TS-079,V00031,Edge,Mobile,Name,High,Admin
TS-079,V00032,Edge,Mobile,Name,Medium,Admin
TS-079,V00033,Edge,Mobile,Name,Low,Admin
TS-079,V00034,Edge,Tablet,Name,High,Admin
TS-079,V00035,Edge,Tablet,Name,Medium,Admin
TS-079,V00036,Edge,Tablet,Name,Low,Admin
TS-079,V00037,Chrome,Desktop,Price,High,Admin
TS-079,V00038,Chrome,Desktop,Price,Medium,Admin
TS-079,V00039,Chrome,Desktop,Price,Low,Admin
TS-079,V00040,Chrome,Mobile,Price,High,Admin
TS-079,V00041,Chrome,Mobile,Price,Medium,Admin
TS-079,V00042,Chrome,Mobile,Price,Low,Admin
TS-079,V00043,Chrome,Tablet,Price,High,Admin
TS-079,V00044,Chrome,Tablet,Price,Medium,Admin
TS-079,V00045,Chrome,Tablet,Price,Low,Admin
TS-079,V00046,Firefox,Desktop,Price,High,Admin
TS-079,V00047,Firefox,Desktop,Price,Medium,Admin
TS-079,V00048,Firefox,Desktop,Price,Low,Admin
TS-079,V00049,Firefox,Mobile,Price,High,Admin
TS-079,V00050,Firefox,Mobile,Price,Medium,Admin
TS-079,V00051,Firefox,Mobile,Price,Low,Admin
TS-079,V00052,Firefox,Tablet,Price,High,Admin
TS-079,V00053,Firefox,Tablet,Price,Medium,Admin
TS-079,V00054,Firefox,Tablet,Price,Low,Admin
TS-079,V00055,Safari,Desktop,Price,High,Admin
TS-079,V00056,Safari,Desktop,Price,Medium,Admin
TS-079,V00057,Safari,Desktop,Price,Low,Admin
TS-079,V00058,Safari,Mobile,Price,High,Admin
TS-079,V00059,Safari,Mobile,Price,Medium,Admin
TS-079,V00060,Safari,Mobile,Price,Low,Admin
TS-079,V00061,Safari,Tablet,Price,High,Admin
TS-079,V00062,Safari,Tablet,Price,Medium,Admin
TS-079,V00063,Safari,Tablet,Price,Low,Admin
TS-079,V00064,Edge,Desktop,Price,High,Admin
TS-079,V00065,Edge,Desktop,Price,Medium,Admin
TS-079,V00066,Edge,Desktop,Price,Low,Admin
TS-079,V00067,Edge,Mobile,Price,High,Admin
TS-079,V00068,Edge,Mobile,Price,Medium,Admin
TS-079,V00069,Edge,Mobile,Price,Low,Admin
TS-079,V00070,Edge,Tablet,Price,High,Admin
TS-079,V00071,Edge,Tablet,Price,Medium,Admin
TS-079,V00072,Edge,Tablet,Price,Low,Admin
TS-079,V00073,Chrome,Desktop,Description,High,Admin
TS-079,V00074,Chrome,Desktop,Description,Medium,Admin
TS-079,V00075,Chrome,Desktop,Description,Low,Admin
TS-079,V00076,Chrome,Mobile,Description,High,Admin
TS-079,V00077,Chrome,Mobile,Description,Medium,Admin
TS-079,V00078,Chrome,Mobile,Description,Low,Admin
TS-079,V00079,Chrome,Tablet,Description,High,Admin
TS-079,V00080,Chrome,Tablet,Description,Medium,Admin
TS-079,V00081,Chrome,Tablet,Description,Low,Admin
TS-079,V00082,Firefox,Desktop,Description,High,Admin
TS-079,V00083,Firefox,Desktop,Description,Medium,Admin
TS-079,V00084,Firefox,Desktop,Description,Low,Admin
TS-079,V00085,Firefox,Mobile,Description,High,Admin
TS-079,V00086,Firefox,Mobile,Description,Medium,Admin
TS-079,V00087,Firefox,Mobile,Description,Low,Admin
TS-079,V00088,Firefox,Tablet,Description,High,Admin
TS-079,V00089,Firefox,Tablet,Description,Medium,Admin
TS-079,V00090,Firefox,Tablet,Description,Low,Admin
TS-079,V00091,Safari,Desktop,Description,High,Admin
TS-079,V00092,Safari,Desktop,Description,Medium,Admin
TS-079,V00093,Safari,Desktop,Description,Low,Admin
TS-079,V00094,Safari,Mobile,Description,High,Admin
TS-079,V00095,Safari,Mobile,Description,Medium,Admin
TS-079,V00096,Safari,Mobile,Description,Low,Admin
TS-079,V00097,Safari,Tablet,Description,High,Admin
TS-079,V00098,Safari,Tablet,Description,Medium,Admin
TS-079,V00099,Safari,Tablet,Description,Low,Admin
TS-079,V00100,Edge,Desktop,Description,High,Admin
TS-079,V00101,Edge,Desktop,Description,Medium,Admin
TS-079,V00102,Edge,Desktop,Description,Low,Admin
TS-079,V00103,Edge,Mobile,Description,High,Admin
TS-079,V00104,Edge,Mobile,Description,Medium,Admin
TS-079,V00105,Edge,Mobile,Description,Low,Admin
TS-079,V00106,Edge,Tablet,Description,High,Admin
TS-079,V00107,Edge,Tablet,Description,Medium,Admin
TS-079,V00108,Edge,Tablet,Description,Low,Admin
TS-079,V00109,Chrome,Desktop,Images,High,Admin
TS-079,V00110,Chrome,Desktop,Images,Medium,Admin
TS-079,V00111,Chrome,Desktop,Images,Low,Admin
TS-079,V00112,Chrome,Mobile,Images,High,Admin
TS-079,V00113,Chrome,Mobile,Images,Medium,Admin
TS-079,V00114,Chrome,Mobile,Images,Low,Admin
TS-079,V00115,Chrome,Tablet,Images,High,Admin
TS-079,V00116,Chrome,Tablet,Images,Medium,Admin
TS-079,V00117,Chrome,Tablet,Images,Low,Admin
TS-079,V00118,Firefox,Desktop,Images,High,Admin
TS-079,V00119,Firefox,Desktop,Images,Medium,Admin
TS-079,V00120,Firefox,Desktop,Images,Low,Admin
TS-079,V00121,Firefox,Mobile,Images,High,Admin
TS-079,V00122,Firefox,Mobile,Images,Medium,Admin
TS-079,V00123,Firefox,Mobile,Images,Low,Admin
TS-079,V00124,Firefox,Tablet,Images,High,Admin
TS-079,V00125,Firefox,Tablet,Images,Medium,Admin
TS-079,V00126,Firefox,Tablet,Images,Low,Admin
TS-079,V00127,Safari,Desktop,Images,High,Admin
TS-079,V00128,Safari,Desktop,Images,Medium,Admin
TS-079,V00129,Safari,Desktop,Images,Low,Admin
TS-079,V00130,Safari,Mobile,Images,High,Admin
TS-079,V00131,Safari,Mobile,Images,Medium,Admin
TS-079,V00132,Safari,Mobile,Images,Low,Admin
TS-079,V00133,Safari,Tablet,Images,High,Admin
TS-079,V00134,Safari,Tablet,Images,Medium,Admin
TS-079,V00135,Safari,Tablet,Images,Low,Admin
TS-079,V00136,Edge,Desktop,Images,High,Admin
TS-079,V00137,Edge,Desktop,Images,Medium,Admin
TS-079,V00138,Edge,Desktop,Images,Low,Admin
TS-079,V00139,Edge,Mobile,Images,High,Admin
TS-079,V00140,Edge,Mobile,Images,Medium,Admin
TS-079,V00141,Edge,Mobile,Images,Low,Admin
TS-079,V00142,Edge,Tablet,Images,High,Admin
TS-079,V00143,Edge,Tablet,Images,Medium,Admin
