Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_Status,User_Type
TS-080,V00001,Chrome,Desktop,High,Active,Admin
TS-080,V00002,Chrome,Desktop,Medium,Active,Admin
TS-080,V00003,Chrome,Desktop,Low,Active,Admin
TS-080,V00004,Chrome,Mobile,High,Active,Admin
TS-080,V00005,Chrome,Mobile,Medium,Active,Admin
TS-080,V00006,Chrome,Mobile,Low,Active,Admin
TS-080,V00007,Chrome,Tablet,High,Active,Admin
TS-080,V00008,Chrome,Tablet,Medium,Active,Admin
TS-080,V00009,Chrome,Tablet,Low,Active,Admin
TS-080,V00010,Firefox,Desktop,High,Active,Admin
TS-080,V00011,Firefox,Desktop,Medium,Active,Admin
TS-080,V00012,Firefox,Desktop,Low,Active,Admin
TS-080,V00013,Firefox,Mobile,High,Active,Admin
TS-080,V00014,Firefox,Mobile,Medium,Active,Admin
TS-080,V00015,Firefox,Mobile,Low,Active,Admin
TS-080,V00016,Firefox,Tablet,High,Active,Admin
TS-080,V00017,Firefox,Tablet,Medium,Active,Admin
TS-080,V00018,Firefox,Tablet,Low,Active,Admin
TS-080,V00019,Safari,Desktop,High,Active,Admin
TS-080,V00020,Safari,Desktop,Medium,Active,Admin
TS-080,V00021,Safari,Desktop,Low,Active,Admin
TS-080,V00022,Safari,Mobile,High,Active,Admin
TS-080,V00023,Safari,Mobile,Medium,Active,Admin
TS-080,V00024,Safari,Mobile,Low,Active,Admin
TS-080,V00025,Safari,Tablet,High,Active,Admin
TS-080,V00026,Safari,Tablet,Medium,Active,Admin
TS-080,V00027,Safari,Tablet,Low,Active,Admin
TS-080,V00028,Edge,Desktop,High,Active,Admin
TS-080,V00029,Edge,Desktop,Medium,Active,Admin
TS-080,V00030,Edge,Desktop,Low,Active,Admin
TS-080,V00031,Edge,Mobile,High,Active,Admin
TS-080,V00032,Edge,Mobile,Medium,Active,Admin
TS-080,V00033,Edge,Mobile,Low,Active,Admin
TS-080,V00034,Edge,Tablet,High,Active,Admin
TS-080,V00035,Edge,Tablet,Medium,Active,Admin
TS-080,V00036,Edge,Tablet,Low,Active,Admin
