Scenario_ID,Variant_ID,Browser,Device,Has_Orders,Network_Speed,Product_Status,User_Type
TS-082,V00001,Chrome,Desktop,Yes,High,Any,Admin
TS-082,V00002,Chrome,Desktop,Yes,Medium,Any,Admin
TS-082,V00003,Chrome,Desktop,Yes,Low,Any,Admin
TS-082,V00004,Chrome,Mobile,Yes,High,Any,Admin
TS-082,V00005,Chrome,Mobile,Yes,Medium,Any,Admin
TS-082,V00006,Chrome,Mobile,Yes,Low,Any,Admin
TS-082,V00007,Chrome,Tablet,Yes,High,Any,Admin
TS-082,V00008,Chrome,Tablet,Yes,Medium,Any,Admin
TS-082,V00009,Chrome,Tablet,Yes,Low,Any,Admin
TS-082,V00010,Firefox,Desktop,Yes,High,Any,Admin
TS-082,V00011,Firefox,Desktop,Yes,Medium,Any,Admin
TS-082,V00012,Firefox,Desktop,Yes,Low,Any,Admin
TS-082,V00013,Firefox,Mobile,Yes,High,Any,Admin
TS-082,V00014,Firefox,Mobile,Yes,Medium,Any,Admin
TS-082,V00015,Firefox,Mobile,Yes,Low,Any,Admin
TS-082,V00016,Firefox,Tablet,Yes,High,Any,Admin
TS-082,V00017,Firefox,Tablet,Yes,Medium,Any,Admin
TS-082,V00018,Firefox,Tablet,Yes,Low,Any,Admin
TS-082,V00019,Safari,Desktop,Yes,High,Any,Admin
TS-082,V00020,Safari,Desktop,Yes,Medium,Any,Admin
TS-082,V00021,Safari,Desktop,Yes,Low,Any,Admin
TS-082,V00022,Safari,Mobile,Yes,High,Any,Admin
TS-082,V00023,Safari,Mobile,Yes,Medium,Any,Admin
TS-082,V00024,Safari,Mobile,Yes,Low,Any,Admin
TS-082,V00025,Safari,Tablet,Yes,High,Any,Admin
TS-082,V00026,Safari,Tablet,Yes,Medium,Any,Admin
TS-082,V00027,Safari,Tablet,Yes,Low,Any,Admin
TS-082,V00028,Edge,Desktop,Yes,High,Any,Admin
TS-082,V00029,Edge,Desktop,Yes,Medium,Any,Admin
TS-082,V00030,Edge,Desktop,Yes,Low,Any,Admin
TS-082,V00031,Edge,Mobile,Yes,High,Any,Admin
TS-082,V00032,Edge,Mobile,Yes,Medium,Any,Admin
TS-082,V00033,Edge,Mobile,Yes,Low,Any,Admin
TS-082,V00034,Edge,Tablet,Yes,High,Any,Admin
TS-082,V00035,Edge,Tablet,Yes,Medium,Any,Admin
TS-082,V00036,Edge,Tablet,Yes,Low,Any,Admin
TS-082,V00037,Chrome,Desktop,No,High,Any,Admin
TS-082,V00038,Chrome,Desktop,No,Medium,Any,Admin
TS-082,V00039,Chrome,Desktop,No,Low,Any,Admin
TS-082,V00040,Chrome,Mobile,No,High,Any,Admin
TS-082,V00041,Chrome,Mobile,No,Medium,Any,Admin
TS-082,V00042,Chrome,Mobile,No,Low,Any,Admin
TS-082,V00043,Chrome,Tablet,No,High,Any,Admin
TS-082,V00044,Chrome,Tablet,No,Medium,Any,Admin
TS-082,V00045,Chrome,Tablet,No,Low,Any,Admin
TS-082,V00046,Firefox,Desktop,No,High,Any,Admin
TS-082,V00047,Firefox,Desktop,No,Medium,Any,Admin
TS-082,V00048,Firefox,Desktop,No,Low,Any,Admin
TS-082,V00049,Firefox,Mobile,No,High,Any,Admin
TS-082,V00050,Firefox,Mobile,No,Medium,Any,Admin
TS-082,V00051,Firefox,Mobile,No,Low,Any,Admin
TS-082,V00052,Firefox,Tablet,No,High,Any,Admin
TS-082,V00053,Firefox,Tablet,No,Medium,Any,Admin
TS-082,V00054,Firefox,Tablet,No,Low,Any,Admin
TS-082,V00055,Safari,Desktop,No,High,Any,Admin
TS-082,V00056,Safari,Desktop,No,Medium,Any,Admin
TS-082,V00057,Safari,Desktop,No,Low,Any,Admin
TS-082,V00058,Safari,Mobile,No,High,Any,Admin
TS-082,V00059,Safari,Mobile,No,Medium,Any,Admin
TS-082,V00060,Safari,Mobile,No,Low,Any,Admin
TS-082,V00061,Safari,Tablet,No,High,Any,Admin
TS-082,V00062,Safari,Tablet,No,Medium,Any,Admin
TS-082,V00063,Safari,Tablet,No,Low,Any,Admin
TS-082,V00064,Edge,Desktop,No,High,Any,Admin
TS-082,V00065,Edge,Desktop,No,Medium,Any,Admin
TS-082,V00066,Edge,Desktop,No,Low,Any,Admin
TS-082,V00067,Edge,Mobile,No,High,Any,Admin
TS-082,V00068,Edge,Mobile,No,Medium,Any,Admin
TS-082,V00069,Edge,Mobile,No,Low,Any,Admin
TS-082,V00070,Edge,Tablet,No,High,Any,Admin
TS-082,V00071,Edge,Tablet,No,Medium,Any,Admin
TS-082,V00072,Edge,Tablet,No,Low,Any,Admin
