Scenario_ID,Variant_ID,Browser,Category_Level,Device,Network_Speed,User_Type
TS-084,V00001,Chrome,Sub_Level,Desktop,High,Admin
TS-084,V00002,Chrome,Sub_Level,Desktop,Medium,Admin
TS-084,V00003,Chrome,Sub_Level,Desktop,Low,Admin
TS-084,V00004,Chrome,Sub_Level,Mobile,High,Admin
TS-084,V00005,Chrome,Sub_Level,Mobile,Medium,Admin
TS-084,V00006,Chrome,Sub_Level,Mobile,Low,Admin
TS-084,V00007,Chrome,Sub_Level,Tablet,High,Admin
TS-084,V00008,Chrome,Sub_Level,Tablet,Medium,Admin
TS-084,V00009,Chrome,Sub_Level,Tablet,Low,Admin
TS-084,V00010,Firefox,Sub_Level,Desktop,High,Admin
TS-084,V00011,Firefox,Sub_Level,Desktop,Medium,Admin
TS-084,V00012,Firefox,Sub_Level,Desktop,Low,Admin
TS-084,V00013,Firefox,Sub_Level,Mobile,High,Admin
TS-084,V00014,Firefox,Sub_Level,Mobile,Medium,Admin
TS-084,V00015,Firefox,Sub_Level,Mobile,Low,Admin
TS-084,V00016,Firefox,Sub_Level,Tablet,High,Admin
TS-084,V00017,Firefox,Sub_Level,Tablet,Medium,Admin
TS-084,V00018,Firefox,Sub_Level,Tablet,Low,Admin
TS-084,V00019,Safari,Sub_Level,Desktop,High,Admin
TS-084,V00020,Safari,Sub_Level,Desktop,Medium,Admin
TS-084,V00021,Safari,Sub_Level,Desktop,Low,Admin
TS-084,V00022,Safari,Sub_Level,Mobile,High,Admin
TS-084,V00023,Safari,Sub_Level,Mobile,Medium,Admin
TS-084,V00024,Safari,Sub_Level,Mobile,Low,Admin
TS-084,V00025,Safari,Sub_Level,Tablet,High,Admin
TS-084,V00026,Safari,Sub_Level,Tablet,Medium,Admin
TS-084,V00027,Safari,Sub_Level,Tablet,Low,Admin
TS-084,V00028,Edge,Sub_Level,Desktop,High,Admin
TS-084,V00029,Edge,Sub_Level,Desktop,Medium,Admin
TS-084,V00030,Edge,Sub_Level,Desktop,Low,Admin
TS-084,V00031,Edge,Sub_Level,Mobile,High,Admin
TS-084,V00032,Edge,Sub_Level,Mobile,Medium,Admin
TS-084,V00033,Edge,Sub_Level,Mobile,Low,Admin
TS-084,V00034,Edge,Sub_Level,Tablet,High,Admin
TS-084,V00035,Edge,Sub_Level,Tablet,Medium,Admin
TS-084,V00036,Edge,Sub_Level,Tablet,Low,Admin
