Scenario_ID,Variant_ID,Action,Browser,Device,Network_Speed,Review_Status,User_Type
TS-087,V00001,Approve,Chrome,Desktop,High,Pending,Admin
TS-087,V00002,Approve,Chrome,Desktop,Medium,Pending,Admin
TS-087,V00003,Approve,Chrome,Desktop,Low,Pending,Admin
TS-087,V00004,Approve,Chrome,Mobile,High,Pending,Admin
TS-087,V00005,Approve,Chrome,Mobile,Medium,Pending,Admin
TS-087,V00006,Approve,Chrome,Mobile,Low,Pending,Admin
TS-087,V00007,Approve,Chrome,Tablet,High,Pending,Admin
TS-087,V00008,Approve,Chrome,Tablet,Medium,Pending,Admin
TS-087,V00009,Approve,Chrome,Tablet,Low,Pending,Admin
TS-087,V00010,Approve,Firefox,Desktop,High,Pending,Admin
TS-087,V00011,Approve,Firefox,Desktop,Medium,Pending,Admin
TS-087,V00012,Approve,Firefox,Desktop,Low,Pending,Admin
TS-087,V00013,Approve,Firefox,Mobile,High,Pending,Admin
TS-087,V00014,Approve,Firefox,Mobile,Medium,Pending,Admin
TS-087,V00015,Approve,Firefox,Mobile,Low,Pending,Admin
TS-087,V00016,Approve,Firefox,Tablet,High,Pending,Admin
TS-087,V00017,Approve,Firefox,Tablet,Medium,Pending,Admin
TS-087,V00018,Approve,Firefox,Tablet,Low,Pending,Admin
TS-087,V00019,Approve,Safari,Desktop,High,Pending,Admin
TS-087,V00020,Approve,Safari,Desktop,Medium,Pending,Admin
TS-087,V00021,Approve,Safari,Desktop,Low,Pending,Admin
TS-087,V00022,Approve,Safari,Mobile,High,Pending,Admin
TS-087,V00023,Approve,Safari,Mobile,Medium,Pending,Admin
TS-087,V00024,Approve,Safari,Mobile,Low,Pending,Admin
TS-087,V00025,Approve,Safari,Tablet,High,Pending,Admin
TS-087,V00026,Approve,Safari,Tablet,Medium,Pending,Admin
TS-087,V00027,Approve,Safari,Tablet,Low,Pending,Admin
TS-087,V00028,Approve,Edge,Desktop,High,Pending,Admin
TS-087,V00029,Approve,Edge,Desktop,Medium,Pending,Admin
TS-087,V00030,Approve,Edge,Desktop,Low,Pending,Admin
TS-087,V00031,Approve,Edge,Mobile,High,Pending,Admin
TS-087,V00032,Approve,Edge,Mobile,Medium,Pending,Admin
TS-087,V00033,Approve,Edge,Mobile,Low,Pending,Admin
TS-087,V00034,Approve,Edge,Tablet,High,Pending,Admin
TS-087,V00035,Approve,Edge,Tablet,Medium,Pending,Admin
TS-087,V00036,Approve,Edge,Tablet,Low,Pending,Admin
