Scenario_ID,Variant_ID,Action,Browser,Device,Network_Speed,Review_Status,User_Type
TS-088,V00001,Reject,Chrome,Desktop,High,Pending,Admin
TS-088,V00002,Reject,Chrome,Desktop,Medium,Pending,Admin
TS-088,V00003,Reject,Chrome,Desktop,Low,Pending,Admin
TS-088,V00004,Reject,Chrome,Mobile,High,Pending,Admin
TS-088,V00005,Reject,Chrome,Mobile,Medium,Pending,Admin
TS-088,V00006,Reject,Chrome,Mobile,Low,Pending,Admin
TS-088,V00007,Reject,Chrome,Tablet,High,Pending,Admin
TS-088,V00008,Reject,Chrome,Tablet,Medium,Pending,Admin
TS-088,V00009,Reject,Chrome,Tablet,Low,Pending,Admin
TS-088,V00010,Reject,Firefox,Desktop,High,Pending,Admin
TS-088,V00011,Reject,Firefox,Desktop,Medium,Pending,Admin
TS-088,V00012,Reject,Firefox,Desktop,Low,Pending,Admin
TS-088,V00013,Reject,Firefox,Mobile,High,Pending,Admin
TS-088,V00014,Reject,Firefox,Mobile,Medium,Pending,Admin
TS-088,V00015,Reject,Firefox,Mobile,Low,Pending,Admin
TS-088,V00016,Reject,Firefox,Tablet,High,Pending,Admin
TS-088,V00017,Reject,Firefox,Tablet,Medium,Pending,Admin
TS-088,V00018,Reject,Firefox,Tablet,Low,Pending,Admin
TS-088,V00019,Reject,Safari,Desktop,High,Pending,Admin
TS-088,V00020,Reject,Safari,Desktop,Medium,Pending,Admin
TS-088,V00021,Reject,Safari,Desktop,Low,Pending,Admin
TS-088,V00022,Reject,Safari,Mobile,High,Pending,Admin
TS-088,V00023,Reject,Safari,Mobile,Medium,Pending,Admin
TS-088,V00024,Reject,Safari,Mobile,Low,Pending,Admin
TS-088,V00025,Reject,Safari,Tablet,High,Pending,Admin
TS-088,V00026,Reject,Safari,Tablet,Medium,Pending,Admin
TS-088,V00027,Reject,Safari,Tablet,Low,Pending,Admin
TS-088,V00028,Reject,Edge,Desktop,High,Pending,Admin
TS-088,V00029,Reject,Edge,Desktop,Medium,Pending,Admin
TS-088,V00030,Reject,Edge,Desktop,Low,Pending,Admin
TS-088,V00031,Reject,Edge,Mobile,High,Pending,Admin
TS-088,V00032,Reject,Edge,Mobile,Medium,Pending,Admin
TS-088,V00033,Reject,Edge,Mobile,Low,Pending,Admin
TS-088,V00034,Reject,Edge,Tablet,High,Pending,Admin
TS-088,V00035,Reject,Edge,Tablet,Medium,Pending,Admin
TS-088,V00036,Reject,Edge,Tablet,Low,Pending,Admin
