Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Template_Type,User_Type
TS-090,V00001,Chrome,Desktop,High,Promotional,Admin
TS-090,V00002,Chrome,Desktop,Medium,Promotional,Admin
TS-090,V00003,Chrome,Desktop,Low,Promotional,Admin
TS-090,V00004,Chrome,Mobile,High,Promotional,Admin
TS-090,V00005,Chrome,Mobile,Medium,Promotional,Admin
TS-090,V00006,Chrome,Mobile,Low,Promotional,Admin
TS-090,V00007,Chrome,Tablet,High,Promotional,Admin
TS-090,V00008,Chrome,Tablet,Medium,Promotional,Admin
TS-090,V00009,Chrome,Tablet,Low,Promotional,Admin
TS-090,V00010,Firefox,Desktop,High,Promotional,Admin
TS-090,V00011,Firefox,Desktop,Medium,Promotional,Admin
TS-090,V00012,Firefox,Desktop,Low,Promotional,Admin
TS-090,V00013,Firefox,Mobile,High,Promotional,Admin
TS-090,V00014,Firefox,Mobile,Medium,Promotional,Admin
TS-090,V00015,Firefox,Mobile,Low,Promotional,Admin
TS-090,V00016,Firefox,Tablet,High,Promotional,Admin
TS-090,V00017,Firefox,Tablet,Medium,Promotional,Admin
TS-090,V00018,Firefox,Tablet,Low,Promotional,Admin
TS-090,V00019,Safari,Desktop,High,Promotional,Admin
TS-090,V00020,Safari,Desktop,Medium,Promotional,Admin
TS-090,V00021,Safari,Desktop,Low,Promotional,Admin
TS-090,V00022,Safari,Mobile,High,Promotional,Admin
TS-090,V00023,Safari,Mobile,Medium,Promotional,Admin
TS-090,V00024,Safari,Mobile,Low,Promotional,Admin
TS-090,V00025,Safari,Tablet,High,Promotional,Admin
TS-090,V00026,Safari,Tablet,Medium,Promotional,Admin
TS-090,V00027,Safari,Tablet,Low,Promotional,Admin
TS-090,V00028,Edge,Desktop,High,Promotional,Admin
TS-090,V00029,Edge,Desktop,Medium,Promotional,Admin
TS-090,V00030,Edge,Desktop,Low,Promotional,Admin
TS-090,V00031,Edge,Mobile,High,Promotional,Admin
TS-090,V00032,Edge,Mobile,Medium,Promotional,Admin
TS-090,V00033,Edge,Mobile,Low,Promotional,Admin
TS-090,V00034,Edge,Tablet,High,Promotional,Admin
TS-090,V00035,Edge,Tablet,Medium,Promotional,Admin
TS-090,V00036,Edge,Tablet,Low,Promotional,Admin
TS-090,V00037,Chrome,Desktop,High,Transactional,Admin
TS-090,V00038,Chrome,Desktop,Medium,Transactional,Admin
TS-090,V00039,Chrome,Desktop,Low,Transactional,Admin
TS-090,V00040,Chrome,Mobile,High,Transactional,Admin
TS-090,V00041,Chrome,Mobile,Medium,Transactional,Admin
TS-090,V00042,Chrome,Mobile,Low,Transactional,Admin
TS-090,V00043,Chrome,Tablet,High,Transactional,Admin
TS-090,V00044,Chrome,Tablet,Medium,Transactional,Admin
TS-090,V00045,Chrome,Tablet,Low,Transactional,Admin
TS-090,V00046,Firefox,Desktop,High,Transactional,Admin
TS-090,V00047,Firefox,Desktop,Medium,Transactional,Admin
TS-090,V00048,Firefox,Desktop,Low,Transactional,Admin
TS-090,V00049,Firefox,Mobile,High,Transactional,Admin
TS-090,V00050,Firefox,Mobile,Medium,Transactional,Admin
TS-090,V00051,Firefox,Mobile,Low,Transactional,Admin
TS-090,V00052,Firefox,Tablet,High,Transactional,Admin
TS-090,V00053,Firefox,Tablet,Medium,Transactional,Admin
TS-090,V00054,Firefox,Tablet,Low,Transactional,Admin
TS-090,V00055,Safari,Desktop,High,Transactional,Admin
TS-090,V00056,Safari,Desktop,Medium,Transactional,Admin
TS-090,V00057,Safari,Desktop,Low,Transactional,Admin
TS-090,V00058,Safari,Mobile,High,Transactional,Admin
TS-090,V00059,Safari,Mobile,Medium,Transactional,Admin
TS-090,V00060,Safari,Mobile,Low,Transactional,Admin
TS-090,V00061,Safari,Tablet,High,Transactional,Admin
TS-090,V00062,Safari,Tablet,Medium,Transactional,Admin
TS-090,V00063,Safari,Tablet,Low,Transactional,Admin
TS-090,V00064,Edge,Desktop,High,Transactional,Admin
TS-090,V00065,Edge,Desktop,Medium,Transactional,Admin
TS-090,V00066,Edge,Desktop,Low,Transactional,Admin
TS-090,V00067,Edge,Mobile,High,Transactional,Admin
TS-090,V00068,Edge,Mobile,Medium,Transactional,Admin
TS-090,V00069,Edge,Mobile,Low,Transactional,Admin
TS-090,V00070,Edge,Tablet,High,Transactional,Admin
TS-090,V00071,Edge,Tablet,Medium,Transactional,Admin
TS-090,V00072,Edge,Tablet,Low,Transactional,Admin
