Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Target_Audience,User_Type
TS-091,V00001,Chrome,Desktop,High,All_Buyers,Admin
TS-091,V00002,Chrome,Desktop,Medium,All_Buyers,Admin
TS-091,V00003,Chrome,Desktop,Low,All_Buyers,Admin
TS-091,V00004,Chrome,Mobile,High,All_Buyers,Admin
TS-091,V00005,Chrome,Mobile,Medium,All_Buyers,Admin
TS-091,V00006,Chrome,Mobile,Low,All_Buyers,Admin
TS-091,V00007,Chrome,Tablet,High,All_Buyers,Admin
TS-091,V00008,Chrome,Tablet,Medium,All_Buyers,Admin
TS-091,V00009,Chrome,Tablet,Low,All_Buyers,Admin
TS-091,V00010,Firefox,Desktop,High,All_Buyers,Admin
TS-091,V00011,Firefox,Desktop,Medium,All_Buyers,Admin
TS-091,V00012,Firefox,Desktop,Low,All_Buyers,Admin
TS-091,V00013,Firefox,Mobile,High,All_Buyers,Admin
TS-091,V00014,Firefox,Mobile,Medium,All_Buyers,Admin
TS-091,V00015,Firefox,Mobile,Low,All_Buyers,Admin
TS-091,V00016,Firefox,Tablet,High,All_Buyers,Admin
TS-091,V00017,Firefox,Tablet,Medium,All_Buyers,Admin
TS-091,V00018,Firefox,Tablet,Low,All_Buyers,Admin
TS-091,V00019,Safari,Desktop,High,All_Buyers,Admin
TS-091,V00020,Safari,Desktop,Medium,All_Buyers,Admin
TS-091,V00021,Safari,Desktop,Low,All_Buyers,Admin
TS-091,V00022,Safari,Mobile,High,All_Buyers,Admin
TS-091,V00023,Safari,Mobile,Medium,All_Buyers,Admin
TS-091,V00024,Safari,Mobile,Low,All_Buyers,Admin
TS-091,V00025,Safari,Tablet,High,All_Buyers,Admin
TS-091,V00026,Safari,Tablet,Medium,All_Buyers,Admin
TS-091,V00027,Safari,Tablet,Low,All_Buyers,Admin
TS-091,V00028,Edge,Desktop,High,All_Buyers,Admin
TS-091,V00029,Edge,Desktop,Medium,All_Buyers,Admin
TS-091,V00030,Edge,Desktop,Low,All_Buyers,Admin
TS-091,V00031,Edge,Mobile,High,All_Buyers,Admin
TS-091,V00032,Edge,Mobile,Medium,All_Buyers,Admin
TS-091,V00033,Edge,Mobile,Low,All_Buyers,Admin
TS-091,V00034,Edge,Tablet,High,All_Buyers,Admin
TS-091,V00035,Edge,Tablet,Medium,All_Buyers,Admin
TS-091,V00036,Edge,Tablet,Low,All_Buyers,Admin
TS-091,V00037,Chrome,Desktop,High,Filtered,Admin
TS-091,V00038,Chrome,Desktop,Medium,Filtered,Admin
TS-091,V00039,Chrome,Desktop,Low,Filtered,Admin
TS-091,V00040,Chrome,Mobile,High,Filtered,Admin
TS-091,V00041,Chrome,Mobile,Medium,Filtered,Admin
TS-091,V00042,Chrome,Mobile,Low,Filtered,Admin
TS-091,V00043,Chrome,Tablet,High,Filtered,Admin
TS-091,V00044,Chrome,Tablet,Medium,Filtered,Admin
TS-091,V00045,Chrome,Tablet,Low,Filtered,Admin
TS-091,V00046,Firefox,Desktop,High,Filtered,Admin
TS-091,V00047,Firefox,Desktop,Medium,Filtered,Admin
TS-091,V00048,Firefox,Desktop,Low,Filtered,Admin
TS-091,V00049,Firefox,Mobile,High,Filtered,Admin
TS-091,V00050,Firefox,Mobile,Medium,Filtered,Admin
TS-091,V00051,Firefox,Mobile,Low,Filtered,Admin
TS-091,V00052,Firefox,Tablet,High,Filtered,Admin
TS-091,V00053,Firefox,Tablet,Medium,Filtered,Admin
TS-091,V00054,Firefox,Tablet,Low,Filtered,Admin
TS-091,V00055,Safari,Desktop,High,Filtered,Admin
TS-091,V00056,Safari,Desktop,Medium,Filtered,Admin
TS-091,V00057,Safari,Desktop,Low,Filtered,Admin
TS-091,V00058,Safari,Mobile,High,Filtered,Admin
TS-091,V00059,Safari,Mobile,Medium,Filtered,Admin
TS-091,V00060,Safari,Mobile,Low,Filtered,Admin
TS-091,V00061,Safari,Tablet,High,Filtered,Admin
TS-091,V00062,Safari,Tablet,Medium,Filtered,Admin
TS-091,V00063,Safari,Tablet,Low,Filtered,Admin
TS-091,V00064,Edge,Desktop,High,Filtered,Admin
TS-091,V00065,Edge,Desktop,Medium,Filtered,Admin
TS-091,V00066,Edge,Desktop,Low,Filtered,Admin
TS-091,V00067,Edge,Mobile,High,Filtered,Admin
TS-091,V00068,Edge,Mobile,Medium,Filtered,Admin
TS-091,V00069,Edge,Mobile,Low,Filtered,Admin
TS-091,V00070,Edge,Tablet,High,Filtered,Admin
TS-091,V00071,Edge,Tablet,Medium,Filtered,Admin
TS-091,V00072,Edge,Tablet,Low,Filtered,Admin
