Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Report_Period,User_Type
TS-092,V00001,Chrome,Desktop,High,Date_Range,Admin
TS-092,V00002,Chrome,Desktop,Medium,Date_Range,Admin
TS-092,V00003,Chrome,Desktop,Low,Date_Range,Admin
TS-092,V00004,Chrome,Mobile,High,Date_Range,Admin
TS-092,V00005,Chrome,Mobile,Medium,Date_Range,Admin
TS-092,V00006,Chrome,Mobile,Low,Date_Range,Admin
TS-092,V00007,Chrome,Tablet,High,Date_Range,Admin
TS-092,V00008,Chrome,Tablet,Medium,Date_Range,Admin
TS-092,V00009,Chrome,Tablet,Low,Date_Range,Admin
TS-092,V00010,Firefox,Desktop,High,Date_Range,Admin
TS-092,V00011,Firefox,Desktop,Medium,Date_Range,Admin
TS-092,V00012,Firefox,Desktop,Low,Date_Range,Admin
TS-092,V00013,Firefox,Mobile,High,Date_Range,Admin
TS-092,V00014,Firefox,Mobile,Medium,Date_Range,Admin
TS-092,V00015,Firefox,Mobile,Low,Date_Range,Admin
TS-092,V00016,Firefox,Tablet,High,Date_Range,Admin
TS-092,V00017,Firefox,Tablet,Medium,Date_Range,Admin
TS-092,V00018,Firefox,Tablet,Low,Date_Range,Admin
TS-092,V00019,Safari,Desktop,High,Date_Range,Admin
TS-092,V00020,Safari,Desktop,Medium,Date_Range,Admin
TS-092,V00021,Safari,Desktop,Low,Date_Range,Admin
TS-092,V00022,Safari,Mobile,High,Date_Range,Admin
TS-092,V00023,Safari,Mobile,Medium,Date_Range,Admin
TS-092,V00024,Safari,Mobile,Low,Date_Range,Admin
TS-092,V00025,Safari,Tablet,High,Date_Range,Admin
TS-092,V00026,Safari,Tablet,Medium,Date_Range,Admin
TS-092,V00027,Safari,Tablet,Low,Date_Range,Admin
TS-092,V00028,Edge,Desktop,High,Date_Range,Admin
TS-092,V00029,Edge,Desktop,Medium,Date_Range,Admin
TS-092,V00030,Edge,Desktop,Low,Date_Range,Admin
TS-092,V00031,Edge,Mobile,High,Date_Range,Admin
TS-092,V00032,Edge,Mobile,Medium,Date_Range,Admin
TS-092,V00033,Edge,Mobile,Low,Date_Range,Admin
TS-092,V00034,Edge,Tablet,High,Date_Range,Admin
TS-092,V00035,Edge,Tablet,Medium,Date_Range,Admin
TS-092,V00036,Edge,Tablet,Low,Date_Range,Admin
TS-092,V00037,Chrome,Desktop,High,Month,Admin
TS-092,V00038,Chrome,Desktop,Medium,Month,Admin
TS-092,V00039,Chrome,Desktop,Low,Month,Admin
TS-092,V00040,Chrome,Mobile,High,Month,Admin
TS-092,V00041,Chrome,Mobile,Medium,Month,Admin
TS-092,V00042,Chrome,Mobile,Low,Month,Admin
TS-092,V00043,Chrome,Tablet,High,Month,Admin
TS-092,V00044,Chrome,Tablet,Medium,Month,Admin
TS-092,V00045,Chrome,Tablet,Low,Month,Admin
TS-092,V00046,Firefox,Desktop,High,Month,Admin
TS-092,V00047,Firefox,Desktop,Medium,Month,Admin
TS-092,V00048,Firefox,Desktop,Low,Month,Admin
TS-092,V00049,Firefox,Mobile,High,Month,Admin
TS-092,V00050,Firefox,Mobile,Medium,Month,Admin
TS-092,V00051,Firefox,Mobile,Low,Month,Admin
TS-092,V00052,Firefox,Tablet,High,Month,Admin
TS-092,V00053,Firefox,Tablet,Medium,Month,Admin
TS-092,V00054,Firefox,Tablet,Low,Month,Admin
TS-092,V00055,Safari,Desktop,High,Month,Admin
TS-092,V00056,Safari,Desktop,Medium,Month,Admin
TS-092,V00057,Safari,Desktop,Low,Month,Admin
TS-092,V00058,Safari,Mobile,High,Month,Admin
TS-092,V00059,Safari,Mobile,Medium,Month,Admin
TS-092,V00060,Safari,Mobile,Low,Month,Admin
TS-092,V00061,Safari,Tablet,High,Month,Admin
TS-092,V00062,Safari,Tablet,Medium,Month,Admin
TS-092,V00063,Safari,Tablet,Low,Month,Admin
TS-092,V00064,Edge,Desktop,High,Month,Admin
TS-092,V00065,Edge,Desktop,Medium,Month,Admin
TS-092,V00066,Edge,Desktop,Low,Month,Admin
TS-092,V00067,Edge,Mobile,High,Month,Admin
TS-092,V00068,Edge,Mobile,Medium,Month,Admin
TS-092,V00069,Edge,Mobile,Low,Month,Admin
TS-092,V00070,Edge,Tablet,High,Month,Admin
TS-092,V00071,Edge,Tablet,Medium,Month,Admin
TS-092,V00072,Edge,Tablet,Low,Month,Admin
TS-092,V00073,Chrome,Desktop,High,Year,Admin
TS-092,V00074,Chrome,Desktop,Medium,Year,Admin
TS-092,V00075,Chrome,Desktop,Low,Year,Admin
TS-092,V00076,Chrome,Mobile,High,Year,Admin
TS-092,V00077,Chrome,Mobile,Medium,Year,Admin
TS-092,V00078,Chrome,Mobile,Low,Year,Admin
TS-092,V00079,Chrome,Tablet,High,Year,Admin
TS-092,V00080,Chrome,Tablet,Medium,Year,Admin
TS-092,V00081,Chrome,Tablet,Low,Year,Admin
TS-092,V00082,Firefox,Desktop,High,Year,Admin
TS-092,V00083,Firefox,Desktop,Medium,Year,Admin
TS-092,V00084,Firefox,Desktop,Low,Year,Admin
TS-092,V00085,Firefox,Mobile,High,Year,Admin
TS-092,V00086,Firefox,Mobile,Medium,Year,Admin
TS-092,V00087,Firefox,Mobile,Low,Year,Admin
TS-092,V00088,Firefox,Tablet,High,Year,Admin
TS-092,V00089,Firefox,Tablet,Medium,Year,Admin
TS-092,V00090,Firefox,Tablet,Low,Year,Admin
TS-092,V00091,Safari,Desktop,High,Year,Admin
TS-092,V00092,Safari,Desktop,Medium,Year,Admin
TS-092,V00093,Safari,Desktop,Low,Year,Admin
TS-092,V00094,Safari,Mobile,High,Year,Admin
TS-092,V00095,Safari,Mobile,Medium,Year,Admin
TS-092,V00096,Safari,Mobile,Low,Year,Admin
TS-092,V00097,Safari,Tablet,High,Year,Admin
TS-092,V00098,Safari,Tablet,Medium,Year,Admin
TS-092,V00099,Safari,Tablet,Low,Year,Admin
TS-092,V00100,Edge,Desktop,High,Year,Admin
TS-092,V00101,Edge,Desktop,Medium,Year,Admin
TS-092,V00102,Edge,Desktop,Low,Year,Admin
TS-092,V00103,Edge,Mobile,High,Year,Admin
TS-092,V00104,Edge,Mobile,Medium,Year,Admin
TS-092,V00105,Edge,Mobile,Low,Year,Admin
TS-092,V00106,Edge,Tablet,High,Year,Admin
TS-092,V00107,Edge,Tablet,Medium,Year,Admin
TS-092,V00108,Edge,Tablet,Low,Year,Admin
