Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Report_Period,User_Type
TS-093,V00001,Chrome,Desktop,High,Today,Admin
TS-093,V00002,Chrome,Desktop,Medium,Today,Admin
TS-093,V00003,Chrome,Desktop,Low,Today,Admin
TS-093,V00004,Chrome,Mobile,High,Today,Admin
TS-093,V00005,Chrome,Mobile,Medium,Today,Admin
TS-093,V00006,Chrome,Mobile,Low,Today,Admin
TS-093,V00007,Chrome,Tablet,High,Today,Admin
TS-093,V00008,Chrome,Tablet,Medium,Today,Admin
TS-093,V00009,Chrome,Tablet,Low,Today,Admin
TS-093,V00010,Firefox,Desktop,High,Today,Admin
TS-093,V00011,Firefox,Desktop,Medium,Today,Admin
TS-093,V00012,Firefox,Desktop,Low,Today,Admin
TS-093,V00013,Firefox,Mobile,High,Today,Admin
TS-093,V00014,Firefox,Mobile,Medium,Today,Admin
TS-093,V00015,Firefox,Mobile,Low,Today,Admin
TS-093,V00016,Firefox,Tablet,High,Today,Admin
TS-093,V00017,Firefox,Tablet,Medium,Today,Admin
TS-093,V00018,Firefox,Tablet,Low,Today,Admin
TS-093,V00019,Safari,Desktop,High,Today,Admin
TS-093,V00020,Safari,Desktop,Medium,Today,Admin
TS-093,V00021,Safari,Desktop,Low,Today,Admin
TS-093,V00022,Safari,Mobile,High,Today,Admin
TS-093,V00023,Safari,Mobile,Medium,Today,Admin
TS-093,V00024,Safari,Mobile,Low,Today,Admin
TS-093,V00025,Safari,Tablet,High,Today,Admin
TS-093,V00026,Safari,Tablet,Medium,Today,Admin
TS-093,V00027,Safari,Tablet,Low,Today,Admin
TS-093,V00028,Edge,Desktop,High,Today,Admin
TS-093,V00029,Edge,Desktop,Medium,Today,Admin
TS-093,V00030,Edge,Desktop,Low,Today,Admin
TS-093,V00031,Edge,Mobile,High,Today,Admin
TS-093,V00032,Edge,Mobile,Medium,Today,Admin
TS-093,V00033,Edge,Mobile,Low,Today,Admin
TS-093,V00034,Edge,Tablet,High,Today,Admin
TS-093,V00035,Edge,Tablet,Medium,Today,Admin
TS-093,V00036,Edge,Tablet,Low,Today,Admin
TS-093,V00037,Chrome,Desktop,High,Week,Admin
TS-093,V00038,Chrome,Desktop,Medium,Week,Admin
TS-093,V00039,Chrome,Desktop,Low,Week,Admin
TS-093,V00040,Chrome,Mobile,High,Week,Admin
TS-093,V00041,Chrome,Mobile,Medium,Week,Admin
TS-093,V00042,Chrome,Mobile,Low,Week,Admin
TS-093,V00043,Chrome,Tablet,High,Week,Admin
TS-093,V00044,Chrome,Tablet,Medium,Week,Admin
TS-093,V00045,Chrome,Tablet,Low,Week,Admin
TS-093,V00046,Firefox,Desktop,High,Week,Admin
TS-093,V00047,Firefox,Desktop,Medium,Week,Admin
TS-093,V00048,Firefox,Desktop,Low,Week,Admin
TS-093,V00049,Firefox,Mobile,High,Week,Admin
TS-093,V00050,Firefox,Mobile,Medium,Week,Admin
TS-093,V00051,Firefox,Mobile,Low,Week,Admin
TS-093,V00052,Firefox,Tablet,High,Week,Admin
TS-093,V00053,Firefox,Tablet,Medium,Week,Admin
TS-093,V00054,Firefox,Tablet,Low,Week,Admin
TS-093,V00055,Safari,Desktop,High,Week,Admin
TS-093,V00056,Safari,Desktop,Medium,Week,Admin
TS-093,V00057,Safari,Desktop,Low,Week,Admin
TS-093,V00058,Safari,Mobile,High,Week,Admin
TS-093,V00059,Safari,Mobile,Medium,Week,Admin
TS-093,V00060,Safari,Mobile,Low,Week,Admin
TS-093,V00061,Safari,Tablet,High,Week,Admin
TS-093,V00062,Safari,Tablet,Medium,Week,Admin
TS-093,V00063,Safari,Tablet,Low,Week,Admin
TS-093,V00064,Edge,Desktop,High,Week,Admin
TS-093,V00065,Edge,Desktop,Medium,Week,Admin
TS-093,V00066,Edge,Desktop,Low,Week,Admin
TS-093,V00067,Edge,Mobile,High,Week,Admin
TS-093,V00068,Edge,Mobile,Medium,Week,Admin
TS-093,V00069,Edge,Mobile,Low,Week,Admin
TS-093,V00070,Edge,Tablet,High,Week,Admin
TS-093,V00071,Edge,Tablet,Medium,Week,Admin
TS-093,V00072,Edge,Tablet,Low,Week,Admin
TS-093,V00073,Chrome,Desktop,High,Month,Admin
TS-093,V00074,Chrome,Desktop,Medium,Month,Admin
TS-093,V00075,Chrome,Desktop,Low,Month,Admin
TS-093,V00076,Chrome,Mobile,High,Month,Admin
TS-093,V00077,Chrome,Mobile,Medium,Month,Admin
TS-093,V00078,Chrome,Mobile,Low,Month,Admin
TS-093,V00079,Chrome,Tablet,High,Month,Admin
TS-093,V00080,Chrome,Tablet,Medium,Month,Admin
TS-093,V00081,Chrome,Tablet,Low,Month,Admin
TS-093,V00082,Firefox,Desktop,High,Month,Admin
TS-093,V00083,Firefox,Desktop,Medium,Month,Admin
TS-093,V00084,Firefox,Desktop,Low,Month,Admin
TS-093,V00085,Firefox,Mobile,High,Month,Admin
TS-093,V00086,Firefox,Mobile,Medium,Month,Admin
TS-093,V00087,Firefox,Mobile,Low,Month,Admin
TS-093,V00088,Firefox,Tablet,High,Month,Admin
TS-093,V00089,Firefox,Tablet,Medium,Month,Admin
TS-093,V00090,Firefox,Tablet,Low,Month,Admin
TS-093,V00091,Safari,Desktop,High,Month,Admin
TS-093,V00092,Safari,Desktop,Medium,Month,Admin
TS-093,V00093,Safari,Desktop,Low,Month,Admin
TS-093,V00094,Safari,Mobile,High,Month,Admin
TS-093,V00095,Safari,Mobile,Medium,Month,Admin
TS-093,V00096,Safari,Mobile,Low,Month,Admin
TS-093,V00097,Safari,Tablet,High,Month,Admin
TS-093,V00098,Safari,Tablet,Medium,Month,Admin
TS-093,V00099,Safari,Tablet,Low,Month,Admin
TS-093,V00100,Edge,Desktop,High,Month,Admin
TS-093,V00101,Edge,Desktop,Medium,Month,Admin
