Scenario_ID,Variant_ID,Browser,Device,Export_Format,Network_Speed,User_Type
TS-095,V00001,Chrome,Desktop,Excel,High,Admin
TS-095,V00002,Chrome,Desktop,Excel,Medium,Admin
TS-095,V00003,Chrome,Desktop,Excel,Low,Admin
TS-095,V00004,Chrome,Mobile,Excel,High,Admin
TS-095,V00005,Chrome,Mobile,Excel,Medium,Admin
TS-095,V00006,Chrome,Mobile,Excel,Low,Admin
TS-095,V00007,Chrome,Tablet,Excel,High,Admin
TS-095,V00008,Chrome,Tablet,Excel,Medium,Admin
TS-095,V00009,Chrome,Tablet,Excel,Low,Admin
TS-095,V00010,Firefox,Desktop,Excel,High,Admin
TS-095,V00011,Firefox,Desktop,Excel,Medium,Admin
TS-095,V00012,Firefox,Desktop,Excel,Low,Admin
TS-095,V00013,Firefox,Mobile,Excel,High,Admin
TS-095,V00014,Firefox,Mobile,Excel,Medium,Admin
TS-095,V00015,Firefox,Mobile,Excel,Low,Admin
TS-095,V00016,Firefox,Tablet,Excel,High,Admin
TS-095,V00017,Firefox,Tablet,Excel,Medium,Admin
TS-095,V00018,Firefox,Tablet,Excel,Low,Admin
TS-095,V00019,Safari,Desktop,Excel,High,Admin
TS-095,V00020,Safari,Desktop,Excel,Medium,Admin
TS-095,V00021,Safari,Desktop,Excel,Low,Admin
TS-095,V00022,Safari,Mobile,Excel,High,Admin
TS-095,V00023,Safari,Mobile,Excel,Medium,Admin
TS-095,V00024,Safari,Mobile,Excel,Low,Admin
TS-095,V00025,Safari,Tablet,Excel,High,Admin
TS-095,V00026,Safari,Tablet,Excel,Medium,Admin
TS-095,V00027,Safari,Tablet,Excel,Low,Admin
TS-095,V00028,Edge,Desktop,Excel,High,Admin
TS-095,V00029,Edge,Desktop,Excel,Medium,Admin
TS-095,V00030,Edge,Desktop,Excel,Low,Admin
TS-095,V00031,Edge,Mobile,Excel,High,Admin
TS-095,V00032,Edge,Mobile,Excel,Medium,Admin
TS-095,V00033,Edge,Mobile,Excel,Low,Admin
TS-095,V00034,Edge,Tablet,Excel,High,Admin
TS-095,V00035,Edge,Tablet,Excel,Medium,Admin
TS-095,V00036,Edge,Tablet,Excel,Low,Admin
